# per-cycle period and TIE sequences, one row per measured cycle
# vsup=3.3 tsettle=6.50228e-08 tstepon=4.11811e-07 astep=0.1 arip=0.05 frip=5.76721e+06
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
0,7.13971156e-08,1.18367e-08,-3.71516e-14,7.139711561e-08,1.18367e-08,3.16527e-09,7.208063566e-08,1.21413e-08,-9.74973e-11
1,8.323381744e-08,1.18372e-08,-1.20947e-13,8.323381744e-08,1.18372e-08,2.94781e-09,8.422195447e-08,1.207e-08,2.16252e-10
2,9.507097627e-08,1.18369e-08,2.52251e-13,9.507097627e-08,1.18369e-08,2.73082e-09,9.629200059e-08,1.19539e-08,4.58728e-10
3,1.069078829e-07,1.18372e-08,3.73218e-13,1.069078829e-07,1.18372e-08,2.51357e-09,1.082458865e-07,1.1817e-08,5.85044e-10
4,1.187450737e-07,1.18366e-08,7.7842e-13,1.187450737e-07,1.18366e-08,2.29661e-09,1.200628809e-07,1.16856e-08,5.74468e-10
5,1.305817079e-07,1.18371e-08,6.27002e-13,1.305817079e-07,1.18371e-08,2.07909e-09,1.317484897e-07,1.15839e-08,4.32507e-10
6,1.424188246e-07,1.1837e-08,9.58105e-13,1.424188246e-07,1.1837e-08,1.86206e-09,1.433323499e-07,1.15276e-08,1.88798e-10
7,1.542558041e-07,1.18363e-08,1.15189e-12,1.542558041e-07,1.18363e-08,1.64488e-09,1.548599676e-07,1.15264e-08,-1.11154e-10
8,1.660920619e-07,1.18368e-08,6.24162e-13,1.66092062e-07,1.18368e-08,1.42699e-09,1.663863767e-07,1.15766e-08,-4.12315e-10
9,1.779288514e-07,1.18364e-08,6.27959e-13,1.779288514e-07,1.18364e-08,1.20963e-09,1.779629902e-07,1.16721e-08,-6.63272e-10
10,1.897652637e-07,1.18369e-08,2.54655e-13,1.897652637e-07,1.18369e-08,9.91886e-10,1.896351226e-07,1.17967e-08,-8.18709e-10
11,2.016021799e-07,1.18365e-08,3.85185e-13,2.016021799e-07,1.18365e-08,7.7465e-10,2.014318117e-07,1.19297e-08,-8.4959e-10
12,2.13438709e-07,1.18365e-08,1.28656e-13,2.13438709e-07,1.18365e-08,5.57026e-10,2.133615328e-07,1.20479e-08,-7.47439e-10
13,2.252752099e-07,1.18369e-08,-1.56024e-13,2.252752099e-07,1.18369e-08,3.39374e-10,2.254094146e-07,1.213e-08,-5.27127e-10
14,2.371121006e-07,1.18361e-08,-5.09875e-14,2.371121006e-07,1.18361e-08,1.22112e-10,2.375394131e-07,1.21567e-08,-2.24698e-10
15,2.489482052e-07,1.18371e-08,-7.31966e-13,2.489482052e-07,1.18371e-08,-9.59358e-11,2.496961283e-07,1.21226e-08,1.04447e-10
16,2.607853359e-07,1.1837e-08,-3.86939e-13,2.607853359e-07,1.1837e-08,-3.12958e-10,2.618187506e-07,1.2034e-08,3.995e-10
17,2.726222931e-07,1.1837e-08,-2.15298e-13,2.726222931e-07,1.1837e-08,-5.30153e-10,2.738527915e-07,1.19072e-08,6.05971e-10
18,2.844592801e-07,1.18368e-08,-1.40006e-14,2.844592801e-07,1.18368e-08,-7.47319e-10,2.857599605e-07,1.1769e-08,6.8557e-10
19,2.962961156e-07,1.18369e-08,3.59471e-14,2.962961156e-07,1.18369e-08,-9.64636e-10,2.975289307e-07,1.1646e-08,6.2697e-10
20,3.081329964e-07,1.18368e-08,1.31117e-13,3.081329964e-07,1.18368e-08,-1.18191e-09,3.091749093e-07,1.15586e-08,4.45379e-10
21,3.199697646e-07,1.18363e-08,1.13617e-13,3.199697646e-07,1.18363e-08,-1.39929e-09,3.207334601e-07,1.15215e-08,1.7636e-10
22,3.318061064e-07,1.18366e-08,-3.30172e-13,3.318061064e-07,1.18366e-08,-1.6171e-09,3.322549262e-07,1.15379e-08,-1.29744e-10
23,3.436426632e-07,1.18369e-08,-5.59041e-13,3.436426632e-07,1.18369e-08,-1.8347e-09,3.437928724e-07,1.16052e-08,-4.19368e-10
24,3.554795568e-07,1.18372e-08,-4.51056e-13,3.554795568e-07,1.18372e-08,-2.05196e-09,3.553981046e-07,1.17134e-08,-6.41705e-10
25,3.673167907e-07,1.18367e-08,-2.78029e-15,3.673167907e-07,1.18367e-08,-2.26888e-09,3.671114802e-07,1.18429e-08,-7.55899e-10
26,3.791534867e-07,1.18363e-08,-9.23748e-14,3.791534867e-07,1.18363e-08,-2.48633e-09,3.789544041e-07,1.19734e-08,-7.40545e-10
27,3.909897975e-07,1.18365e-08,-5.67185e-13,3.909897975e-07,1.18365e-08,-2.70418e-09,3.909277617e-07,1.20818e-08,-5.94758e-10
28,4.028263228e-07,1.18375e-08,-8.27578e-13,4.028263228e-07,1.16524e-08,-2.9218e-09,4.030095338e-07,1.21457e-08,-3.40555e-10
29,4.146637843e-07,1.18362e-08,-1.51695e-13,4.144787479e-07,1.15974e-08,-3.32353e-09,4.151552821e-07,1.21521e-08,-2.23771e-11
30,4.264999626e-07,1.18367e-08,-7.5905e-13,4.260761152e-07,1.21852e-08,-3.78032e-09,4.273073616e-07,1.20977e-08,3.02133e-10
31,4.383366711e-07,1.18376e-08,-8.36181e-13,4.382613091e-07,1.23292e-08,-3.64928e-09,4.394050868e-07,1.19927e-08,5.72288e-10
32,4.501742636e-07,1.18361e-08,-2.92302e-14,4.505904977e-07,1.23532e-08,-3.37424e-09,4.513977543e-07,1.18594e-08,7.37386e-10
33,4.620104015e-07,1.18371e-08,-6.76968e-13,4.629436741e-07,1.23598e-08,-3.07522e-09,4.632571572e-07,1.17235e-08,7.69219e-10
34,4.738475003e-07,1.18363e-08,-3.63837e-13,4.753034895e-07,1.23585e-08,-2.76955e-09,4.749806462e-07,1.16102e-08,6.65138e-10
35,4.856838131e-07,1.18372e-08,-8.36708e-13,4.876620246e-07,1.23607e-08,-2.46517e-09,4.865908189e-07,1.15393e-08,4.47741e-10
36,4.975210351e-07,1.18362e-08,-4.00256e-13,5.000227395e-07,1.23603e-08,-2.15861e-09,4.981300718e-07,1.15219e-08,1.59424e-10
37,5.093571865e-07,1.18367e-08,-1.03455e-12,5.123830455e-07,1.23596e-08,-1.85246e-09,5.096519358e-07,1.15561e-08,-1.46282e-10
38,5.211939305e-07,1.18373e-08,-1.07614e-12,5.247425961e-07,1.23603e-08,-1.54706e-09,5.212080612e-07,1.16385e-08,-4.17727e-10
39,5.330312495e-07,1.18367e-08,-5.42817e-13,5.371029295e-07,1.23596e-08,-1.24088e-09,5.328465571e-07,1.17567e-08,-6.06801e-10
40,5.448679646e-07,1.18376e-08,-6.13276e-13,5.49462579e-07,1.23605e-08,-9.3538e-10,5.446032603e-07,1.18885e-08,-6.77667e-10
41,5.567055621e-07,1.18363e-08,1.98616e-13,5.618230804e-07,1.23595e-08,-6.29031e-10,5.564918056e-07,1.20151e-08,-6.16692e-10
42,5.68541823e-07,1.1837e-08,-3.26167e-13,5.741826189e-07,1.23603e-08,-3.23645e-10,5.685069436e-07,1.21102e-08,-4.29124e-10
43,5.803788252e-07,1.18362e-08,-1.09583e-13,5.865429439e-07,1.23602e-08,-1.74731e-11,5.806171137e-07,1.21552e-08,-1.46524e-10
44,5.922150599e-07,1.18365e-08,-6.60492e-13,5.989030969e-07,1.23592e-08,2.88527e-10,5.927723062e-07,1.21395e-08,1.81099e-10
45,6.040516089e-07,1.1837e-08,-8.97137e-13,6.112622684e-07,1.23601e-08,5.93546e-10,6.049118433e-07,1.20655e-08,4.93066e-10
46,6.158886539e-07,1.18373e-08,-6.37823e-13,6.2362235e-07,1.23599e-08,8.99475e-10,6.169773014e-07,1.19485e-08,7.30954e-10
47,6.277259781e-07,1.18372e-08,-9.9164e-14,6.359822998e-07,1.23605e-08,1.20527e-09,6.289258157e-07,1.18114e-08,8.51899e-10
