# campaign: vco-tuning-range (supply pushing)
# record_id: 20260731-100401-07f4b7b
# generated_utc: 2026-07-31T10:04:17Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-100401-07f4b7b.spice
# corners: 7 bundles x temp{-40,27,125}C x band{0,4,7} x vdd{2.97..3.63 in 0.11 V} at Vctrl 1.8 V
# deck: tb_vco_pushing.sp -- seven independent VCO copies, one per supply
#   point, each with its own supply source, ammeter and rail-referenced band
#   code. fosc measured at that copy's buffered CLK against its own half-supply
#   threshold, over 4 whole cycles after tsettle.
bundle,temp_c,band,vctrl_v,vdd_v,fosc_hz,isupply_a
all-fast,-40,0,1.8,2.97,8881270,7.36527e-05
all-fast,-40,0,1.8,3.08,8594740,7.39568e-05
all-fast,-40,0,1.8,3.19,8301720,7.64249e-05
all-fast,-40,0,1.8,3.30,8074280,7.79677e-05
all-fast,-40,0,1.8,3.41,7868620,7.94465e-05
all-fast,-40,0,1.8,3.52,7683830,8.69613e-05
all-fast,-40,0,1.8,3.63,7528460,8.69056e-05
all-fast,-40,4,1.8,2.97,6.77869e+07,0.000153102
all-fast,-40,4,1.8,3.08,6.45065e+07,0.000155516
all-fast,-40,4,1.8,3.19,6.16773e+07,0.000160431
all-fast,-40,4,1.8,3.30,5.91597e+07,0.000165035
all-fast,-40,4,1.8,3.41,5.70668e+07,0.000168721
all-fast,-40,4,1.8,3.52,5.50848e+07,0.000173455
all-fast,-40,4,1.8,3.63,5.34988e+07,0.000176509
all-fast,-40,7,1.8,2.97,3.57607e+08,0.000473392
all-fast,-40,7,1.8,3.08,3.37649e+08,0.00048182
all-fast,-40,7,1.8,3.19,3.19413e+08,0.000485901
all-fast,-40,7,1.8,3.30,3.02723e+08,0.000493528
all-fast,-40,7,1.8,3.41,2.88162e+08,0.000499758
all-fast,-40,7,1.8,3.52,2.75025e+08,0.000510634
all-fast,-40,7,1.8,3.63,2.63136e+08,0.000511885
all-fast,27,0,1.8,2.97,9451450,8.58156e-05
all-fast,27,0,1.8,3.08,9132520,8.8072e-05
all-fast,27,0,1.8,3.19,8830320,9.25449e-05
all-fast,27,0,1.8,3.30,8564070,9.26927e-05
all-fast,27,0,1.8,3.41,8330520,9.45259e-05
all-fast,27,0,1.8,3.52,8120040,0.000100225
all-fast,27,0,1.8,3.63,7951930,0.0001028
all-fast,27,4,1.8,2.97,7.4845e+07,0.000177719
all-fast,27,4,1.8,3.08,7.13052e+07,0.000182356
all-fast,27,4,1.8,3.19,6.81058e+07,0.00018775
all-fast,27,4,1.8,3.30,6.52703e+07,0.000189142
all-fast,27,4,1.8,3.41,6.27782e+07,0.000193394
all-fast,27,4,1.8,3.52,6.07044e+07,0.000197606
all-fast,27,4,1.8,3.63,5.87588e+07,0.000204521
all-fast,27,7,1.8,2.97,4.00415e+08,0.00054195
all-fast,27,7,1.8,3.08,3.8031e+08,0.000553607
all-fast,27,7,1.8,3.19,3.61296e+08,0.000556749
all-fast,27,7,1.8,3.30,3.4368e+08,0.000569446
all-fast,27,7,1.8,3.41,3.27518e+08,0.000569976
all-fast,27,7,1.8,3.52,3.12866e+08,0.000580367
all-fast,27,7,1.8,3.63,2.99629e+08,0.000587832
all-fast,125,0,1.8,2.97,1.0287e+07,0.000117046
all-fast,125,0,1.8,3.08,9929760,0.000118212
