corner,temp_c,vdd,terr,corner_id,twin_r,twin_f,ta_asrt,tb_asrt,tc_asrt,td_asrt,te_asrt,la_lvl,lb_lvl,lc_lvl,ld_lvl,le_lvl,va_lvl,te_deas,le_pre,iavg,lock_pass,verdict
typical,-40.0,2.97,e4.0n,typical_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
typical,-40.0,3.3,e4.0n,typical_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
typical,-40.0,3.63,e4.0n,typical_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
typical,27.0,2.97,e4.0n,typical_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
typical,27.0,3.3,e4.0n,typical_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
typical,27.0,3.63,e4.0n,typical_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
typical,125.0,2.97,e4.0n,typical_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
typical,125.0,3.3,e4.0n,typical_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
typical,125.0,3.63,e4.0n,typical_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
ff,-40.0,2.97,e4.0n,ff_-40c_2.97v_e4.0n,1.12947e-09,1.1211e-09,not measured,8.56805e-07,not measured,not measured,8.56805e-07,7.54625e-09,2.97,7.64253e-09,5.2233e-09,-4.58089e-10,0.054373,2.40436e-06,2.97,-0.000137822,1.0,PASS
ff,-40.0,3.3,e4.0n,ff_-40c_3.30v_e4.0n,1.07083e-09,1.06319e-09,not measured,7.54742e-07,not measured,not measured,7.54742e-07,7.35068e-09,3.3,7.34266e-09,4.20666e-09,-1.70815e-09,0.0736592,2.40425e-06,3.3,-0.00015894,1.0,PASS
ff,-40.0,3.63,e4.0n,ff_-40c_3.63v_e4.0n,1.02779e-09,1.01474e-09,not measured,6.79576e-07,not measured,not measured,6.79576e-07,9.01921e-09,3.63,2.90742e-09,4.00788e-09,-6.48643e-10,0.0957618,2.40414e-06,3.63,-0.000181232,1.0,PASS
ff,27.0,2.97,e4.0n,ff_27c_2.97v_e4.0n,1.27716e-09,1.27067e-09,not measured,1.09628e-06,not measured,not measured,1.09628e-06,1.16381e-09,2.97,1.21313e-09,4.22233e-09,7.92889e-09,0.0418853,2.40469e-06,2.97,-0.000142932,1.0,PASS
ff,27.0,3.3,e4.0n,ff_27c_3.30v_e4.0n,1.20434e-09,1.19818e-09,not measured,9.64828e-07,not measured,not measured,9.64828e-07,2.06903e-09,3.3,3.03227e-09,5.10352e-09,3.79221e-09,0.0564525,2.40463e-06,3.3,-0.000162729,1.0,PASS
