corner,temp_c,vdd,band,corner_id,r3k_cg,r3k_off,ru_cg,ru_off,rsh_ratio,ibias_a_lo_ua,ibias_a_mid_ua,ibias_a_hi_ua,ibias_b_lo_ua,ibias_b_mid_ua,ibias_b_hi_ua,ibias_ratio_mid,ibias_a_100m_ua,ibias_b_100m_ua,ibias_ratio_100m,itail_a_lo_ua,itail_a_mid_ua,itail_a_hi_ua,itail_b_lo_ua,itail_b_mid_ua,itail_b_hi_ua,itail_ratio_mid,ihead_a_mid_ua,ihead_b_mid_ua,vbn_a_mid,vbn_b_mid,vbp_a_mid,vbp_b_mid,iring_a_mid_ua,iring_b_mid_ua,itail_a_100m_ua,itail_b_100m_ua,iring_a_100m_ua,iring_b_100m_ua,ivco_a_100m_ua,ivco_b_100m_ua,verdict
typical,-40.0,2.97,band0,typical_-40c_2.97v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,27.288111728,37.814643377,49.348081373,703.69893773,790.19897618,888.87924405,20.896639651,87.814021162,1317.4139787,15.002319234,1.3284524343,2.1462835802,3.0264701953,15.587546665,21.785015489,28.802893965,10.150110493,2.3990591522,22.795855514,0.76111803293,0.90982599088,2.0768166426,1.9122375732,10.731417901,108.92507745,24.341931623,253.42212246,121.70965812,1267.1106123,209.52367928,2584.524591,PASS
typical,-40.0,2.97,band7,typical_-40c_2.97v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,114.25508607,179.41342114,250.22676468,1752.7880173,2227.0122751,2675.2929704,12.412740703,87.814021037,1317.4139789,15.002319257,40.536626027,65.864256861,93.303611136,485.78699686,674.93529608,878.96678624,10.247368273,67.251958074,619.15376031,1.0457595975,2.0024296035,1.7451401137,0.78687346878,329.3212843,3374.6764804,24.341931596,253.42212248,121.70965798,1267.1106124,209.52367902,2584.5245913,PASS
typical,-40.0,3.3,band0,typical_-40c_3.30v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,28.040140731,38.657187496,50.278540507,849.23988818,936.08891196,1035.2933592,24.215132362,90.227209913,1515.1567511,16.792680972,1.4044160688,2.25297965,3.1623882455,17.801949621,24.096337135,31.232185883,10.695319479,2.5859316715,25.537180665,0.76242897374,0.9183950953,2.4035933389,2.22962418,11.26489825,120.48168568,25.215588908,278.77158987,126.07794454,1393.8579493,216.30515446,2909.0147004,PASS
typical,-40.0,3.3,band7,typical_-40c_3.30v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,118.07200999,184.42362436,256.40866755,2040.0334651,2536.0691641,3038.9053893,13.751324825,90.227210027,1515.1567511,16.792680951,42.076879737,67.968374196,95.958269685,550.84384557,743.21135227,955.21611179,10.934664262,70.153996171,705.84906505,1.0498024159,2.0898441392,2.0675509526,1.0109179382,339.84187098,3716.0567613,25.21558895,278.77158987,126.07794475,1393.8579493,216.30515478,2909.0147004,PASS
typical,-40.0,3.63,band0,typical_-40c_3.63v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,28.874561457,39.585508716,51.297672334,999.40634597,1086.5508652,1186.1218375,27.448197596,92.830180979,1716.3265439,18.488885035,1.4863973812,2.3668563758,3.3063897771,20.020348192,26.40027586,33.633968995,11.154152035,2.7914354064,28.328729764,0.76381777993,0.92644994606,2.7302149885,2.5474720566,11.834281879,132.0013793,26.13786925,303.69268857,130.68934625,1518.4634428,223.51952723,3234.7899868,PASS
typical,-40.0,3.63,band7,typical_-40c_3.63v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,122.17098048,189.69822121,262.80958016,2328.6131772,2835.4467536,3381.5145099,14.947144657,92.830181099,1716.3265438,18.48888501,43.705966153,70.156365569,98.681286772,614.82429535,809.73258112,1026.3941575,11.541826241,73.153258867,781.40375241,1.0540122296,2.1742402568,2.3897847002,1.2528874674,350.78182784,4048.6629056,26.137869328,303.69268854,130.68934664,1518.4634427,223.51952774,3234.7899865,PASS
typical,27.0,2.97,band0,typical_27c_2.97v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,33.874135269,45.726585161,58.655289645,648.56668446,734.05815097,831.12343163,16.053202932,103.03845524,1267.712845,12.303298239,1.5269019551,2.4544439627,3.4480736124,15.991349513,22.150992599,29.087048032,9.0248516306,2.7261995221,23.172295762,0.69899889456,0.86726794189,2.1435252732,1.9556666334,12.272219814,110.754963,27.921897293,256.79116449,139.60948646,1283.9558224,242.64794171,2551.6686674,PASS
typical,27.0,2.97,band7,typical_27c_2.97v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,132.78451257,206.07095755,285.3307997,1703.5840836,2123.1168877,2492.110553,10.302843801,103.03845529,1267.7128451,12.303298235,46.116382727,74.601013327,105.30407046,491.6691791,674.14992714,841.27855952,9.0367395439,75.999001504,568.32395047,1.0532045693,2.1448848366,1.7370417947,0.74791703836,373.00506663,3370.7496357,27.921897312,256.79116454,139.60948656,1283.9558227,242.64794185,2551.6686678,PASS
typical,27.0,3.3,band0,typical_27c_3.30v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,34.648928448,46.58677537,59.600281657,779.64496562,865.4586903,963.12878206,18.577346971,105.4372725,1451.6631722,13.768026598,1.6005852359,2.5570508217,3.578356087,18.209294322,24.454864699,31.506552786,9.5636991222,2.9051270367,25.868412756,0.70033240564,0.87748938656,2.4701339729,2.2714990227,12.785254109,122.2743235,28.778313303,282.38747952,143.89156652,1411.9373976,249.32883901,2863.6005698,PASS
typical,27.0,3.3,band7,typical_27c_3.30v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,136.56719152,211.01452456,291.45251829,1981.0557169,2436.4451484,2866.0249748,11.546338592,105.43727229,1451.6631724,13.768026628,47.632595243,76.669561694,107.92715747,557.29005475,743.7211519,941.15446466,9.7003443801,78.87122519,670.55890405,1.0577145829,2.2464481208,2.0590223098,0.93049037481,383.34780847,3718.6057595,28.778313251,282.38747956,143.89156625,1411.9373978,249.32883854,2863.6005703,PASS
