# campaign: devchar-delay
# record_id: 20260731-041318-833292f
# generated_utc: 2026-07-31T04:13:19Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-delay/testbench/tb_delay_stage.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points
# topology_ring1x/ring4x: 5-stage self-loaded ring of unstarved minimum-length
#   CMOS inverters ; ring1x: Wn=1.0um Wp=2.5um L=0.28um ; ring4x: Wn=4.0um
#   Wp=10.0um L=0.28um ; tstage = 1/(2*N*fosc) with N=5, fosc from 8 periods
#   after start-up. This is the ceiling an equivalent current-starved ring
#   approaches as the starving devices are driven fully on.
# topology_cs_lo/md/hi: 5-stage current-starved ring (DR-001 Decision 2 cell:
#   matched PMOS-head / NMOS-tail starving devices, l_st=0.5um, w_ph=5um,
#   w_nt=2um), starved at a fixed ideal-mirrored current of 10/50/250 uA
#   respectively. Isolates the delay cell from bias-generator PVT. Gives both
#   the per-corner frequency and the fosc-vs-Ictrl slope (Kvco proxy) #8 needs.
# topology_fo1: open 4-inverter chain (1x), stage 3 measured (identical driver
#   and identical fan-out-1 load), ideal step at the chain input
# idsat_n_1u / idsat_p_2u5: single device at Vgs=Vds=Vdd, W=1.0um n / 2.5um p
# qstage/cstage: supply charge per stage transition of ring1x and Q/Vdd;
#   includes short-circuit current, so cstage is an upper bound on load C
process,temp_c,vdd_v,ring1x_fosc_hz,ring1x_tstage_s,ring1x_isupply_a,ring1x_qstage_c,ring1x_cstage_f,ring4x_fosc_hz,ring4x_tstage_s,ring4x_isupply_a,fo1_tphl_s,fo1_tplh_s,fo1_tpd_s,fo1_tfall_s,fo1_trise_s,idsat_n_1u_a,idsat_p_2u5_a,cs_lo_fosc_hz,cs_lo_tstage_s,cs_lo_isupply_a,cs_md_fosc_hz,cs_md_tstage_s,cs_md_isupply_a,cs_hi_fosc_hz,cs_hi_tstage_s,cs_hi_isupply_a
ff,-40,2.97,2.88768e+09,3.46299e-11,0.000409974,2.83947e-14,9.56051e-15,2.93763e+09,3.4041e-11,0.00163573,3.58376e-11,3.35885e-11,3.4713e-11,5.02031e-11,5.23555e-11,0.00057598,0.000678936,7.28727e+07,1.37226e-09,3.97435e-05,4.37228e+08,2.28714e-10,0.000186408,1.54718e+09,6.46339e-11,0.000729568
ff,-40,3.30,3.10114e+09,3.22462e-11,0.000496357,3.20113e-14,9.70038e-15,3.14604e+09,3.1786e-11,0.00197511,3.37653e-11,3.08917e-11,3.23285e-11,4.87096e-11,4.95899e-11,0.000667365,0.000813603,6.1423e+07,1.62806e-09,4.04752e-05,3.62772e+08,2.75655e-10,0.000190241,1.56575e+09,6.38673e-11,0.000772471
ff,-40,3.63,3.28229e+09,3.04666e-11,0.00058631,3.57257e-14,9.8418e-15,3.32116e+09,3.01099e-11,0.00232777,3.22821e-11,2.88809e-11,3.05815e-11,4.7563e-11,4.74593e-11,0.000758581,0.000950069,5.31923e+07,1.87997e-09,4.14929e-05,3.05785e+08,3.27027e-10,0.000193106,1.53272e+09,6.52437e-11,0.00081029
ff,27,2.97,2.51703e+09,3.97294e-11,0.000367972,2.92386e-14,9.84465e-15,2.56114e+09,3.90451e-11,0.00146769,4.10937e-11,3.85578e-11,3.98258e-11,5.96234e-11,6.20208e-11,0.000522783,0.000604479,6.82061e+07,1.46614e-09,3.99192e-05,4.19797e+08,2.3821e-10,0.00018632,1.35699e+09,7.36925e-11,0.000705966
ff,27,3.30,2.70751e+09,3.69343e-11,0.000445604,3.29161e-14,9.97459e-15,2.74705e+09,3.64027e-11,0.00177271,3.86944e-11,3.54e-11,3.70472e-11,5.72436e-11,5.85132e-11,0.000607166,0.000724646,5.77224e+07,1.73243e-09,4.04502e-05,3.52613e+08,2.83597e-10,0.000190782,1.39251e+09,7.18128e-11,0.000748812
ff,27,3.63,2.87193e+09,3.48198e-11,0.00052677,3.66841e-14,1.01058e-14,2.90569e+09,3.44153e-11,0.00208991,3.68487e-11,3.30555e-11,3.49521e-11,5.53992e-11,5.5802e-11,0.00069155,0.000847441,5.02012e+07,1.99198e-09,4.14255e-05,2.9925e+08,3.34169e-10,0.000194014,1.39172e+09,7.18533e-11,0.000787758
ff,125,2.97,2.13222e+09,4.68995e-11,0.000325012,3.04858e-14,1.02646e-14,2.16858e+09,4.61131e-11,0.00129471,4.90787e-11,4.49625e-11,4.70206e-11,7.46226e-11,7.52013e-11,0.000455892,0.000535942,6.22881e+07,1.60544e-09,4.05797e-05,3.95445e+08,2.5288e-10,0.000186926,1.1489e+09,8.704e-11,0.000676443
ff,125,3.30,2.29505e+09,4.3572e-11,0.000393049,3.42519e-14,1.03794e-14,2.32807e+09,4.2954e-11,0.00156142,4.61237e-11,4.13667e-11,4.37452e-11,7.08251e-11,7.03972e-11,0.000531008,0.000642385,5.31438e+07,1.88169e-09,4.11527e-05,3.37262e+08,2.96506e-10,0.00019198,1.18822e+09,8.41597e-11,0.000720998
ff,125,3.63,2.43943e+09,4.09933e-11,0.000464277,3.80645e-14,1.04861e-14,2.46769e+09,4.05238e-11,0.00183948,4.37614e-11,3.85077e-11,4.11345e-11,6.78899e-11,6.66945e-11,0.00060668,0.000752582,4.66293e+07,2.14457e-09,4.19603e-05,2.89266e+08,3.45703e-10,0.000195785,1.20488e+09,8.29959e-11,0.00075987
fs,-40,2.97,2.39036e+09,4.18347e-11,0.00033781,2.82644e-14,9.51662e-15,2.43476e+09,4.10719e-11,0.00135429,3.88488e-11,4.49366e-11,4.18927e-11,5.21282e-11,6.55613e-11,0.000545974,0.000507915,8.40931e+07,1.18916e-09,3.90589e-05,4.63707e+08,2.15654e-10,0.000178726,1.35242e+09,7.39414e-11,0.000685903
