# campaign: mc-cp-mismatch (dff clk->Q)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/dff_tg_3v3.sch (committed netlist)
# corners: typical/27C/3.30V, N=50 mismatch samples x 2 (rise+fall)
seed,tcq_r_s,tcq_f_s
1,2.36173e-10,2.04059e-10
2,2.35811e-10,2.06050e-10
3,2.34342e-10,2.05001e-10
4,2.36627e-10,2.03480e-10
5,2.35607e-10,2.05133e-10
6,2.34983e-10,2.04445e-10
7,2.35418e-10,2.05001e-10
8,2.35384e-10,2.04890e-10
9,2.36433e-10,2.04245e-10
10,2.37048e-10,2.06164e-10
11,2.35765e-10,2.04777e-10
12,2.34978e-10,2.02658e-10
13,2.36235e-10,2.04025e-10
14,2.37334e-10,2.03842e-10
15,2.37066e-10,2.04006e-10
16,2.35834e-10,2.05044e-10
17,2.37839e-10,2.05014e-10
18,2.37002e-10,2.06754e-10
19,2.35732e-10,2.06295e-10
20,2.34282e-10,2.03857e-10
21,2.35811e-10,2.03588e-10
22,2.36366e-10,2.04925e-10
23,2.37580e-10,2.04065e-10
24,2.36557e-10,2.05005e-10
25,2.35980e-10,2.06373e-10
26,2.34414e-10,2.03858e-10
27,2.36216e-10,2.03850e-10
28,2.34810e-10,2.04807e-10
29,2.37253e-10,2.04984e-10
30,2.36994e-10,2.02859e-10
31,2.36118e-10,2.06122e-10
32,2.36651e-10,2.04622e-10
33,2.36953e-10,2.04165e-10
34,2.35918e-10,2.04373e-10
35,2.34728e-10,2.03487e-10
36,2.36528e-10,2.03774e-10
37,2.35820e-10,2.04577e-10
38,2.36372e-10,2.04431e-10
39,2.34505e-10,2.03258e-10
40,2.35167e-10,2.04655e-10
41,2.37178e-10,2.06349e-10
42,2.36461e-10,2.04822e-10
43,2.36063e-10,2.03679e-10
44,2.34864e-10,2.04007e-10
45,2.34224e-10,2.04544e-10
46,2.35727e-10,2.03405e-10
47,2.35598e-10,2.04383e-10
48,2.34614e-10,2.05211e-10
49,2.37115e-10,2.05635e-10
50,2.34790e-10,2.03607e-10
