# campaign: mc-cp-mismatch (pfd_cp)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: typical/27C/3.30V, dphi={-1n,0,+1n}, N=40 mismatch samples
seed,qnet0_c,qplus_c,qminus_c,kd_wide_a,t_offset_s
1,-1.77937e-15,3.54617e-15,-7.15398e-15,5.35007e-06,-3.32588e-10
2,-1.46601e-15,3.12477e-15,-6.97487e-15,5.04982e-06,-2.90309e-10
3,-8.49319e-16,3.69749e-15,-6.19483e-15,4.94616e-06,-1.71713e-10
4,-2.08788e-15,2.38448e-15,-7.74937e-15,5.06692e-06,-4.12061e-10
5,-1.04384e-15,3.74564e-15,-6.34909e-15,5.04736e-06,-2.06809e-10
6,-1.58472e-15,3.60912e-15,-6.54064e-15,5.07488e-06,-3.12267e-10
7,-1.36149e-15,3.76905e-15,-7.33292e-15,5.55098e-06,-2.4527e-10
8,-2.603e-15,2.64856e-15,-7.81049e-15,5.22953e-06,-4.97751e-10
9,-1.0107e-15,3.39014e-15,-7.50332e-15,5.44673e-06,-1.85561e-10
10,-1.72831e-15,3.0825e-15,-7.20683e-15,5.14467e-06,-3.35942e-10
11,-2.14759e-15,3.08507e-15,-7.10484e-15,5.09495e-06,-4.21513e-10
12,-2.18546e-15,2.74639e-15,-7.46415e-15,5.10527e-06,-4.28079e-10
13,-1.14464e-15,3.92274e-15,-6.29109e-15,5.10691e-06,-2.24135e-10
14,-1.47217e-15,3.65004e-15,-7.42382e-15,5.53693e-06,-2.65882e-10
15,-2.15897e-15,2.98509e-15,-7.48245e-15,5.23377e-06,-4.12508e-10
16,-1.46735e-15,2.99776e-15,-7.08932e-15,5.04354e-06,-2.90937e-10
17,-1.54115e-15,3.54249e-15,-7.58432e-15,5.5634e-06,-2.77016e-10
18,-1.38206e-15,3.41378e-15,-6.39301e-15,4.9034e-06,-2.81858e-10
19,-1.1932e-15,3.24415e-15,-6.89534e-15,5.06974e-06,-2.35357e-10
20,-1.22682e-15,3.89707e-15,-6.09936e-15,4.99822e-06,-2.45452e-10
21,-2.40631e-15,2.60778e-15,-7.55349e-15,5.08063e-06,-4.73624e-10
22,-1.10838e-15,3.92654e-15,-6.62956e-15,5.27805e-06,-2.09998e-10
23,-1.47547e-15,3.23387e-15,-7.71153e-15,5.4727e-06,-2.69605e-10
24,-1.90651e-15,3.22053e-15,-7.75238e-15,5.48646e-06,-3.47494e-10
25,-6.80465e-16,3.65621e-15,-6.54246e-15,5.09933e-06,-1.33442e-10
26,-1.44925e-15,3.28086e-15,-7.30785e-15,5.29435e-06,-2.73735e-10
27,-7.8813e-16,3.9566e-15,-6.2032e-15,5.0799e-06,-1.55147e-10
28,-1.11828e-15,3.46471e-15,-7.32515e-15,5.39493e-06,-2.07284e-10
29,-1.17935e-15,3.37134e-15,-6.97751e-15,5.17443e-06,-2.27919e-10
30,-9.34914e-16,3.55176e-15,-7.79768e-15,5.67472e-06,-1.64751e-10
31,-1.18918e-15,3.24731e-15,-6.83801e-15,5.04266e-06,-2.35824e-10
32,-1.33229e-15,3.28534e-15,-7.58528e-15,5.43531e-06,-2.45118e-10
33,-1.99105e-15,3.61303e-15,-7.7175e-15,5.66526e-06,-3.51449e-10
34,-2.6601e-15,2.85728e-15,-7.37435e-15,5.11582e-06,-5.19976e-10
35,-1.74877e-15,2.83227e-15,-7.64269e-15,5.23748e-06,-3.33895e-10
36,-1.30287e-15,4.0679e-15,-6.18869e-15,5.1283e-06,-2.54055e-10
37,-7.22301e-16,3.38086e-15,-7.3367e-15,5.35878e-06,-1.34788e-10
38,-1.47371e-15,4.08147e-15,-6.22615e-15,5.15381e-06,-2.85946e-10
39,-9.22359e-16,3.77881e-15,-6.34289e-15,5.06085e-06,-1.82254e-10
40,-1.3377e-15,3.61766e-15,-7.59323e-15,5.60544e-06,-2.38643e-10
