# campaign: mc-cp-mismatch (dc)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: typical/27C/3.30V, N=200 mismatch samples
seed,vctrl_v,iup_a,idn_a,mism_pct
1,0.9,5.29297e-06,5.22241e-06,1.3420
1,1.65,5.28778e-06,5.2483e-06,0.7494
1,2.4,5.27494e-06,5.27103e-06,0.0742
2,0.9,5.25256e-06,5.15876e-06,1.8019
2,1.65,5.24753e-06,5.18133e-06,1.2696
2,2.4,5.23506e-06,5.20128e-06,0.6474
3,0.9,5.26163e-06,5.13245e-06,2.4856
3,1.65,5.25651e-06,5.15678e-06,1.9154
3,2.4,5.24372e-06,5.17816e-06,1.2581
4,0.9,5.3606e-06,5.1814e-06,3.3997
4,1.65,5.3555e-06,5.20813e-06,2.7901
4,2.4,5.3428e-06,5.23167e-06,2.1019
5,0.9,5.34762e-06,5.02962e-06,6.1288
5,1.65,5.34277e-06,5.05401e-06,5.5548
5,2.4,5.33068e-06,5.07531e-06,4.9081
6,0.9,5.3206e-06,5.45348e-06,-2.4667
6,1.65,5.31565e-06,5.48121e-06,-3.0668
6,2.4,5.30349e-06,5.50543e-06,-3.7365
7,0.9,5.2993e-06,5.08784e-06,4.0716
7,1.65,5.29445e-06,5.1092e-06,3.5613
7,2.4,5.28227e-06,5.1281e-06,2.9619
8,0.9,5.20419e-06,5.1553e-06,0.9439
8,1.65,5.19921e-06,5.1825e-06,0.3219
8,2.4,5.18685e-06,5.20648e-06,-0.3777
9,0.9,5.23379e-06,5.07408e-06,3.0988
9,1.65,5.22841e-06,5.09877e-06,2.5107
9,2.4,5.21519e-06,5.12025e-06,1.8372
10,0.9,5.38151e-06,5.15079e-06,4.3812
10,1.65,5.37619e-06,5.17681e-06,3.7786
10,2.4,5.36284e-06,5.19945e-06,3.0938
11,0.9,5.14894e-06,5.02521e-06,2.4322
11,1.65,5.14433e-06,5.04902e-06,1.8700
11,2.4,5.13296e-06,5.06998e-06,1.2345
12,0.9,5.30977e-06,4.99442e-06,6.1208
12,1.65,5.30447e-06,5.01435e-06,5.6231
12,2.4,5.29143e-06,5.03207e-06,5.0247
13,0.9,5.26716e-06,5.04201e-06,4.3680
13,1.65,5.26194e-06,5.06379e-06,3.8380
13,2.4,5.2491e-06,5.08309e-06,3.2135
14,0.9,5.26675e-06,5.02816e-06,4.6351
14,1.65,5.26132e-06,5.05344e-06,4.0307
14,2.4,5.24795e-06,5.07587e-06,3.3336
15,0.9,5.33794e-06,5.11888e-06,4.1898
15,1.65,5.33266e-06,5.14186e-06,3.6431
15,2.4,5.31967e-06,5.16205e-06,3.0075
16,0.9,5.14269e-06,4.90229e-06,4.7865
16,1.65,5.13802e-06,4.92481e-06,4.2376
16,2.4,5.12656e-06,4.94514e-06,3.6026
17,0.9,5.34453e-06,5.06356e-06,5.3991
17,1.65,5.33942e-06,5.0872e-06,4.8380
17,2.4,5.32647e-06,5.10792e-06,4.1890
18,0.9,5.23886e-06,5.2059e-06,0.6311
18,1.65,5.23372e-06,5.2294e-06,0.0826
18,2.4,5.22094e-06,5.24985e-06,-0.5522
19,0.9,5.20778e-06,4.85218e-06,7.0696
19,1.65,5.20314e-06,4.87201e-06,6.5732
19,2.4,5.19174e-06,4.88967e-06,5.9926
20,0.9,5.35578e-06,5.132e-06,4.2674
20,1.65,5.35039e-06,5.1521e-06,3.7761
20,2.4,5.33684e-06,5.17016e-06,3.1727
21,0.9,5.30143e-06,5.23835e-06,1.1970
21,1.65,5.29645e-06,5.26055e-06,0.6801
21,2.4,5.28386e-06,5.28007e-06,0.0718
22,0.9,5.23367e-06,5.37066e-06,-2.5837
22,1.65,5.22865e-06,5.39845e-06,-3.1956
22,2.4,5.21615e-06,5.42292e-06,-3.8870
23,0.9,5.23361e-06,5.09425e-06,2.6987
23,1.65,5.22858e-06,5.11796e-06,2.1383
23,2.4,5.21612e-06,5.13918e-06,1.4860
24,0.9,5.14374e-06,5.06641e-06,1.5148
24,1.65,5.13903e-06,5.08862e-06,0.9858
24,2.4,5.12739e-06,5.10833e-06,0.3724
25,0.9,5.20417e-06,5.17104e-06,0.6386
25,1.65,5.19949e-06,5.19353e-06,0.1147
25,2.4,5.18788e-06,5.21374e-06,-0.4972
26,0.9,5.2982e-06,5.34802e-06,-0.9359
26,1.65,5.29336e-06,5.37036e-06,-1.4441
26,2.4,5.28137e-06,5.39018e-06,-2.0393
27,0.9,5.30916e-06,5.30637e-06,0.0526
27,1.65,5.3039e-06,5.3332e-06,-0.5509
27,2.4,5.29083e-06,5.35685e-06,-1.2401
28,0.9,5.27511e-06,5.04262e-06,4.5066
28,1.65,5.2701e-06,5.06657e-06,3.9380
28,2.4,5.25763e-06,5.08774e-06,3.2844
29,0.9,5.40151e-06,5.39885e-06,0.0493
29,1.65,5.39631e-06,5.43007e-06,-0.6237
29,2.4,5.38367e-06,5.45689e-06,-1.3509
30,0.9,5.16982e-06,5.02923e-06,2.7569
30,1.65,5.16495e-06,5.04937e-06,2.2631
30,2.4,5.15286e-06,5.06724e-06,1.6755
31,0.9,5.20845e-06,5.39331e-06,-3.4873
31,1.65,5.2034e-06,5.423e-06,-4.1331
31,2.4,5.19101e-06,5.44852e-06,-4.8406
32,0.9,5.29946e-06,5.30569e-06,-0.1175
32,1.65,5.29463e-06,5.33233e-06,-0.7095
32,2.4,5.28268e-06,5.35595e-06,-1.3774
33,0.9,5.27063e-06,5.35926e-06,-1.6676
33,1.65,5.26573e-06,5.38832e-06,-2.3013
33,2.4,5.25361e-06,5.41388e-06,-3.0048
34,0.9,5.21536e-06,4.88227e-06,6.5974
34,1.65,5.21033e-06,4.90315e-06,6.0747
34,2.4,5.19765e-06,4.92197e-06,5.4484
35,0.9,5.21437e-06,5.28683e-06,-1.3800
35,1.65,5.20956e-06,5.31438e-06,-1.9920
35,2.4,5.19769e-06,5.3383e-06,-2.6691
36,0.9,5.28424e-06,5.01578e-06,5.2128
36,1.65,5.279e-06,5.04279e-06,4.5769
36,2.4,5.2661e-06,5.06633e-06,3.8669
37,0.9,5.18925e-06,5.21935e-06,-0.5784
37,1.65,5.18424e-06,5.23918e-06,-1.0542
37,2.4,5.17198e-06,5.25707e-06,-1.6318
38,0.9,5.22994e-06,5.21336e-06,0.3175
38,1.65,5.22539e-06,5.23566e-06,-0.1963
38,2.4,5.21424e-06,5.2555e-06,-0.7882
39,0.9,5.24778e-06,5.15853e-06,1.7153
39,1.65,5.24302e-06,5.1833e-06,1.1456
39,2.4,5.2313e-06,5.20518e-06,0.5006
40,0.9,5.32145e-06,4.86567e-06,8.9482
40,1.65,5.31668e-06,4.88488e-06,8.4654
40,2.4,5.30449e-06,4.902e-06,7.8869
41,0.9,5.2685e-06,5.35717e-06,-1.6690
41,1.65,5.26308e-06,5.38547e-06,-2.2987
41,2.4,5.24969e-06,5.41012e-06,-3.0100
42,0.9,5.34226e-06,5.14916e-06,3.6811
42,1.65,5.33685e-06,5.17124e-06,3.1520
42,2.4,5.32362e-06,5.19061e-06,2.5301
43,0.9,5.27534e-06,5.06584e-06,4.0518
43,1.65,5.27066e-06,5.09412e-06,3.4065
43,2.4,5.25898e-06,5.11847e-06,2.7080
44,0.9,5.13159e-06,5.16338e-06,-0.6176
44,1.65,5.12699e-06,5.18956e-06,-1.2130
44,2.4,5.11564e-06,5.21204e-06,-1.8668
45,0.9,5.07954e-06,4.93607e-06,2.8649
45,1.65,5.07504e-06,4.96e-06,2.2928
45,2.4,5.06382e-06,4.9812e-06,1.6450
46,0.9,5.21317e-06,5.1506e-06,1.2075
46,1.65,5.20826e-06,5.17534e-06,0.6341
46,2.4,5.1963e-06,5.19712e-06,-0.0158
47,0.9,5.3376e-06,5.09416e-06,4.6673
47,1.65,5.33247e-06,5.12262e-06,4.0143
47,2.4,5.31959e-06,5.14713e-06,3.2954
48,0.9,5.26191e-06,5.17394e-06,1.6859
48,1.65,5.25716e-06,5.19927e-06,1.1073
48,2.4,5.2453e-06,5.22148e-06,0.4552
49,0.9,5.30669e-06,5.23799e-06,1.3030
49,1.65,5.30169e-06,5.26268e-06,0.7385
49,2.4,5.28901e-06,5.28422e-06,0.0906
50,0.9,5.19878e-06,5.02238e-06,3.4517
50,1.65,5.19386e-06,5.04449e-06,2.9179
50,2.4,5.18142e-06,5.06426e-06,2.2870
51,0.9,5.24993e-06,5.05637e-06,3.7561
51,1.65,5.24492e-06,5.07781e-06,3.2377
51,2.4,5.23234e-06,5.09659e-06,2.6285
52,0.9,5.40699e-06,5.12191e-06,5.4152
52,1.65,5.40183e-06,5.14729e-06,4.8258
52,2.4,5.38901e-06,5.16972e-06,4.1537
53,0.9,5.16958e-06,5.46963e-06,-5.6405
53,1.65,5.16488e-06,5.50627e-06,-6.3984
53,2.4,5.15336e-06,5.53785e-06,-7.1926
54,0.9,5.25404e-06,4.82671e-06,8.4781
54,1.65,5.24921e-06,4.84755e-06,7.9562
54,2.4,5.23735e-06,4.86597e-06,7.3516
55,0.9,5.21634e-06,5.11338e-06,1.9935
55,1.65,5.21138e-06,5.14028e-06,1.3737
55,2.4,5.19909e-06,5.16345e-06,0.6879
56,0.9,5.29306e-06,5.38152e-06,-1.6574
56,1.65,5.2882e-06,5.41236e-06,-2.3206
56,2.4,5.27603e-06,5.4386e-06,-3.0345
57,0.9,5.24014e-06,5.27539e-06,-0.6704
57,1.65,5.23509e-06,5.30293e-06,-1.2875
57,2.4,5.22256e-06,5.32725e-06,-1.9847
58,0.9,5.32614e-06,5.11286e-06,4.0862
58,1.65,5.32097e-06,5.13547e-06,3.5481
58,2.4,5.30804e-06,5.15554e-06,2.9149
59,0.9,5.28488e-06,5.14089e-06,2.7622
59,1.65,5.27941e-06,5.17048e-06,2.0848
59,2.4,5.26578e-06,5.19636e-06,1.3271
60,0.9,5.39843e-06,5.17938e-06,4.1417
60,1.65,5.39294e-06,5.20651e-06,3.5177
60,2.4,5.37953e-06,5.23021e-06,2.8148
61,0.9,5.19546e-06,5.30197e-06,-2.0293
61,1.65,5.19045e-06,5.32483e-06,-2.5559
61,2.4,5.17803e-06,5.34478e-06,-3.1693
62,0.9,5.26312e-06,5.1014e-06,3.1206
62,1.65,5.25805e-06,5.12617e-06,2.5400
62,2.4,5.24559e-06,5.14811e-06,1.8758
63,0.9,5.24889e-06,5.10351e-06,2.8086
63,1.65,5.24424e-06,5.1253e-06,2.2940
63,2.4,5.23267e-06,5.14446e-06,1.7001
64,0.9,5.39572e-06,5.26425e-06,2.4666
64,1.65,5.39061e-06,5.29195e-06,1.8471
64,2.4,5.37777e-06,5.31597e-06,1.1558
65,0.9,5.27595e-06,5.07311e-06,3.9200
65,1.65,5.27048e-06,5.09493e-06,3.3872
65,2.4,5.25698e-06,5.11446e-06,2.7483
66,0.9,5.31395e-06,5.18106e-06,2.5324
66,1.65,5.30925e-06,5.20984e-06,1.8901
66,2.4,5.29744e-06,5.23473e-06,1.1908
67,0.9,5.1462e-06,5.15836e-06,-0.2360
67,1.65,5.14127e-06,5.18093e-06,-0.7684
67,2.4,5.12926e-06,5.20084e-06,-1.3859
68,0.9,5.22773e-06,5.22834e-06,-0.0117
68,1.65,5.22256e-06,5.25459e-06,-0.6114
68,2.4,5.20975e-06,5.27757e-06,-1.2934
69,0.9,5.3406e-06,5.21435e-06,2.3922
69,1.65,5.33587e-06,5.24524e-06,1.7131
69,2.4,5.32417e-06,5.27198e-06,0.9851
70,0.9,5.1911e-06,5.2068e-06,-0.3020
70,1.65,5.18617e-06,5.2305e-06,-0.8511
70,2.4,5.17407e-06,5.25166e-06,-1.4884
71,0.9,5.23164e-06,5.10178e-06,2.5134
71,1.65,5.22674e-06,5.12989e-06,1.8703
71,2.4,5.21432e-06,5.15465e-06,1.1509
72,0.9,5.17291e-06,5.20253e-06,-0.5710
72,1.65,5.16807e-06,5.22834e-06,-1.1594
72,2.4,5.15626e-06,5.25083e-06,-1.8174
73,0.9,5.25243e-06,5.00056e-06,4.9131
73,1.65,5.24748e-06,5.02396e-06,4.3523
73,2.4,5.23523e-06,5.04474e-06,3.7060
74,0.9,5.26882e-06,5.06942e-06,3.8575
74,1.65,5.26391e-06,5.09217e-06,3.3167
74,2.4,5.25178e-06,5.11214e-06,2.6947
75,0.9,5.27009e-06,5.37745e-06,-2.0166
75,1.65,5.26527e-06,5.40213e-06,-2.5659
75,2.4,5.25354e-06,5.42408e-06,-3.1943
76,0.9,5.21197e-06,5.34147e-06,-2.4542
76,1.65,5.20708e-06,5.36624e-06,-3.0106
76,2.4,5.19494e-06,5.3877e-06,-3.6429
77,0.9,5.20141e-06,5.23945e-06,-0.7287
77,1.65,5.1965e-06,5.26601e-06,-1.3287
77,2.4,5.18417e-06,5.28924e-06,-2.0064
78,0.9,5.37715e-06,5.0561e-06,6.1544
78,1.65,5.37182e-06,5.08017e-06,5.5808
78,2.4,5.35832e-06,5.10129e-06,4.9147
79,0.9,5.4076e-06,5.08645e-06,6.1206
79,1.65,5.40245e-06,5.1107e-06,5.5502
79,2.4,5.38963e-06,5.13182e-06,4.9007
80,0.9,5.3288e-06,4.9662e-06,7.0442
80,1.65,5.3237e-06,4.98819e-06,6.5072
80,2.4,5.3111e-06,5.00774e-06,5.8797
81,0.9,5.24725e-06,5.11124e-06,2.6261
81,1.65,5.242e-06,5.13531e-06,2.0562
81,2.4,5.22898e-06,5.15636e-06,1.3985
82,0.9,5.35911e-06,5.11501e-06,4.6610
82,1.65,5.35378e-06,5.13676e-06,4.1374
82,2.4,5.3404e-06,5.15589e-06,3.5157
83,0.9,5.26505e-06,5.3743e-06,-2.0537
83,1.65,5.25988e-06,5.39927e-06,-2.6154
83,2.4,5.24695e-06,5.4209e-06,-3.2612
84,0.9,5.15311e-06,5.08945e-06,1.2430
84,1.65,5.14845e-06,5.1139e-06,0.6733
84,2.4,5.13691e-06,5.13563e-06,0.0249
85,0.9,5.13906e-06,5.27346e-06,-2.5815
85,1.65,5.13467e-06,5.29831e-06,-3.1370
85,2.4,5.12383e-06,5.31964e-06,-3.7499
86,0.9,5.11211e-06,4.90956e-06,4.0422
86,1.65,5.10769e-06,4.92867e-06,3.5674
86,2.4,5.09681e-06,4.94569e-06,3.0096
87,0.9,5.28829e-06,5.02031e-06,5.1992
87,1.65,5.28334e-06,5.04509e-06,4.6135
87,2.4,5.27111e-06,5.06693e-06,3.9501
88,0.9,5.25448e-06,5.28753e-06,-0.6270
88,1.65,5.24922e-06,5.30915e-06,-1.1352
88,2.4,5.23641e-06,5.32824e-06,-1.7384
89,0.9,5.21157e-06,4.9975e-06,4.1937
89,1.65,5.20674e-06,5.01949e-06,3.6622
89,2.4,5.19488e-06,5.03901e-06,3.0462
90,0.9,5.32951e-06,5.22239e-06,2.0303
90,1.65,5.32414e-06,5.2441e-06,1.5147
90,2.4,5.3109e-06,5.26292e-06,0.9075
91,0.9,5.24333e-06,5.36753e-06,-2.3410
91,1.65,5.23843e-06,5.39776e-06,-2.9960
91,2.4,5.22642e-06,5.42419e-06,-3.7138
92,0.9,5.09806e-06,5.17627e-06,-1.5224
92,1.65,5.09352e-06,5.20479e-06,-2.1609
92,2.4,5.08227e-06,5.22952e-06,-2.8560
93,0.9,5.2344e-06,5.47011e-06,-4.4039
93,1.65,5.22945e-06,5.49696e-06,-4.9879
93,2.4,5.21712e-06,5.52014e-06,-5.6443
94,0.9,5.20562e-06,5.23831e-06,-0.6260
94,1.65,5.2006e-06,5.26395e-06,-1.2108
94,2.4,5.18827e-06,5.28633e-06,-1.8723
95,0.9,5.35984e-06,4.9734e-06,7.4796
95,1.65,5.35435e-06,4.9958e-06,6.9284
95,2.4,5.34074e-06,5.01572e-06,6.2767
96,0.9,5.19846e-06,5.0092e-06,3.7082
96,1.65,5.19394e-06,5.03452e-06,3.1172
96,2.4,5.18277e-06,5.05697e-06,2.4571
97,0.9,5.28822e-06,5.0737e-06,4.1405
97,1.65,5.28332e-06,5.09641e-06,3.6014
97,2.4,5.27123e-06,5.11619e-06,2.9851
98,0.9,5.14868e-06,4.87532e-06,5.4541
98,1.65,5.14403e-06,4.89374e-06,4.9870
98,2.4,5.13242e-06,4.91041e-06,4.4213
99,0.9,5.22285e-06,5.01964e-06,3.9680
99,1.65,5.21772e-06,5.04401e-06,3.3856
99,2.4,5.20503e-06,5.06525e-06,2.7220
100,0.9,5.25431e-06,5.14336e-06,2.1341
100,1.65,5.24947e-06,5.16686e-06,1.5862
100,2.4,5.23756e-06,5.18767e-06,0.9571
101,0.9,5.21015e-06,5.23362e-06,-0.4495
101,1.65,5.20559e-06,5.25669e-06,-0.9768
101,2.4,5.19422e-06,5.27686e-06,-1.5784
