# campaign: mc-cp-mismatch (switch)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: typical/27C/3.30V, Vctrl=1.65, N=40 mismatch samples
seed,vctrl_v,wskew_s
1,1.65,-1.66461E-10
2,1.65,-1.7392E-10
3,1.65,-2.06634E-10
4,1.65,-1.54878E-10
5,1.65,-1.88057E-10
6,1.65,-1.35369E-10
7,1.65,-1.96828E-10
8,1.65,-1.77022E-10
9,1.65,-2.02339E-10
10,1.65,-1.74811E-10
11,1.65,-1.78857E-10
12,1.65,-1.92764E-10
13,1.65,-1.68994E-10
14,1.65,-1.55921E-10
15,1.65,-2.07476E-10
16,1.65,-1.78421E-10
17,1.65,-1.89014E-10
18,1.65,-1.72406E-10
19,1.65,-2.52869E-10
20,1.65,-1.74921E-10
21,1.65,-1.48152E-10
22,1.65,-1.72388E-10
23,1.65,-1.83053E-10
24,1.65,-1.9012E-10
25,1.65,-1.93834E-10
26,1.65,-1.18696E-10
27,1.65,-1.14729E-10
28,1.65,-2.1802E-10
29,1.65,-2.04985E-10
30,1.65,-1.68897E-10
31,1.65,-1.83069E-10
32,1.65,-1.52905E-10
33,1.65,-1.53997E-10
34,1.65,-1.03057E-10
35,1.65,-2.23015E-10
36,1.65,-1.88306E-10
37,1.65,-1.57856E-10
38,1.65,-1.77862E-10
39,1.65,-1.4043E-10
40,1.65,-2.39387E-10
