# campaign: vco-tuning-range (supply jitter)
# record_id: 20260731-184845-0a12e6c
# generated_utc: 2026-07-31T18:48:55Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-184845-0a12e6c.spice
# corners: 7 bundles x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V at band 5, plus a band sweep and a ripple-frequency sweep at 3 bundles
# deck: tb_vco_supply_jitter.sp -- three VCO copies per run, quiet / stepped /
#   rippled supply, all other conditions identical. The quiet copy is the
#   numerical jitter floor of the transient solver at these settings, not a
#   circuit result; every supply-induced number is reported against it.
# step: 0.1 V step with a 1n edge at the window midpoint
# ripple: 0.05 V amplitude sine at f_osc/<ripple_div>, 4 whole ripple periods
#   inside the measurement window
# *_pred: quasi-static prediction from the measured transient pushing
#   coefficient -- TIE_pp = K*A/(pi*f_rip*f_osc), period_pp = 2*T0*K*A/f_osc.
#   Agreement is what licenses projecting these numbers to ripple frequencies
#   other than the ones simulated.
bundle,temp_c,vdd_v,band,vctrl_v,ripple_div,arip_v,astep_v,frip_hz,quiet_f_hz,quiet_tj_pp_s,quiet_tj_rms_s,quiet_c2c_rms_s,quiet_tie_pp_s,quiet_tie_rms_s,step_f_pre_hz,step_f_post_hz,step_df_hz,step_kvdd_hz_per_v,step_tie_per_us_s,rip_f_hz,rip_tj_pp_s,rip_tj_rms_s,rip_c2c_rms_s,rip_tie_pp_s,rip_tie_rms_s,rip_tie_pp_pred_s,rip_tj_pp_pred_s,quiet_cycles,rip_cycles
all-fast,-40,2.97,5,1.8,16,0.05,0.1,6.04908e+06,1.14428e+08,2.92524e-12,5.26803e-13,8.28941e-13,3.96433e-12,8.637e-13,1.14428e+08,1.08949e+08,-5.4793e+06,-5.4793e+07,-4.78842e-08,1.145e+08,5.00009e-10,1.76344e-10,5.92411e-11,1.73674e-09,5.24873e-10,1.25986e-09,4.18466e-10,75,76
all-fast,-40,3.30,5,1.8,16,0.05,0.1,5.40676e+06,9.8458e+07,2.18168e-12,5.03974e-13,7.50213e-13,2.41957e-12,5.38961e-13,9.84577e+07,9.47726e+07,-3.6851e+06,-3.6851e+07,-3.74283e-08,9.85106e+07,4.66117e-10,1.64186e-10,5.74387e-11,1.55942e-09,4.71545e-10,1.10175e-09,3.80144e-10,73,73
all-fast,-40,3.63,5,1.8,16,0.05,0.1,4.76443e+06,8.77573e+07,2.74096e-12,6.5111e-13,9.48084e-13,3.49682e-12,6.85871e-13,8.77572e+07,8.52966e+07,-2.46055e+06,-2.46055e+07,-2.80382e-08,8.77901e+07,4.12954e-10,1.45974e-10,5.0358e-11,1.39854e-09,4.23147e-10,9.36608e-10,3.19496e-10,74,74
all-fast,27,2.97,5,1.8,16,0.05,0.1,8.06544e+06,1.28048e+08,1.49415e-12,2.81578e-13,4.42529e-13,1.66993e-12,3.35334e-13,1.28048e+08,1.21913e+08,-6.13581e+06,-6.13581e+07,-4.79179e-08,1.28117e+08,4.46786e-10,1.5792e-10,6.30722e-11,1.30293e-09,3.94525e-10,9.45564e-10,3.74219e-10,64,64
all-fast,27,3.30,0,1.8,16,0.05,0.1,589462,8.5729e+06,1.82543e-11,3.88248e-12,5.35793e-12,2.97896e-11,6.6133e-12,8.57286e+06,8.35894e+06,-213922,-2.13922e+06,-2.49534e-08,8.57674e+06,3.19662e-09,1.12221e-09,4.89143e-10,8.42562e-09,2.59867e-09,6.7374e-09,2.91072e-09,58,58
all-fast,27,3.30,1,1.8,16,0.05,0.1,972612,1.38291e+07,9.98495e-12,2.14647e-12,3.08645e-12,1.29444e-11,2.78732e-12,1.38291e+07,1.34474e+07,-381746,-3.81746e+06,-2.76045e-08,1.38347e+07,2.17935e-09,7.68426e-10,3.3979e-10,5.54242e-09,1.73535e-09,4.51712e-09,1.99613e-09,57,57
all-fast,27,3.30,2,1.8,16,0.05,0.1,1.60481e+06,2.31418e+07,8.91829e-12,1.50459e-12,2.24636e-12,8.84527e-12,1.62863e-12,2.31418e+07,2.24615e+07,-680273,-6.80273e+06,-2.93959e-08,2.31506e+07,1.4042e-09,4.96656e-10,2.16735e-10,3.65085e-09,1.13523e-09,2.9153e-09,1.27025e-09,58,58
all-fast,27,3.30,3,1.8,16,0.05,0.1,2.64794e+06,3.78991e+07,3.7205e-12,8.60521e-13,1.20162e-12,4.76269e-12,1.06518e-12,3.78992e+07,3.66657e+07,-1.23351e+06,-1.23351e+07,-3.25471e-08,3.79219e+07,9.52644e-10,3.34634e-10,1.48611e-10,2.49359e-09,7.63194e-10,1.95626e-09,8.58785e-10,57,57
all-fast,27,3.30,4,1.8,16,0.05,0.1,4.36909e+06,6.53044e+07,2.37141e-12,5.36966e-13,7.91529e-13,2.93606e-12,5.78638e-13,6.53043e+07,6.30689e+07,-2.23533e+06,-2.23533e+07,-3.42295e-08,6.53381e+07,6.61051e-10,2.33711e-10,9.96591e-11,1.82785e-09,5.52328e-10,1.24689e-09,5.24152e-10,60,60
all-fast,27,3.30,5,1.8,4,0.05,0.1,2.8836e+07,1.09973e+08,1.39239e-12,2.87265e-13,4.74581e-13,1.42484e-12,3.17086e-13,1.09972e+08,1.05765e+08,-4.2078e+06,-4.2078e+07,-3.82623e-08,1.09992e+08,6.3592e-10,2.25262e-10,3.30344e-10,4.40657e-10,1.53138e-10,2.11181e-10,3.47925e-10,61,61
all-fast,27,3.30,5,1.8,16,0.05,0.1,7.209e+06,1.09971e+08,1.2895e-12,2.99273e-13,4.33515e-13,1.89921e-12,3.50188e-13,1.09971e+08,1.05765e+08,-4.20587e+06,-4.20587e+07,-3.82454e-08,1.10041e+08,4.32429e-10,1.51843e-10,6.35362e-11,1.20119e-09,3.67586e-10,8.44351e-10,3.47777e-10,61,61
all-fast,27,3.30,5,1.8,32,0.05,0.1,3.6045e+06,1.09971e+08,1.55631e-12,3.02011e-13,4.56799e-13,3.10565e-12,7.03911e-13,1.09971e+08,1.05766e+08,-4.20422e+06,-4.20422e+07,-3.82304e-08,1.10015e+08,3.89262e-10,1.37457e-10,2.81472e-11,2.06182e-09,6.63149e-10,1.68804e-09,3.4764e-10,122,122
all-fast,27,3.30,6,1.8,16,0.05,0.1,1.18949e+07,1.96104e+08,1.06501e-12,2.37583e-13,3.34241e-13,1.33466e-12,3.14394e-13,1.96104e+08,1.88075e+08,-8.02921e+06,-8.02921e+07,-4.09436e-08,1.96216e+08,2.90166e-10,1.02022e-10,3.93973e-11,8.71705e-10,2.66207e-10,5.47831e-10,2.08786e-10,66,66
all-fast,27,3.30,7,1.8,16,0.05,0.1,1.96265e+07,3.43775e+08,5.74422e-13,1.26583e-13,1.83077e-13,7.4184e-13,1.97732e-13,3.43775e+08,3.30206e+08,-1.35687e+07,-1.35687e+08,-3.94696e-08,3.43885e+08,1.59217e-10,5.61171e-11,2.00969e-11,4.9307e-10,1.55593e-10,3.20067e-10,1.14813e-10,70,70
all-fast,27,3.63,5,1.8,16,0.05,0.1,6.35256e+06,9.76627e+07,1.85259e-12,3.74953e-13,5.73325e-13,2.06478e-12,4.3053e-13,9.76625e+07,9.4812e+07,-2.85047e+06,-2.85047e+07,-2.91869e-08,9.76979e+07,3.95908e-10,1.3959e-10,5.75656e-11,1.11157e-09,3.37708e-10,7.31238e-10,2.98854e-10,62,62
all-fast,125,2.97,5,1.8,16,0.05,0.1,1.08883e+07,1.49265e+08,1.43086e-12,3.21509e-13,3.74169e-13,4.49635e-12,1.16463e-12,1.49269e+08,1.42284e+08,-6.98463e+06,-6.98463e+07,-4.67923e-08,1.49429e+08,3.64153e-10,1.26721e-10,5.95152e-11,9.20192e-10,2.80011e-10,6.83982e-10,3.13491e-10,54,54
all-fast,125,3.30,5,1.8,16,0.05,0.1,9.73219e+06,1.28265e+08,1.03653e-12,2.46439e-13,3.511e-13,2.15471e-12,5.84159e-13,1.28266e+08,1.23327e+08,-4.93911e+06,-4.93911e+07,-3.85068e-08,1.28328e+08,3.69996e-10,1.29797e-10,6.22733e-11,8.80795e-10,2.71266e-10,6.29726e-10,3.00217e-10,53,53
all-fast,125,3.63,5,1.8,16,0.05,0.1,8.576e+06,1.13608e+08,9.32906e-13,2.19858e-13,3.53133e-13,8.72938e-13,2.08288e-13,1.13609e+08,1.10202e+08,-3.40685e+06,-3.40685e+07,-2.99876e-08,1.13667e+08,3.49259e-10,1.22924e-10,5.86295e-11,8.28966e-10,2.59111e-10,5.56516e-10,2.63957e-10,53,53
all-slow,-40,2.97,5,1.8,16,0.05,0.1,3.87141e+06,7.84607e+07,4.51054e-12,9.10121e-13,1.35246e-12,6.31697e-12,1.30024e-12,7.84613e+07,7.36934e+07,-4.76784e+06,-4.76784e+07,-6.07668e-08,7.8517e+07,9.10234e-10,3.19502e-10,1.00695e-10,3.37363e-09,1.02239e-09,2.49816e-09,7.74493e-10,81,81
