# per-cycle period and TIE sequences, one row per measured cycle
# vsup=3.3 tsettle=9.94021e-07 tstepon=6.29547e-06 astep=0.1 arip=0.05 frip=377256
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
0,1.124307636e-06,1.87238e-07,-2.91989e-12,1.124307637e-06,1.87238e-07,3.86386e-08,1.135991144e-06,1.8885e-07,3.62862e-09
1,1.311545406e-06,1.87238e-07,-1.0574e-11,1.311545406e-06,1.87238e-07,3.58138e-08,1.324840712e-06,1.87522e-07,5.33418e-09
2,1.498783477e-06,1.87245e-07,-1.79271e-11,1.498783477e-06,1.87245e-07,3.29893e-08,1.512362766e-06,1.86139e-07,5.71223e-09
3,1.686028924e-06,1.87244e-07,-1.79038e-11,1.686028925e-06,1.87244e-07,3.01722e-08,1.698502082e-06,1.84977e-07,4.70754e-09
4,1.873272507e-06,1.8725e-07,-1.9745e-11,1.873272507e-06,1.8725e-07,2.73532e-08,1.883478638e-06,1.84238e-07,2.54009e-09
5,2.060522587e-06,1.87252e-07,-1.50888e-11,2.060522587e-06,1.87252e-07,2.45407e-08,2.067716975e-06,1.84105e-07,-3.65585e-10
6,2.247774468e-06,1.87246e-07,-8.63117e-12,2.247774469e-06,1.87246e-07,2.17301e-08,2.251821803e-06,1.84511e-07,-3.40476e-09
7,2.435020877e-06,1.87249e-07,-7.64596e-12,2.435020878e-06,1.87249e-07,1.89139e-08,2.436333134e-06,1.85468e-07,-6.03744e-09
8,2.622270081e-06,1.87244e-07,-3.86624e-12,2.622270081e-06,1.87244e-07,1.61006e-08,2.621800898e-06,1.86751e-07,-7.71368e-09
9,2.809514155e-06,1.87243e-07,-5.2159e-12,2.809514156e-06,1.87243e-07,1.32821e-08,2.808551491e-06,1.88115e-07,-8.1071e-09
10,2.996757292e-06,1.87247e-07,-7.5029e-12,2.996757292e-06,1.87247e-07,1.04627e-08,2.996666885e-06,1.89314e-07,-7.13571e-09
