# gf180-pll :: supply-sensitivity :: supply step/ramp transient
# corner: ss / -40 C, band 5, N=8, f_ref=12.5e6 Hz
# profile: 3.30 V -> step(100n) -> 3.63 V @ 5.6u;
#          ramp 16.0u..22.4u -> 2.97 V; hold to 59.2u
# decimation: nearest sample at 20e-9 s from the full ngspice trace
t_s,vctrl_v,lock_v,vdd_v,fb_v
0,2.2266,4.77784e-09,3.3,1.57952
2.00520298e-08,2.18235,4.77972e-09,3.3,3.3
4.007e-08,2.14294,4.77805e-09,3.3,3.3
6.01692145e-08,2.15161,2.55891e-08,3.3,-3.14076e-06
8.02e-08,2.16029,-1.53216e-08,3.3,-1.56046e-07
1.0023775e-07,2.15282,4.43894e-08,3.3,3.3
1.20265818e-07,2.1166,4.81726e-09,3.3,3.3
1.40351984e-07,2.12879,5.09567e-08,3.3,6.50001e-06
1.604e-07,2.14005,4.90972e-09,3.3,1.81755e-05
1.80442069e-07,2.14153,-1.54576e-07,3.3,3.30001
2.00448396e-07,2.10989,4.93232e-09,3.3,3.3
2.20452069e-07,2.12011,-4.1687e-08,3.3,-1.05865e-05
2.40455588e-07,2.13226,4.94509e-09,3.3,4.91249e-09
2.60520589e-07,2.14134,9.9474e-08,3.3,3.30004
2.80541393e-07,2.11097,1.5026e-09,3.3,3.3
3.00559667e-07,2.12093,-2.23837e-09,3.3,3.3
3.20576626e-07,2.13289,4.94036e-09,3.3,4.8711e-09
3.40584891e-07,2.14344,4.9497e-09,3.3,5.64283e-07
3.6062838e-07,2.11812,3.64147e-08,3.3,3.3
3.80703958e-07,2.12767,5.0817e-08,3.3,3.3
4.00737856e-07,2.13877,4.94032e-09,3.3,2.31089e-08
4.2080093e-07,2.14856,4.94997e-09,3.3,-0.0146638
4.40807241e-07,2.12824,-1.77833e-07,3.3,3.3
4.60842402e-07,2.13783,5.11444e-08,3.3,3.3
4.80900075e-07,2.14768,4.94053e-09,3.3,4.72397e-09
5.00926138e-07,2.15634,4.94995e-09,3.3,5.45391e-07
5.20927213e-07,2.14143,-7.86356e-05,3.3,3.3
5.40936695e-07,2.14949,2.50367e-08,3.3,3.3
5.60967527e-07,2.15789,4.94088e-09,3.3,-0.000710851
5.8100152e-07,2.1653,4.94992e-09,3.3,-1.16125e-06
6.01021615e-07,2.15492,5.29104e-05,3.3,3.3
6.21050705e-07,2.16145,-2.49822e-08,3.3,3.3
6.41100075e-07,2.1684,4.94051e-09,3.3,4.56544e-09
6.61176272e-07,2.17453,4.95016e-09,3.3,2.67389e-06
6.81188803e-07,2.1679,9.17386e-07,3.3,3.3
7.0121782e-07,2.17289,-2.4964e-08,3.3,3.30001
7.21300075e-07,2.17847,4.94079e-09,3.3,3.84102e-09
7.41366782e-07,2.18338,4.95012e-09,3.3,5.57384e-06
7.61394073e-07,2.17954,-2.02352e-08,3.3,3.3
7.81439333e-07,2.18331,-1.14914e-08,3.3,3.3
8.0147266e-07,2.18762,4.94075e-09,3.3,0.000461648
8.21484867e-07,2.19142,4.95002e-09,3.3,0.00442215
8.41502088e-07,2.18969,9.65519e-08,3.3,3.3
8.61579137e-07,2.19226,-2.51539e-08,3.3,3.3
8.81600075e-07,2.1955,4.94105e-09,3.3,4.58988e-09
9.01693424e-07,2.19836,4.95051e-09,3.3,-2.6914e-06
9.21733048e-07,2.19786,-4.79699e-08,3.3,3.3
9.41809305e-07,2.19979,2.6109e-08,3.3,3.3
9.61900075e-07,2.20213,4.94419e-09,3.3,4.29767e-09
9.81946594e-07,2.20419,4.95377e-09,3.3,-1.84398e-06
1.00197999e-06,2.20435,1.29065e-08,3.3,3.30001
1.02204149e-06,2.20581,5.08437e-09,3.3,3.3
1.04208397e-06,2.20743,4.97182e-09,3.3,6.09057e-09
1.06216498e-06,2.20887,4.92506e-09,3.3,-2.47208e-06
1.08218246e-06,2.20961,2.3446e-09,3.3,3.30001
1.10220653e-06,2.21058,3.3499e-09,3.3,3.3
1.12225654e-06,2.21164,4.01825e-09,3.3,4.56191e-07
1.14231561e-06,2.21257,4.08348e-09,3.3,6.64173e-07
1.16232159e-06,2.21389,4.46042e-09,3.3,3.30001
1.18237831e-06,2.21482,4.56552e-09,3.3,3.3
1.20244715e-06,2.21538,4.63023e-09,3.3,2.50326e-05
1.2224737e-06,2.21588,4.69352e-09,3.3,2.11523e-07
1.24250849e-06,2.21748,5.14357e-09,3.3,3.30001
1.26258538e-06,2.21825,4.94941e-09,3.3,3.3
1.28260221e-06,2.21841,4.76981e-09,3.3,3.18345e-05
1.30268076e-06,2.21855,4.77961e-09,3.3,1.05896e-06
1.32268163e-06,2.22031,4.63408e-09,3.3,3.30001
1.34272138e-06,2.22084,4.94766e-09,3.3,3.3
1.36276116e-06,2.2207,4.79568e-09,3.3,-5.15275e-05
1.38280747e-06,2.22058,4.79872e-09,3.3,-3.84161e-06
1.40284466e-06,2.22245,5.94537e-09,3.3,3.30001
1.42293014e-06,2.2229,4.44932e-09,3.3,3.3
1.44294032e-06,2.22253,4.80612e-09,3.3,-6.90574e-05
1.4629816e-06,2.22219,4.80844e-09,3.3,-3.14138e-06
1.48300735e-06,2.22413,-5.44638e-08,3.3,3.30001
1.50308646e-06,2.22451,4.62524e-08,3.3,3.3
1.52314262e-06,2.22396,4.8023e-09,3.3,4.70877e-05
1.54317602e-06,2.22347,4.80471e-09,3.3,4.70512e-06
1.56319776e-06,2.22546,2.4253e-08,3.3,3.30001
1.58325004e-06,2.22569,2.44952e-08,3.3,3.3
1.60333377e-06,2.225,4.78209e-09,3.3,-5.46042e-05
1.62334076e-06,2.2244,4.78829e-09,3.3,6.18264e-07
1.64339759e-06,2.22648,-4.20389e-09,3.3,3.30001
1.66339954e-06,2.22653,2.07243e-08,3.3,3.3
1.68346321e-06,2.22575,4.48426e-09,3.3,3.79969e-05
1.703486e-06,2.22506,4.60928e-09,3.3,4.4971e-06
1.72348928e-06,2.22714,-9.77828e-08,3.3,3.3
1.74351341e-06,2.22711,-3.82923e-08,3.3,3.29999
1.76358843e-06,2.22627,4.78227e-09,3.3,-2.52837e-05
1.78368609e-06,2.22553,4.32297e-09,3.3,4.9824e-06
1.80374206e-06,2.22668,-4.40361e-09,3.3,3.30002
1.82382756e-06,2.22742,1.23034e-09,3.3,3.3
1.84390563e-06,2.22655,4.96199e-09,3.3,2.04537e-05
1.86399566e-06,2.22578,4.96684e-09,3.3,-4.7559e-06
1.8839964e-06,2.22877,2.91478e-08,3.3,3.3
1.90401933e-06,2.22775,-1.69112e-08,3.3,3.3
1.92409282e-06,2.22685,4.95987e-09,3.3,1.3834e-05
1.94416576e-06,2.22606,4.97019e-09,3.3,2.7123e-06
1.96417792e-06,2.22881,-3.35848e-08,3.3,3.3
1.98420323e-06,2.22785,6.03768e-08,3.3,3.3
2.00425387e-06,2.22695,4.95952e-09,3.3,4.17775e-06
2.02426901e-06,2.22615,4.96925e-09,3.3,-2.97002e-06
2.04431918e-06,2.22848,7.6475e-08,3.3,3.30001
2.06441215e-06,2.22801,7.06531e-08,3.3,3.3
2.08443371e-06,2.2271,4.95997e-09,3.3,3.66881e-06
2.10444029e-06,2.22629,4.96956e-09,3.3,-3.14407e-06
2.12445602e-06,2.22835,-4.90765e-08,3.3,3.3
2.14446032e-06,2.22799,-4.66444e-08,3.3,3.3
2.16452912e-06,2.22709,4.96247e-09,3.3,-9.20493e-06
2.18462286e-06,2.22628,4.97135e-09,3.3,-2.28974e-06
2.20466988e-06,2.22835,5.29933e-08,3.3,3.3
2.22473354e-06,2.228,5.20864e-08,3.3,3.3
2.24480097e-06,2.2271,4.96563e-09,3.3,3.64196e-06
2.26488932e-06,2.2263,4.97287e-09,3.3,4.04389e-06
2.28490646e-06,2.22842,-4.11042e-08,3.3,3.3
2.30491942e-06,2.22801,-4.02462e-08,3.3,3.3
2.32497713e-06,2.22711,4.96829e-09,3.3,-1.0835e-06
2.3449797e-06,2.22633,4.97339e-09,3.3,-4.44765e-06
2.36499277e-06,2.22842,2.91832e-08,3.3,3.30001
2.3850154e-06,2.22798,-1.88709e-08,3.3,3.3
2.40504012e-06,2.2271,4.9712e-09,3.3,1.94287e-06
2.42504737e-06,2.22632,4.97146e-09,3.3,3.42676e-06
2.4451071e-06,2.22845,5.27204e-08,3.3,3.3
2.46516748e-06,2.22798,-4.18186e-08,3.3,3.3
2.48522508e-06,2.2271,4.97293e-09,3.3,7.11528e-07
2.50531872e-06,2.22632,4.96692e-09,3.3,-4.48117e-07
2.52532731e-06,2.22845,2.70018e-08,3.3,3.3
2.545359e-06,2.22791,2.6612e-08,3.3,3.3
2.5654164e-06,2.22705,4.97185e-09,3.3,-3.8273e-06
2.58551008e-06,2.22628,4.93449e-09,3.3,-4.44328e-06
2.60555743e-06,2.22837,6.55021e-08,3.3,3.30001
2.62560695e-06,2.22778,6.42841e-08,3.3,3.3
2.64570356e-06,2.22694,4.94707e-09,3.3,-2.94875e-06
2.66579393e-06,2.2262,4.74732e-09,3.3,6.02141e-06
2.68582557e-06,2.22831,-5.9195e-08,3.3,3.29999
2.70591943e-06,2.22767,6.7703e-08,3.3,3.30129
2.72594958e-06,2.22685,4.81704e-09,3.3,0.00417025
2.7459567e-06,2.22613,4.10962e-09,3.3,0.00446267
2.76597791e-06,2.22832,-6.18038e-08,3.3,3.30309
2.78603885e-06,2.22767,-5.8636e-08,3.3,3.29276
2.80607103e-06,2.22686,4.37899e-09,3.3,-0.00708511
2.82607624e-06,2.22614,4.29004e-09,3.3,-0.0140247
2.84611354e-06,2.22837,-6.13617e-08,3.3,3.30466
2.86611659e-06,2.22769,6.64358e-08,3.3,3.30255
2.88615578e-06,2.22688,4.41516e-09,3.3,0.00419403
2.90617574e-06,2.22617,3.99306e-09,3.3,0.00353587
2.92621112e-06,2.22833,3.75841e-08,3.3,3.29975
2.94623378e-06,2.22764,3.0924e-08,3.3,3.30022
2.9662746e-06,2.22684,3.99401e-09,3.3,0.000414431
2.98631759e-06,2.22614,4.12684e-09,3.3,0.000132616
3.00636334e-06,2.22836,2.28884e-08,3.3,3.30002
3.0263794e-06,2.22766,-1.87981e-08,3.3,3.29971
3.0463929e-06,2.22686,4.30223e-09,3.3,0.000141464
3.06648832e-06,2.22616,4.50073e-09,3.3,1.18384e-05
3.0864982e-06,2.22836,-5.4343e-09,3.3,3.30004
3.10655779e-06,2.22763,1.44081e-08,3.3,3.30001
3.12658182e-06,2.22685,4.68439e-09,3.3,7.59598e-05
3.14660309e-06,2.22615,4.72573e-09,3.3,2.68074e-05
3.16668219e-06,2.22836,4.53302e-09,3.3,3.30003
3.18677565e-06,2.22761,4.96392e-09,3.3,3.29999
3.20678273e-06,2.22684,4.77821e-09,3.3,2.14152e-05
3.22684785e-06,2.22615,4.7857e-09,3.3,-1.73889e-05
3.24694107e-06,2.22822,4.2236e-09,3.3,3.29999
3.26698964e-06,2.22746,5.30072e-09,3.3,3.30005
3.28707071e-06,2.2267,4.7983e-09,3.3,-1.68258e-05
3.30712007e-06,2.22604,4.80105e-09,3.3,6.32503e-06
3.32714858e-06,2.2283,5.96516e-09,3.3,3.29999
3.3471883e-06,2.22752,3.79518e-09,3.3,3.3
3.36725041e-06,2.22677,4.80804e-09,3.3,-9.70042e-06
3.38734132e-06,2.2261,4.81045e-09,3.3,1.25784e-06
3.40741898e-06,2.22825,5.2744e-09,3.3,3.30001
3.42749703e-06,2.22745,4.40967e-09,3.3,3.3
3.44752877e-06,2.22671,4.81737e-09,3.3,1.83933e-06
3.46758098e-06,2.22605,4.81988e-09,3.3,-2.47864e-06
