# gf180-pll :: supply-sensitivity :: supply step/ramp transient
# corner: ff / 125 C, band 5, N=8, f_ref=12.5e6 Hz
# profile: 3.30 V -> step(100n) -> 3.63 V @ 5.6u;
#          ramp 16.0u..22.4u -> 2.97 V; hold to 59.2u
# decimation: nearest sample at 20e-9 s from the full ngspice trace
t_s,vctrl_v,lock_v,vdd_v,fb_v
0,2.023,5.15273e-07,3.3,1.64242
2.0041709e-08,1.97428,5.15273e-07,3.3,3.3
4.007e-08,1.93106,5.15273e-07,3.3,5.45981e-07
6.0089352e-08,1.93979,5.4565e-07,3.3,-4.65904e-07
8.00999198e-08,1.93275,4.78662e-07,3.3,3.29999
1.00117267e-07,1.89411,5.15264e-07,3.3,3.3
1.20135e-07,1.86016,5.15268e-07,3.3,4.63642e-07
1.40152611e-07,1.87716,4.8467e-07,3.3,3.43199e-07
1.602e-07,1.88873,2.77905e-06,3.3,3.3
1.80207008e-07,1.85567,5.15251e-07,3.3,3.3
2.00220731e-07,1.82606,5.15201e-07,3.3,0.0863685
2.20255011e-07,1.84709,5.44974e-07,3.3,-5.4087e-07
2.4027e-07,1.86742,5.14522e-07,3.3,5.17901e-07
2.60327423e-07,1.84692,5.26689e-07,3.3,3.3
2.80356279e-07,1.81959,5.13925e-07,3.3,3.3
3.00402623e-07,1.84022,5.09837e-07,3.3,1.06859e-06
3.2040573e-07,1.86117,5.14531e-07,3.3,9.92475e-08
3.40423986e-07,1.85811,5.2417e-07,3.3,3.3
3.60464887e-07,1.83133,5.17858e-07,3.3,3.3
3.80537428e-07,1.84878,5.09943e-07,3.3,8.70348e-07
4.0058536e-07,1.8686,5.14528e-07,3.3,6.2172e-07
4.2062397e-07,1.88049,3.32025e-06,3.3,3.3
4.40646046e-07,1.85079,4.95546e-07,3.3,3.3
4.60651038e-07,1.86671,5.19512e-07,3.3,0.173128
4.80683023e-07,1.88425,5.14528e-07,3.3,5.15311e-07
5.00731277e-07,1.89971,5.14591e-07,3.3,-7.42124e-07
5.20771337e-07,1.87605,9.10205e-07,3.3,3.3
5.40857748e-07,1.88938,4.83696e-07,3.3,3.29995
5.60907884e-07,1.90414,5.14527e-07,3.3,5.15042e-07
5.80970864e-07,1.91714,5.14584e-07,3.3,-1.23706e-07
6.01005178e-07,1.90285,2.96939e-05,3.3,3.3
6.21022719e-07,1.91339,4.84113e-07,3.3,3.3
6.41031215e-07,1.92519,5.14526e-07,3.3,0.0110473
6.61080905e-07,1.9356,5.14579e-07,3.3,1.98355e-06
6.81089195e-07,1.92909,8.97228e-06,3.3,3.3
7.01095727e-07,1.93648,5.47171e-07,3.3,3.3
7.21107884e-07,1.94548,5.14524e-07,3.3,5.15276e-07
