# gf180-pll :: pll-top-smoke acquisition transient
# record_id: 20260802-160926-8456ff3
# corner: typical_27c_3.30v (typical,res_typical,moscap_typical,mimcap_typical)
# config: N=8 band=5 icp_code=2 fref=9e6
# decimation: nearest-sample at 20e-9 s from the full ngspice trace
t_s,vctrl_v,lock_v,fb_v
0,1.2,5.48835e-09,1.60375
2.000663e-08,1.15396,5.4916e-09,3.3
4.00625528e-08,1.11301,5.49151e-09,3.3
6.01090063e-08,1.08386,2.29e-08,3.3
8.01307851e-08,1.09701,2.27573e-08,3.3
1.00204461e-07,1.10902,-1.08926e-08,-3.2327e-07
1.20299824e-07,1.11962,5.64733e-09,7.83294e-07
1.40322874e-07,1.12891,5.58528e-09,-5.57723e-06
1.60364965e-07,1.12852,1.55117e-08,3.3
1.80389283e-07,1.11834,-1.24317e-08,3.3
2.00428198e-07,1.12774,2.33963e-08,3.3
2.20523791e-07,1.13603,2.30016e-08,3.3
2.40571558e-07,1.14332,5.62953e-09,-3.69363e-06
2.6060231e-07,1.14973,5.50994e-09,4.24835e-06
2.80665998e-07,1.16014,7.83765e-06,4.19501e-09
3.00740307e-07,1.19236,4.70126e-08,3.30238
3.20755183e-07,1.19291,4.61098e-08,3.3
3.40764184e-07,1.19348,5.6585e-09,3.3
3.6084923e-07,1.19399,5.64205e-09,1.75379e-05
3.80915927e-07,1.19443,5.56562e-09,9.46483e-07
4.00976158e-07,1.22142,-3.48928e-09,-1.04104e-05
4.21023486e-07,1.26555,1.42553e-08,1.61776e-06
4.41025822e-07,1.26664,2.87336e-08,3.29976
4.61071631e-07,1.2586,5.65946e-09,3.3
4.81127183e-07,1.25151,5.65506e-09,3.29998
5.01193827e-07,1.24686,-6.03671e-08,5.60804e-08
5.212368e-07,1.28696,8.05465e-09,1.44736e-06
5.41318442e-07,1.32347,8.05064e-09,2.06993e-07
5.6138587e-07,1.33285,5.6542e-09,3.3
5.81447061e-07,1.31716,5.65909e-09,3.3
6.01502148e-07,1.30333,5.6583e-09,3.3
6.21530041e-07,1.31378,4.68132e-08,1.74959e-07
