# campaign: devchar-passives (resistors)
# record_id: 20260731-041346-833292f
# generated_utc: 2026-07-31T04:13:47Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-passives/testbench/tb_res.sp
# corners: res_{typical,ff,ss} x temp{-40,27,125}C; V across device swept 0..1.0V
# geometry: two drawn lengths per device, 10 um and 50 um, at W = 1 um
#   (ppolyf_u additionally at W = 2 um)
# rsh_eff_ohm_sq = (R_50um - R_10um) / squares between the two lengths, which
#   cancels the contact head resistance; r_head_ohm is the remaining intercept
#   (both terminals). rsh_eff differs from the model rsh parameter by the
#   effective-width narrowing, which is why it is measured rather than quoted.
# r_vcoef_pct_per_v: change in R between 0.1 V and 1.0 V across the device
device,width_um,corner_section,temp_c,r_10um_ohm,r_50um_ohm,rsh_eff_ohm_sq,r_head_ohm,r_vcoef_pct_per_v
npolyf_u,1,res_ff,-40,2992.54,14611.3,290.469,87.8572,-1.383e-14
npolyf_u,1,res_ff,27,2716.85,13247,263.255,84.3079,0
npolyf_u,1,res_ff,125,2405.2,11718.8,232.841,76.7926,0
npolyf_u,1,res_ss,-40,4386.77,21582.5,429.894,87.8335,0
npolyf_u,1,res_ss,27,3980.46,19565.1,389.617,84.2865,-2.066e-14
npolyf_u,1,res_ss,125,3522.81,17307,344.604,76.7737,0
npolyf_u,1,res_typical,-40,3689.66,18096.9,360.181,87.8453,-2.234e-14
npolyf_u,1,res_typical,27,3348.66,16406.1,326.436,84.2972,0
npolyf_u,1,res_typical,125,2964.01,14512.9,288.722,76.7831,0
ppolyf_s,1,res_ff,-40,17.3393,49.4447,0.802636,9.31295,-1.597e-14
ppolyf_s,1,res_ff,27,20.3956,61.2684,1.02182,10.1774,-1.289e-14
ppolyf_s,1,res_ff,125,24.8808,78.8138,1.34832,11.3976,0
ppolyf_s,1,res_ss,-40,129.705,611.286,12.0395,9.30958,0
ppolyf_s,1,res_ss,27,163.446,776.537,15.3273,10.1731,0
ppolyf_s,1,res_ss,125,213.641,1022.64,20.2249,11.3919,0
ppolyf_s,1,res_typical,-40,67.9038,302.273,5.85924,9.31143,0
ppolyf_s,1,res_typical,27,84.7683,383.139,7.45928,10.1755,-1.648e-14
ppolyf_s,1,res_typical,125,109.823,503.534,9.84277,11.395,-1.254e-14
ppolyf_u,1,res_ff,-40,3115.42,15021.3,297.646,138.957,-1.345e-14
ppolyf_u,1,res_ff,27,3076.02,14875.8,294.995,126.066,-1.359e-14
ppolyf_u,1,res_ff,125,3053.46,14831.8,294.457,108.886,0
ppolyf_u,1,res_ss,-40,4603.64,22462.4,446.469,138.951,-1.8e-14
ppolyf_u,1,res_ss,27,4550.99,22250.7,442.493,126.06,0
ppolyf_u,1,res_ss,125,4525.74,22193.2,441.686,108.88,-1.821e-14
ppolyf_u,1,res_typical,-40,3859.53,18741.8,372.058,138.954,0
ppolyf_u,1,res_typical,27,3813.5,18563.3,368.744,126.063,0
ppolyf_u,1,res_typical,125,3789.6,18512.5,368.072,108.883,2.184e-14
ppolyf_u,2,res_ff,-40,1516.95,7314.1,289.857,67.6606,-1.382e-14
ppolyf_u,2,res_ff,27,1497.76,7243.28,287.276,61.3835,-1.395e-14
ppolyf_u,2,res_ff,125,1486.78,7221.82,286.752,53.0184,-2.799e-14
ppolyf_u,2,res_ss,-40,2241.59,10937.3,434.786,67.6577,0
ppolyf_u,2,res_ss,27,2215.95,10834.2,430.914,61.3806,-1.865e-14
ppolyf_u,2,res_ss,125,2203.66,10806.2,430.128,53.0155,-1.87e-14
ppolyf_u,2,res_typical,-40,1879.27,9125.7,362.322,67.6591,-2.215e-14
ppolyf_u,2,res_typical,27,1856.86,9038.75,359.095,61.382,0
