# campaign: devchar-passives (capacitor C-V curves)
# generated_utc: 2026-07-31T03:36:45Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-passives/tb_cap_cv.sp
# corners: mimcap_{typical,ff,ss} + moscap_{typical,ff,ss} (swept together) x temp{-40,27,125}C; C-V sweep 0..3.63V covers the control range at every supply corner
device,corner_section,temp_c,v_v,c_f,density_ff_um2
cap_mim_1f0_m2m3_noshield,ff,-40,0.0227,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,0.2042,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,0.3857,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,0.5672,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,0.7487,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,0.9302,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,1.1117,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,1.2932,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,1.4747,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,1.6562,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,1.8377,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.0192,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.2007,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.3822,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.5637,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.7452,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,2.9267,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,3.1082,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,3.2897,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,-40,3.4712,8.34386e-13,0.9271
cap_mim_1f0_m2m3_noshield,ff,27,0.0227,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,0.2042,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,0.3857,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,0.5672,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,0.7487,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,0.9302,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,1.1117,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,1.2932,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,1.4747,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,1.6562,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,1.8377,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.0192,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.2007,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.3822,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.5637,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.7452,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,2.9267,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,3.1082,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,3.2897,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,27,3.4712,8.35132e-13,0.9279
cap_mim_1f0_m2m3_noshield,ff,125,0.0227,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,0.2042,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,0.3857,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,0.5672,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,0.7487,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,0.9302,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,1.1117,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,1.2932,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,1.4747,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,1.6562,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,1.8377,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.0192,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.2007,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.3822,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.5637,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.7452,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,2.9267,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,3.1082,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,3.2897,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ff,125,3.4712,8.36156e-13,0.9291
cap_mim_1f0_m2m3_noshield,ss,-40,0.0227,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,0.2042,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,0.3857,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,0.5672,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,0.7487,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,0.9302,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,1.1117,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,1.2932,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,1.4747,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,1.6562,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,1.8377,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.0192,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.2007,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.3822,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.5637,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.7452,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,2.9267,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,3.1082,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,3.2897,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,-40,3.4712,1.0198e-12,1.1331
cap_mim_1f0_m2m3_noshield,ss,27,0.0227,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,0.2042,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,0.3857,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,0.5672,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,0.7487,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,0.9302,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,1.1117,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,1.2932,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,1.4747,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,1.6562,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,1.8377,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.0192,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.2007,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.3822,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.5637,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.7452,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,2.9267,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,3.1082,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,3.2897,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,27,3.4712,1.02072e-12,1.1341
cap_mim_1f0_m2m3_noshield,ss,125,0.0227,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,0.2042,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,0.3857,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,0.5672,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,0.7487,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,0.9302,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,1.1117,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,1.2932,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,1.4747,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,1.6562,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,1.8377,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.0192,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.2007,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.3822,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.5637,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.7452,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,2.9267,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,3.1082,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,3.2897,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,ss,125,3.4712,1.02197e-12,1.1355
cap_mim_1f0_m2m3_noshield,typical,-40,0.0227,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,0.2042,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,0.3857,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,0.5672,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,0.7487,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,0.9302,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,1.1117,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,1.2932,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,1.4747,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,1.6562,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,1.8377,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.0192,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.2007,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.3822,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.5637,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.7452,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,2.9267,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,3.1082,9.27095e-13,1.0301
cap_mim_1f0_m2m3_noshield,typical,-40,3.2897,9.27095e-13,1.0301
