# campaign: devchar-passives (capacitors)
# record_id: 20260731-041345-833292f
# generated_utc: 2026-07-31T04:13:47Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-passives/testbench/tb_cap_cv.sp
# corners: mimcap_{typical,ff,ss} + moscap_{typical,ff,ss} (swept together) x temp{-40,27,125}C; C-V sweep 0..3.63V covers the control range at every supply corner
# geometry: every device drawn 30 um x 30 um = 900 um^2
# method: linear 0 -> 3.63 V ramp in 1 us; C(V) = i / (dv/dt) with both taken
#   from the simulated waveform, then a 1 us hold at 3.63 V whose residual
#   branch current is the leakage column
# dens_min/max and cv_ratio are taken over a 0.30 .. 3.30 V control window
# family mim_legacy = the cap_mim_*fF names in the .LIB cap_mim section of
#   sm141064.ngspice, which NO corner section includes; this deck pulls that
#   section in explicitly so the two naming families can be compared
device,family,corner_section,temp_c,area_um2,c_0v30_f,c_1v65_f,c_3v30_f,dens_3v30_ff_um2,dens_min_ff_um2,dens_max_ff_um2,cv_ratio,leak_3v63_a
cap_mim_1f0_m2m3_noshield,mim,ff,-40,900,8.34386e-13,8.34386e-13,8.34386e-13,0.9271,0.9271,0.9271,1.0000,6.10711e-18
cap_mim_1f0_m2m3_noshield,mim,ff,27,900,8.35132e-13,8.35132e-13,8.35132e-13,0.9279,0.9279,0.9279,1.0000,1.22439e-17
cap_mim_1f0_m2m3_noshield,mim,ff,125,900,8.36156e-13,8.36156e-13,8.36156e-13,0.9291,0.9291,0.9291,1.0000,1.19147e-17
cap_mim_1f0_m2m3_noshield,mim,ss,-40,900,1.0198e-12,1.0198e-12,1.0198e-12,1.1331,1.1331,1.1331,1.0000,9.95093e-18
cap_mim_1f0_m2m3_noshield,mim,ss,27,900,1.02072e-12,1.02072e-12,1.02072e-12,1.1341,1.1341,1.1341,1.0000,2.37807e-17
cap_mim_1f0_m2m3_noshield,mim,ss,125,900,1.02197e-12,1.02197e-12,1.02197e-12,1.1355,1.1355,1.1355,1.0000,1.45007e-18
cap_mim_1f0_m2m3_noshield,mim,typical,-40,900,9.27095e-13,9.27095e-13,9.27095e-13,1.0301,1.0301,1.0301,1.0000,7.6993e-18
cap_mim_1f0_m2m3_noshield,mim,typical,27,900,9.27924e-13,9.27924e-13,9.27924e-13,1.0310,1.0310,1.0310,1.0000,4.83983e-19
cap_mim_1f0_m2m3_noshield,mim,typical,125,900,9.29062e-13,9.29062e-13,9.29062e-13,1.0323,1.0323,1.0323,1.0000,1.76286e-18
cap_mim_1f0fF,mim_legacy,ff,-40,900,8.34386e-13,8.34386e-13,8.34386e-13,0.9271,0.9271,0.9271,1.0000,6.10711e-18
cap_mim_1f0fF,mim_legacy,ff,27,900,8.35132e-13,8.35132e-13,8.35132e-13,0.9279,0.9279,0.9279,1.0000,1.22439e-17
cap_mim_1f0fF,mim_legacy,ff,125,900,8.36156e-13,8.36156e-13,8.36156e-13,0.9291,0.9291,0.9291,1.0000,1.19147e-17
cap_mim_1f0fF,mim_legacy,ss,-40,900,1.0198e-12,1.0198e-12,1.0198e-12,1.1331,1.1331,1.1331,1.0000,9.95093e-18
cap_mim_1f0fF,mim_legacy,ss,27,900,1.02072e-12,1.02072e-12,1.02072e-12,1.1341,1.1341,1.1341,1.0000,2.37807e-17
cap_mim_1f0fF,mim_legacy,ss,125,900,1.02197e-12,1.02197e-12,1.02197e-12,1.1355,1.1355,1.1355,1.0000,1.45007e-18
cap_mim_1f0fF,mim_legacy,typical,-40,900,9.27095e-13,9.27095e-13,9.27095e-13,1.0301,1.0301,1.0301,1.0000,7.6993e-18
cap_mim_1f0fF,mim_legacy,typical,27,900,9.27924e-13,9.27924e-13,9.27924e-13,1.0310,1.0310,1.0310,1.0000,4.83983e-19
cap_mim_1f0fF,mim_legacy,typical,125,900,9.29062e-13,9.29062e-13,9.29062e-13,1.0323,1.0323,1.0323,1.0000,1.76286e-18
cap_mim_1f5_m2m3_noshield,mim,ff,-40,900,1.15298e-12,1.15298e-12,1.15298e-12,1.2811,1.2811,1.2811,1.0000,1.03464e-17
cap_mim_1f5_m2m3_noshield,mim,ff,27,900,1.15646e-12,1.15646e-12,1.15646e-12,1.2850,1.2850,1.2850,1.0000,2.39262e-17
cap_mim_1f5_m2m3_noshield,mim,ff,125,900,1.16026e-12,1.16026e-12,1.16026e-12,1.2892,1.2892,1.2892,1.0000,2.24304e-19
cap_mim_1f5_m2m3_noshield,mim,ss,-40,900,1.57596e-12,1.57596e-12,1.57596e-12,1.7511,1.7511,1.7511,1.0000,2.41008e-17
cap_mim_1f5_m2m3_noshield,mim,ss,27,900,1.58072e-12,1.58072e-12,1.58072e-12,1.7564,1.7564,1.7564,1.0000,1.97051e-18
