corner,temp_c,vdd,band,corner_id,tp1,tp2,tp3,tp4,tp5,tp6,tp7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,sw1hi,sw1lo,sw7hi,sw7lo,k1,k2,k3,k4,k5,k6,k7,kvco_min,kvco_max,kvco_mean,kvco_over_f_max,fine_ratio,verdict
typical,-40.0,2.97,band0,typical_-40c_2.97v_band0,9.47118e-07,7.90131e-07,6.71306e-07,5.81346e-07,5.10116e-07,4.54035e-07,4.08915e-07,4223340.0,5062450.0,5958530.0,6880580.0,7841350.0,8809900.0,9781990.0,3.74779e-05,4.1477e-05,4.56441e-05,5.07729e-05,5.53745e-05,5.97147e-05,6.43687e-05,3.02447,-0.0417383,3.04138,-0.0771206,2797033.333333334,2891983.3333333335,3030216.666666666,3138033.333333333,3215533.333333334,3234399.9999999995,3240299.999999997,2797033.333333334,3240299.999999997,3088138.8888888885,0.662279933259774,2.3161739286915095,PASS
typical,-40.0,2.97,band1,typical_-40c_2.97v_band1,5.84455e-07,4.87485e-07,4.13271e-07,3.57141e-07,3.13032e-07,2.78057e-07,2.4984e-07,6843980.0,8205380.0,9678870.0,11200100.0,12778200.0,14385500.0,16010200.0,4.48716e-05,5.06411e-05,5.64794e-05,6.23065e-05,6.82025e-05,7.46815e-05,8.0967e-05,3.03439,-0.0546111,3.04403,-0.0787199,4538000.000000001,4724816.666666667,4991199.999999999,5165549.999999999,5309000.000000001,5386666.666666666,5415666.666666662,4538000.000000001,5415666.666666662,5092344.444444444,0.6630644741802286,2.339311336386138,PASS
typical,-40.0,2.97,band2,typical_-40c_2.97v_band2,3.45206e-07,2.87213e-07,2.43397e-07,2.09595e-07,1.83648e-07,1.62932e-07,1.45903e-07,11587300.0,13927000.0,16434100.0,19084400.0,21780700.0,24550100.0,27415400.0,5.05905e-05,5.77174e-05,6.50553e-05,7.21053e-05,8.01976e-05,8.75981e-05,9.57745e-05,3.05493,-0.0863811,3.07589,-0.130113,7799000.000000002,8078000.0,8595666.666666666,8910999.999999998,9109500.000000002,9391166.666666666,9550999.99999999,7799000.000000002,9550999.99999999,8793388.888888888,0.6730644757622571,2.3659868994502604,PASS
typical,-40.0,2.97,band3,typical_-40c_2.97v_band3,2.10951e-07,1.74895e-07,1.47547e-07,1.26859e-07,1.10652e-07,9.78627e-08,8.74041e-08,18961800.0,22870900.0,27110100.0,31531200.0,36149300.0,40873600.0,45764500.0,6.64239e-05,7.5664e-05,8.64089e-05,9.63204e-05,0.000108423,0.000119654,0.00013054,3.08409,-0.115468,3.1047,-0.123414,13030333.333333336,13580500.0,14433833.333333332,15065333.33333333,15570666.66666667,16025333.33333333,16302999.999999985,13030333.333333336,16302999.999999985,14890388.888888886,0.6871886283650991,2.41351032075014,PASS
typical,-40.0,2.97,band4,typical_-40c_2.97v_band4,1.25982e-07,1.04053e-07,8.74572e-08,7.48271e-08,6.51124e-08,5.7385e-08,5.1055e-08,31750600.0,38441800.0,45736700.0,53456600.0,61432200.0,69704600.0,78346900.0,7.22726e-05,8.36494e-05,9.55879e-05,0.000107357,0.00011985,0.000132572,0.000144478,3.06299,-0.126742,3.13076,-0.158886,22304000.000000004,23310166.666666668,25024666.666666664,26159166.666666664,27080000.000000007,28191166.666666664,28807666.66666664,22304000.000000004,28807666.66666664,25886833.33333333,0.7024749138598957,2.467572266350872,PASS
typical,-40.0,2.97,band5,typical_-40c_2.97v_band5,7.53516e-08,6.19049e-08,5.17795e-08,4.40987e-08,3.81967e-08,3.35076e-08,2.97537e-08,53084400.0,64615300.0,77250700.0,90705600.0,104721000.0,119376000.0,134437000.0,0.000101855,0.000117412,0.000135145,0.000153878,0.000172188,0.00019157,0.000210993,3.05904,-0.123198,3.10603,-0.171081,38436333.33333334,40277166.66666667,43483833.33333333,45783833.33333333,47784000.00000001,49526666.66666666,50203333.33333329,38436333.33333334,50203333.33333329,45195888.88888888,0.7240608038017449,2.532514260309997,PASS
typical,-40.0,2.97,band6,typical_-40c_2.97v_band6,4.25213e-08,3.47478e-08,2.8927e-08,2.45731e-08,2.12546e-08,1.86601e-08,1.6598e-08,94070500.0,115115000.0,138279000.0,162779000.0,188194000.0,214361000.0,240992000.0,0.000144546,0.000170683,0.000198222,0.000225519,0.000254028,0.000281677,0.000311416,3.00989,-0.066486,3.03093,-0.0886205,70148333.33333334,73680833.33333334,79439999.99999999,83191666.66666666,85970000.00000001,87996666.66666666,88769999.99999993,70148333.33333334,88769999.99999993,81623055.55555554,0.7456995905553105,2.5618233133660393,PASS
typical,-40.0,2.97,band7,typical_-40c_2.97v_band7,2.47393e-08,2.01705e-08,1.68067e-08,1.43323e-08,1.24694e-08,1.10276e-08,9.89314e-09,161686000.0,198309000.0,238000000.0,279089000.0,320786000.0,362727000.0,404321000.0,0.000219044,0.000256863,0.000300323,0.000342568,0.000387001,0.000429585,0.000474923,3.01871,-0.0370234,3.03229,-0.0459015,122076666.66666669,127190000.0,134633333.3333333,137976666.66666666,139396666.6666667,139224999.99999997,138646666.66666654,122076666.66666669,139396666.6666667,134797222.2222222,0.7550231106383155,2.5006555917024356,PASS
typical,-40.0,3.3,band0,typical_-40c_3.30v_band0,1.04068e-06,8.72855e-07,7.45023e-07,6.46937e-07,5.70423e-07,5.08798e-07,4.59562e-07,3843640.0,4582660.0,5368960.0,6182980.0,7012340.0,7861670.0,8703940.0,4.27764e-05,4.6758e-05,4.98513e-05,5.5131e-05,5.99467e-05,6.51393e-05,6.95733e-05,3.34865,-0.0449938,3.36251,-0.0561715,2463400.0000000005,2542200.0,2667199.9999999995,2738966.666666666,2797816.6666666674,2819333.333333333,2807566.666666664,2463400.0000000005,2819333.333333333,2700166.666666666,0.6409028941316045,2.264504480128212,PASS
typical,-40.0,3.3,band1,typical_-40c_3.30v_band1,6.49376e-07,5.4421e-07,4.63379e-07,4.02141e-07,3.53978e-07,3.15347e-07,2.83878e-07,6159760.0,7350100.0,8632240.0,9946750.0,11300100.0,12684400.0,14090600.0,4.9869e-05,5.52605e-05,6.20576e-05,6.66081e-05,7.37482e-05,8.04467e-05,8.67191e-05,3.37748,-0.0868143,3.40173,-0.0882518,3967800.000000001,4120800.0,4327749.999999999,4446433.333333333,4562750.000000001,4650833.333333333,4687333.333333329,3967800.000000001,4687333.333333329,4406022.222222222,0.6441484733171424,2.287524189254127,PASS
