# campaign: devchar-cp
# generated_utc: 2026-07-31T03:24:39Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-cp/tb_cp_mirror.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points, 6 stacks each
# stacks: n_simple/n_casc/n_ws (CP sink) and p_simple/p_casc/p_ws (CP source);
#   _casc = self-biased cascode, _ws = wide-swing (low-voltage) cascode
# sizing: NMOS W=5um, PMOS W=15um, L=1um, cascode-bias diode at W/4; Iref=20uA
# vcomp_i1pct/i5pct: output voltage where |Iout| first reaches 99%/95% of isat
# vcomp_ro50: output voltage where ro falls to 50% of its mid-rail value
# headroom_*: same boundary as distance from the stack's own rail
#   (ground for n_*, Vdd for p_*)
# vth_ref/vdsat_ref: operating point of the polarity's reference mirror device
stack,process,temp_c,vdd_v,iref_a,isat_a,iout_mid_a,gain_mid,ro_30pct_ohm,ro_50pct_ohm,ro_70pct_ohm,vcomp_i1pct_v,vcomp_i5pct_v,vcomp_ro50_v,headroom_i1pct_v,headroom_ro50_v,vth_ref_v,vdsat_ref_v
n_casc,ff,-40,2.97,2e-05,2.00053e-05,1.99994e-05,0.99997,3.2551e+06,5.81395e+08,7.8125e+08,0.5800,0.2100,1.1800,0.5800,1.1800,0.651143,0.172955
n_casc,ff,-40,3.30,2e-05,2.00231e-05,1.99997e-05,0.999983,1.44425e+07,6.62252e+08,7.32601e+08,0.5800,0.2100,1.2100,0.5800,1.2100,0.651143,0.172955
n_casc,ff,-40,3.63,2e-05,2.00796e-05,1.99999e-05,0.999996,1.29702e+08,7.22022e+08,3.76648e+08,0.5800,0.2100,1.2300,0.5800,1.2300,0.651143,0.172955
n_casc,ff,27,2.97,2e-05,2.00051e-05,1.99995e-05,0.999976,3.94984e+06,5.78035e+08,8.06452e+08,0.5500,0.2500,1.1900,0.5500,1.1900,0.579979,0.215963
n_casc,ff,27,3.30,2e-05,2.00223e-05,1.99998e-05,0.999989,1.45836e+07,6.66667e+08,7.69231e+08,0.5500,0.2500,1.2200,0.5500,1.2200,0.579979,0.215963
n_casc,ff,27,3.63,2e-05,2.00771e-05,2e-05,1,1.14811e+08,7.35294e+08,4.01606e+08,0.5500,0.2500,1.2500,0.5500,1.2500,0.579979,0.215963
n_casc,ff,125,2.97,2e-05,2.0005e-05,1.99997e-05,0.999983,4.59643e+06,5.33333e+08,7.84314e+08,0.5400,0.3100,1.2000,0.5400,1.2000,0.475887,0.277598
n_casc,ff,125,3.30,2e-05,2.00213e-05,1.99999e-05,0.999996,1.42066e+07,6.26959e+08,7.63359e+08,0.5400,0.3100,1.2400,0.5400,1.2400,0.475887,0.277598
n_casc,ff,125,3.63,2e-05,2.00741e-05,2.00002e-05,1.00001,9.28936e+07,7.01754e+08,4.22833e+08,0.5400,0.3100,1.2700,0.5400,1.2700,0.475887,0.277598
n_casc,fs,-40,2.97,2e-05,2.00044e-05,1.99993e-05,0.999965,2.69844e+06,5.71429e+08,8e+08,0.6000,0.2200,1.2100,0.6000,1.2100,0.680005,0.175038
n_casc,fs,-40,3.30,2e-05,2.00198e-05,1.99996e-05,0.999978,7.2015e+06,6.62252e+08,7.8125e+08,0.6000,0.2200,1.2400,0.6000,1.2400,0.680005,0.175038
n_casc,fs,-40,3.63,2e-05,2.00702e-05,1.99998e-05,0.99999,7.3692e+07,7.29927e+08,4.47427e+08,0.6000,0.2200,1.2700,0.6000,1.2700,0.680005,0.175038
n_casc,fs,27,2.97,2e-05,2.00042e-05,1.99994e-05,0.99997,3.26339e+06,5.64972e+08,8.26446e+08,0.5700,0.2600,1.2200,0.5700,1.2200,0.608846,0.218594
n_casc,fs,27,3.30,2e-05,2.00189e-05,1.99997e-05,0.999983,8.02214e+06,6.64452e+08,8.16327e+08,0.5700,0.2600,1.2600,0.5700,1.2600,0.608846,0.218594
n_casc,fs,27,3.63,2e-05,2.00676e-05,1.99999e-05,0.999995,6.25978e+07,7.43494e+08,4.79616e+08,0.5700,0.2600,1.2900,0.5700,1.2900,0.608846,0.218594
n_casc,fs,125,2.97,2e-05,2.00041e-05,1.99995e-05,0.999976,3.80749e+06,5.22193e+08,8.03213e+08,0.5600,0.3200,1.2300,0.5600,1.2300,0.504764,0.281047
n_casc,fs,125,3.30,2e-05,2.00179e-05,1.99998e-05,0.99999,8.59882e+06,6.26959e+08,8.13008e+08,0.5600,0.3200,1.2700,0.5600,1.2700,0.504764,0.281047
n_casc,fs,125,3.63,2e-05,2.00644e-05,2.00001e-05,1,4.89956e+07,7.0922e+08,5.06329e+08,0.5600,0.3200,1.3100,0.5600,1.3100,0.504764,0.281047
n_casc,sf,-40,2.97,2e-05,2.00016e-05,1.99988e-05,0.99994,1.90902e+06,4.51467e+08,8.47458e+08,0.7300,0.2300,1.3400,0.7300,1.3400,0.837299,0.180857
n_casc,sf,-40,3.30,2e-05,2.00085e-05,1.99991e-05,0.999955,2.32637e+06,6.17284e+08,9.09091e+08,0.7300,0.2300,1.3900,0.7300,1.3900,0.837299,0.180857
n_casc,sf,-40,3.63,2e-05,2.00358e-05,1.99994e-05,0.999968,3.61749e+06,7.32601e+08,8.16327e+08,0.7300,0.2300,1.4200,0.7300,1.4200,0.837299,0.180857
n_casc,sf,27,2.97,2e-05,2.00015e-05,1.99989e-05,0.999945,2.20629e+06,4.329e+08,8.77193e+08,0.6900,0.2700,1.3500,0.6900,1.3500,0.766155,0.225786
n_casc,sf,27,3.30,2e-05,2.00079e-05,1.99992e-05,0.99996,2.78979e+06,6.11621e+08,9.56938e+08,0.6900,0.2700,1.4000,0.6900,1.4000,0.766155,0.225786
n_casc,sf,27,3.63,2e-05,2.00337e-05,1.99995e-05,0.999973,4.36576e+06,7.43494e+08,8.77193e+08,0.6900,0.2700,1.4400,0.6900,1.4400,0.766155,0.225786
n_casc,sf,125,2.97,2e-05,2.00015e-05,1.9999e-05,0.999948,2.50429e+06,3.90625e+08,8.69565e+08,0.6600,0.3300,1.3600,0.6600,1.3600,0.662093,0.290361
n_casc,sf,125,3.30,2e-05,2.00072e-05,1.99993e-05,0.999965,3.29962e+06,5.76369e+08,9.61538e+08,0.6600,0.3300,1.4200,0.6600,1.4200,0.662093,0.290361
n_casc,sf,125,3.63,2e-05,2.00311e-05,1.99996e-05,0.999978,5.15398e+06,7.19424e+08,9.17431e+08,0.6600,0.3300,1.4600,0.6600,1.4600,0.662093,0.290361
n_casc,ss,-40,2.97,2e-05,2.00012e-05,1.99987e-05,0.999935,1.8789e+06,4.08163e+08,8.54701e+08,0.7600,0.2300,1.3600,0.7600,1.3600,0.866132,0.182763
n_casc,ss,-40,3.30,2e-05,2.0007e-05,1.9999e-05,0.999951,2.20546e+06,5.95238e+08,9.25926e+08,0.7600,0.2300,1.4200,0.7600,1.4200,0.866132,0.182763
n_casc,ss,-40,3.63,2e-05,2.00309e-05,1.99993e-05,0.999964,3.05078e+06,7.24638e+08,8.77193e+08,0.7600,0.2300,1.4500,0.7600,1.4500,0.866132,0.182763
n_casc,ss,27,2.97,2e-05,2.00012e-05,1.99988e-05,0.999939,2.15063e+06,3.84615e+08,8.81057e+08,0.7100,0.2700,1.3700,0.7100,1.3700,0.794994,0.2282
n_casc,ss,27,3.30,2e-05,2.00065e-05,1.99991e-05,0.999956,2.61452e+06,5.8651e+08,9.70874e+08,0.7100,0.2700,1.4300,0.7100,1.4300,0.794994,0.2282
n_casc,ss,27,3.63,2e-05,2.00289e-05,1.99994e-05,0.999968,3.69208e+06,7.29927e+08,9.38967e+08,0.7100,0.2700,1.4700,0.7100,1.4700,0.794994,0.2282
n_casc,ss,125,2.97,2e-05,2.00012e-05,1.99988e-05,0.999941,2.41356e+06,3.37838e+08,8.73362e+08,0.6800,0.3300,1.3800,0.6800,1.3800,0.690942,0.293509
n_casc,ss,125,3.30,2e-05,2.00059e-05,1.99992e-05,0.999959,3.0603e+06,5.46448e+08,9.7561e+08,0.6800,0.3300,1.4500,0.6800,1.4500,0.690942,0.293509
n_casc,ss,125,3.63,2e-05,2.00264e-05,1.99995e-05,0.999973,4.3875e+06,7.04225e+08,9.7561e+08,0.6800,0.3300,1.4900,0.6800,1.4900,0.690942,0.293509
n_casc,typical,-40,2.97,2e-05,2.00027e-05,1.99991e-05,0.999953,2.10115e+06,5.29101e+08,8.29876e+08,0.6700,0.2200,1.2800,0.6700,1.2800,0.758657,0.177967
n_casc,typical,-40,3.30,2e-05,2.00131e-05,1.99993e-05,0.999966,3.12324e+06,6.49351e+08,8.58369e+08,0.6700,0.2200,1.3200,0.6700,1.3200,0.758657,0.177967
n_casc,typical,-40,3.63,2e-05,2.00507e-05,1.99996e-05,0.999979,9.6367e+06,7.38007e+08,6.38978e+08,0.6700,0.2200,1.3500,0.6700,1.3500,0.758657,0.177967
n_casc,typical,27,2.97,2e-05,2.00026e-05,1.99992e-05,0.999958,2.48951e+06,5.18135e+08,8.58369e+08,0.6300,0.2600,1.2900,0.6300,1.2900,0.687506,0.222226
n_casc,typical,27,3.30,2e-05,2.00124e-05,1.99994e-05,0.999971,3.78924e+06,6.53595e+08,9.04977e+08,0.6300,0.2600,1.3300,0.6300,1.3300,0.687506,0.222226
n_casc,typical,27,3.63,2e-05,2.00483e-05,1.99997e-05,0.999983,1.01595e+07,7.54717e+08,6.89655e+08,0.6300,0.2600,1.3700,0.6300,1.3700,0.687506,0.222226
n_casc,typical,125,2.97,2e-05,2.00025e-05,1.99992e-05,0.999962,2.88613e+06,4.78469e+08,8.47458e+08,0.6100,0.3200,1.3000,0.6100,1.3000,0.583434,0.285784
n_casc,typical,125,3.30,2e-05,2.00116e-05,1.99995e-05,0.999977,4.47357e+06,6.19195e+08,9.04977e+08,0.6100,0.3200,1.3500,0.6100,1.3500,0.583434,0.285784
n_casc,typical,125,3.63,2e-05,2.00453e-05,1.99998e-05,0.999989,1.04674e+07,7.27273e+08,7.27273e+08,0.6100,0.3200,1.3900,0.6100,1.3900,0.583434,0.285784
n_simple,ff,-40,2.97,2e-05,2.12794e-05,2.0386e-05,1.0193,1.60402e+06,1.87292e+06,1.92134e+06,1.1300,0.2500,0.4200,1.1300,0.4200,0.651143,0.172955
n_simple,ff,-40,3.30,2e-05,2.16798e-05,2.04705e-05,1.02353,1.6703e+06,1.91013e+06,1.81864e+06,1.2700,0.2700,0.4200,1.2700,0.4200,0.651143,0.172955
n_simple,ff,-40,3.63,2e-05,2.23137e-05,2.05589e-05,1.02795,1.72507e+06,1.93483e+06,1.60448e+06,1.4300,0.3100,0.4300,1.4300,0.4300,0.651143,0.172955
n_simple,ff,27,2.97,2e-05,2.11162e-05,2.03584e-05,1.01792,1.79888e+06,2.18286e+06,2.27842e+06,1.0700,0.2600,0.4800,1.0700,0.4800,0.579979,0.215963
n_simple,ff,27,3.30,2e-05,2.14661e-05,2.04308e-05,1.02154,1.89224e+06,2.23839e+06,2.16378e+06,1.2200,0.2700,0.4900,1.2200,0.4900,0.579979,0.215963
n_simple,ff,27,3.63,2e-05,2.20328e-05,2.0506e-05,1.0253,1.96996e+06,2.27894e+06,1.90418e+06,1.3700,0.2900,0.5000,1.3700,0.5000,0.579979,0.215963
n_simple,ff,125,2.97,2e-05,2.09722e-05,2.03441e-05,1.0172,1.99535e+06,2.56322e+06,2.74827e+06,1.0100,0.3000,0.5600,1.0100,0.5600,0.475887,0.277598
n_simple,ff,125,3.30,2e-05,2.12674e-05,2.04055e-05,1.02027,2.13122e+06,2.64922e+06,2.63418e+06,1.1500,0.3000,0.5700,1.1500,0.5700,0.475887,0.277598
n_simple,ff,125,3.63,2e-05,2.17582e-05,2.04688e-05,1.02344,2.24532e+06,2.71761e+06,2.3275e+06,1.3000,0.3100,0.5800,1.3000,0.5800,0.475887,0.277598
n_simple,fs,-40,2.97,2e-05,2.12407e-05,2.03614e-05,1.01807,1.61849e+06,1.89662e+06,1.94894e+06,1.1200,0.2500,0.4200,1.1200,0.4200,0.680005,0.175038
n_simple,fs,-40,3.30,2e-05,2.16321e-05,2.04448e-05,1.02224,1.68694e+06,1.93527e+06,1.8463e+06,1.2700,0.2700,0.4300,1.2700,0.4300,0.680005,0.175038
