# per (corner bundle, trim code): the window t_win (twin_r) reduced over that bundle's own 9 voltage/temperature points, plus the step to the previous code -- the trim's step size, total range and monotonicity, measured
# twin_at_ref_ns is the window at the trim rule's reference condition (27 C, nominal supply) -- the single measurement the rule selects a code from.
# within_bundle_spread is max/min over that bundle's own PVT box at that code. It is the FLOOR the trim cannot go below: the trim removes the process axis, not the voltage/temperature axes.
# step_vs_prev_code is the ratio of geometric means between adjacent codes; monotonic_in_code is 'NO' for any step that is not > 1, which is the property an unweighted pass gate breaks.
bundle,code,n_points,twin_min_ns,twin_max_ns,twin_geomean_ns,within_bundle_spread,twin_at_ref_ns,step_vs_prev_code,monotonic_in_code
all-fast,c0,9,0.8106,1.186,0.9707,1.464,0.9574,,
all-fast,c1,9,0.8661,1.266,1.037,1.462,1.022,1.068,yes
all-fast,c2,9,0.9162,1.339,1.096,1.462,1.081,1.057,yes
all-fast,c3,9,0.974,1.423,1.165,1.461,1.149,1.063,yes
all-fast,c4,9,1.023,1.493,1.222,1.46,1.206,1.049,yes
all-fast,c5,9,1.082,1.579,1.293,1.459,1.276,1.058,yes
all-fast,c6,9,1.136,1.657,1.357,1.459,1.339,1.05,yes
all-fast,c7,9,1.196,1.745,1.429,1.459,1.41,1.053,yes
all-slow,c0,9,1.035,1.583,1.267,1.528,1.247,,
all-slow,c1,9,1.102,1.683,1.348,1.527,1.327,1.064,yes
all-slow,c2,9,1.165,1.778,1.424,1.526,1.402,1.056,yes
all-slow,c3,9,1.235,1.883,1.509,1.525,1.485,1.06,yes
all-slow,c4,9,1.299,1.979,1.586,1.524,1.561,1.051,yes
all-slow,c5,9,1.371,2.089,1.674,1.523,1.648,1.055,yes
all-slow,c6,9,1.439,2.192,1.757,1.523,1.729,1.049,yes
all-slow,c7,9,1.513,2.303,1.846,1.523,1.817,1.051,yes
ff,c0,9,0.8106,1.186,0.9707,1.464,0.9574,,
ff,c1,9,0.8661,1.266,1.037,1.462,1.022,1.068,yes
ff,c2,9,0.9162,1.339,1.096,1.462,1.081,1.057,yes
ff,c3,9,0.974,1.423,1.165,1.461,1.149,1.063,yes
ff,c4,9,1.023,1.493,1.222,1.46,1.206,1.049,yes
ff,c5,9,1.082,1.579,1.293,1.459,1.276,1.058,yes
ff,c6,9,1.136,1.657,1.357,1.459,1.339,1.05,yes
ff,c7,9,1.196,1.745,1.429,1.459,1.41,1.053,yes
fs,c0,9,0.9163,1.38,1.113,1.506,1.097,,
fs,c1,9,0.9786,1.473,1.188,1.506,1.171,1.068,yes
fs,c2,9,1.036,1.56,1.258,1.506,1.239,1.058,yes
fs,c3,9,1.1,1.657,1.336,1.505,1.316,1.062,yes
fs,c4,9,1.157,1.741,1.404,1.505,1.383,1.051,yes
fs,c5,9,1.223,1.84,1.484,1.504,1.462,1.057,yes
fs,c6,9,1.285,1.933,1.559,1.504,1.535,1.05,yes
fs,c7,9,1.352,2.034,1.64,1.504,1.616,1.052,yes
mimcap_ff,c0,9,0.905,1.356,1.097,1.499,1.08,,
mimcap_ff,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
mimcap_ff,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
mimcap_ff,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
mimcap_ff,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
mimcap_ff,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
mimcap_ff,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
mimcap_ff,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
mimcap_ss,c0,9,0.905,1.356,1.097,1.499,1.08,,
mimcap_ss,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
mimcap_ss,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
mimcap_ss,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
mimcap_ss,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
mimcap_ss,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
mimcap_ss,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
mimcap_ss,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
moscap_ff,c0,9,0.905,1.356,1.097,1.499,1.08,,
moscap_ff,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
moscap_ff,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
moscap_ff,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
moscap_ff,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
moscap_ff,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
moscap_ff,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
moscap_ff,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
moscap_ss,c0,9,0.905,1.356,1.097,1.499,1.08,,
moscap_ss,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
moscap_ss,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
moscap_ss,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
moscap_ss,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
moscap_ss,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
moscap_ss,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
moscap_ss,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
res_ff,c0,9,0.905,1.356,1.097,1.499,1.08,,
res_ff,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
res_ff,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
res_ff,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
res_ff,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
res_ff,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
res_ff,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
res_ff,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
res_ss,c0,9,0.905,1.356,1.097,1.499,1.08,,
res_ss,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
res_ss,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
res_ss,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
res_ss,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
res_ss,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
res_ss,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
res_ss,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
sf,c0,9,0.9066,1.351,1.096,1.491,1.08,,
sf,c1,9,0.9656,1.437,1.166,1.489,1.149,1.064,yes
sf,c2,9,1.02,1.517,1.231,1.487,1.213,1.056,yes
sf,c3,9,1.082,1.608,1.305,1.486,1.286,1.06,yes
sf,c4,9,1.137,1.687,1.37,1.484,1.35,1.05,yes
sf,c5,9,1.201,1.781,1.447,1.483,1.426,1.056,yes
sf,c6,9,1.26,1.868,1.518,1.483,1.496,1.049,yes
sf,c7,9,1.325,1.964,1.596,1.482,1.573,1.052,yes
ss,c0,9,1.035,1.583,1.267,1.528,1.247,,
ss,c1,9,1.102,1.683,1.348,1.527,1.327,1.064,yes
ss,c2,9,1.165,1.778,1.424,1.526,1.402,1.056,yes
ss,c3,9,1.235,1.883,1.509,1.525,1.485,1.06,yes
ss,c4,9,1.299,1.979,1.586,1.524,1.561,1.051,yes
ss,c5,9,1.371,2.089,1.674,1.523,1.648,1.055,yes
ss,c6,9,1.439,2.192,1.757,1.523,1.729,1.049,yes
ss,c7,9,1.513,2.303,1.846,1.523,1.817,1.051,yes
typical,c0,9,0.905,1.356,1.097,1.499,1.08,,
typical,c1,9,0.9651,1.445,1.169,1.497,1.152,1.066,yes
typical,c2,9,1.02,1.527,1.235,1.497,1.217,1.057,yes
typical,c3,9,1.083,1.62,1.311,1.496,1.292,1.061,yes
typical,c4,9,1.138,1.701,1.377,1.494,1.357,1.05,yes
typical,c5,9,1.203,1.798,1.455,1.494,1.434,1.057,yes
typical,c6,9,1.263,1.887,1.527,1.494,1.505,1.05,yes
typical,c7,9,1.329,1.985,1.607,1.494,1.583,1.052,yes
