corner,temp_c,vdd,trim,corner_id,twin_r,twin_f,verdict
typical,-40.0,2.97,c0,typical_-40c_2.97v_c0,1.01403e-09,1.01485e-09,PASS
typical,-40.0,2.97,c1,typical_-40c_2.97v_c1,1.08005e-09,1.07697e-09,PASS
typical,-40.0,2.97,c2,typical_-40c_2.97v_c2,1.14005e-09,1.13257e-09,PASS
typical,-40.0,2.97,c3,typical_-40c_2.97v_c3,1.20943e-09,1.19849e-09,PASS
typical,-40.0,2.97,c4,typical_-40c_2.97v_c4,1.26928e-09,1.25377e-09,PASS
typical,-40.0,2.97,c5,typical_-40c_2.97v_c5,1.34096e-09,1.32275e-09,PASS
typical,-40.0,2.97,c6,typical_-40c_2.97v_c6,1.40653e-09,1.38478e-09,PASS
typical,-40.0,2.97,c7,typical_-40c_2.97v_c7,1.47962e-09,1.45621e-09,PASS
typical,-40.0,3.3,c0,typical_-40c_3.30v_c0,9.51843e-10,9.46164e-10,PASS
typical,-40.0,3.3,c1,typical_-40c_3.30v_c1,1.01451e-09,1.00541e-09,PASS
typical,-40.0,3.3,c2,typical_-40c_3.30v_c2,1.07184e-09,1.05879e-09,PASS
typical,-40.0,3.3,c3,typical_-40c_3.30v_c3,1.13756e-09,1.12165e-09,PASS
typical,-40.0,3.3,c4,typical_-40c_3.30v_c4,1.19475e-09,1.17494e-09,PASS
typical,-40.0,3.3,c5,typical_-40c_3.30v_c5,1.26249e-09,1.24062e-09,PASS
typical,-40.0,3.3,c6,typical_-40c_3.30v_c6,1.32487e-09,1.30018e-09,PASS
typical,-40.0,3.3,c7,typical_-40c_3.30v_c7,1.39378e-09,1.36793e-09,PASS
typical,-40.0,3.63,c0,typical_-40c_3.63v_c0,9.04981e-10,8.95233e-10,PASS
typical,-40.0,3.63,c1,typical_-40c_3.63v_c1,9.6511e-10,9.52346e-10,PASS
typical,-40.0,3.63,c2,typical_-40c_3.63v_c2,1.02043e-09,1.00415e-09,PASS
typical,-40.0,3.63,c3,typical_-40c_3.63v_c3,1.08333e-09,1.06464e-09,PASS
typical,-40.0,3.63,c4,typical_-40c_3.63v_c4,1.13847e-09,1.1165e-09,PASS
typical,-40.0,3.63,c5,typical_-40c_3.63v_c5,1.20318e-09,1.17953e-09,PASS
typical,-40.0,3.63,c6,typical_-40c_3.63v_c6,1.26308e-09,1.23713e-09,PASS
typical,-40.0,3.63,c7,typical_-40c_3.63v_c7,1.32881e-09,1.3018e-09,PASS
typical,27.0,2.97,c0,typical_27c_2.97v_c0,1.1539e-09,1.15269e-09,PASS
typical,27.0,2.97,c1,typical_27c_2.97v_c1,1.22926e-09,1.2237e-09,PASS
typical,27.0,2.97,c2,typical_27c_2.97v_c2,1.29821e-09,1.28778e-09,PASS
typical,27.0,2.97,c3,typical_27c_2.97v_c3,1.37732e-09,1.36306e-09,PASS
typical,27.0,2.97,c4,typical_27c_2.97v_c4,1.44574e-09,1.42664e-09,PASS
typical,27.0,2.97,c5,typical_27c_2.97v_c5,1.52742e-09,1.50537e-09,PASS
typical,27.0,2.97,c6,typical_27c_2.97v_c6,1.60254e-09,1.57673e-09,PASS
typical,27.0,2.97,c7,typical_27c_2.97v_c7,1.68583e-09,1.65816e-09,PASS
typical,27.0,3.3,c0,typical_27c_3.30v_c0,1.08046e-09,1.07299e-09,PASS
typical,27.0,3.3,c1,typical_27c_3.30v_c1,1.15165e-09,1.14039e-09,PASS
typical,27.0,3.3,c2,typical_27c_3.30v_c2,1.21708e-09,1.20152e-09,PASS
typical,27.0,3.3,c3,typical_27c_3.30v_c3,1.29169e-09,1.27294e-09,PASS
typical,27.0,3.3,c4,typical_27c_3.30v_c4,1.3566e-09,1.33378e-09,PASS
typical,27.0,3.3,c5,typical_27c_3.30v_c5,1.43351e-09,1.40834e-09,PASS
typical,27.0,3.3,c6,typical_27c_3.30v_c6,1.50457e-09,1.47634e-09,PASS
typical,27.0,3.3,c7,typical_27c_3.30v_c7,1.58286e-09,1.55316e-09,PASS
typical,27.0,3.63,c0,typical_27c_3.63v_c0,1.02447e-09,1.01305e-09,PASS
typical,27.0,3.63,c1,typical_27c_3.63v_c1,1.09248e-09,1.07774e-09,PASS
typical,27.0,3.63,c2,typical_27c_3.63v_c2,1.15524e-09,1.13671e-09,PASS
typical,27.0,3.63,c3,typical_27c_3.63v_c3,1.22638e-09,1.20514e-09,PASS
typical,27.0,3.63,c4,typical_27c_3.63v_c4,1.28857e-09,1.26391e-09,PASS
typical,27.0,3.63,c5,typical_27c_3.63v_c5,1.3618e-09,1.33515e-09,PASS
typical,27.0,3.63,c6,typical_27c_3.63v_c6,1.42973e-09,1.40052e-09,PASS
typical,27.0,3.63,c7,typical_27c_3.63v_c7,1.50418e-09,1.4736e-09,PASS
typical,125.0,2.97,c0,typical_125c_2.97v_c0,1.35635e-09,1.34723e-09,PASS
typical,125.0,2.97,c1,typical_125c_2.97v_c1,1.44511e-09,1.4311e-09,PASS
typical,125.0,2.97,c2,typical_125c_2.97v_c2,1.52726e-09,1.5079e-09,PASS
typical,125.0,2.97,c3,typical_125c_2.97v_c3,1.62041e-09,1.59674e-09,PASS
typical,125.0,2.97,c4,typical_125c_2.97v_c4,1.70142e-09,1.6728e-09,PASS
typical,125.0,2.97,c5,typical_125c_2.97v_c5,1.79758e-09,1.76556e-09,PASS
typical,125.0,2.97,c6,typical_125c_2.97v_c6,1.88683e-09,1.85077e-09,PASS
typical,125.0,2.97,c7,typical_125c_2.97v_c7,1.9849e-09,1.94648e-09,PASS
typical,125.0,3.3,c0,typical_125c_3.30v_c0,1.26694e-09,1.25316e-09,PASS
typical,125.0,3.3,c1,typical_125c_3.30v_c1,1.35034e-09,1.33236e-09,PASS
typical,125.0,3.3,c2,typical_125c_3.30v_c2,1.42775e-09,1.40516e-09,PASS
typical,125.0,3.3,c3,typical_125c_3.30v_c3,1.51515e-09,1.48896e-09,PASS
typical,125.0,3.3,c4,typical_125c_3.30v_c4,1.59144e-09,1.56114e-09,PASS
typical,125.0,3.3,c5,typical_125c_3.30v_c5,1.68156e-09,1.64846e-09,PASS
typical,125.0,3.3,c6,typical_125c_3.30v_c6,1.76545e-09,1.72903e-09,PASS
typical,125.0,3.3,c7,typical_125c_3.30v_c7,1.85729e-09,1.81882e-09,PASS
typical,125.0,3.63,c0,typical_125c_3.63v_c0,1.19722e-09,1.18065e-09,PASS
typical,125.0,3.63,c1,typical_125c_3.63v_c1,1.27647e-09,1.25624e-09,PASS
typical,125.0,3.63,c2,typical_125c_3.63v_c2,1.35019e-09,1.32596e-09,PASS
typical,125.0,3.63,c3,typical_125c_3.63v_c3,1.43312e-09,1.40581e-09,PASS
typical,125.0,3.63,c4,typical_125c_3.63v_c4,1.50571e-09,1.47496e-09,PASS
typical,125.0,3.63,c5,typical_125c_3.63v_c5,1.59113e-09,1.55796e-09,PASS
typical,125.0,3.63,c6,typical_125c_3.63v_c6,1.67083e-09,1.63484e-09,PASS
typical,125.0,3.63,c7,typical_125c_3.63v_c7,1.75778e-09,1.71994e-09,PASS
ff,-40.0,2.97,c0,ff_-40c_2.97v_c0,8.92524e-10,8.88537e-10,PASS
ff,-40.0,2.97,c1,ff_-40c_2.97v_c1,9.52612e-10,9.45526e-10,PASS
ff,-40.0,2.97,c2,ff_-40c_2.97v_c2,1.00633e-09,9.95677e-10,PASS
ff,-40.0,2.97,c3,ff_-40c_2.97v_c3,1.06926e-09,1.0561e-09,PASS
ff,-40.0,2.97,c4,ff_-40c_2.97v_c4,1.12145e-09,1.10476e-09,PASS
ff,-40.0,2.97,c5,ff_-40c_2.97v_c5,1.18627e-09,1.16783e-09,PASS
ff,-40.0,2.97,c6,ff_-40c_2.97v_c6,1.24462e-09,1.22373e-09,PASS
ff,-40.0,2.97,c7,ff_-40c_2.97v_c7,1.31055e-09,1.28868e-09,PASS
ff,-40.0,3.3,c0,ff_-40c_3.30v_c0,8.46063e-10,8.38095e-10,PASS
ff,-40.0,3.3,c1,ff_-40c_3.30v_c1,9.03529e-10,8.92863e-10,PASS
ff,-40.0,3.3,c2,ff_-40c_3.30v_c2,9.55207e-10,9.41427e-10,PASS
ff,-40.0,3.3,c3,ff_-40c_3.30v_c3,1.01526e-09,9.99371e-10,PASS
ff,-40.0,3.3,c4,ff_-40c_3.30v_c4,1.06542e-09,1.04663e-09,PASS
ff,-40.0,3.3,c5,ff_-40c_3.30v_c5,1.12714e-09,1.1069e-09,PASS
ff,-40.0,3.3,c6,ff_-40c_3.30v_c6,1.18303e-09,1.16077e-09,PASS
ff,-40.0,3.3,c7,ff_-40c_3.30v_c7,1.24571e-09,1.22249e-09,PASS
ff,-40.0,3.63,c0,ff_-40c_3.63v_c0,8.10597e-10,8.0022e-10,PASS
ff,-40.0,3.63,c1,ff_-40c_3.63v_c1,8.66052e-10,8.53321e-10,PASS
ff,-40.0,3.63,c2,ff_-40c_3.63v_c2,9.16166e-10,9.0072e-10,PASS
ff,-40.0,3.63,c3,ff_-40c_3.63v_c3,9.73987e-10,9.56719e-10,PASS
ff,-40.0,3.63,c4,ff_-40c_3.63v_c4,1.02256e-09,1.00291e-09,PASS
ff,-40.0,3.63,c5,ff_-40c_3.63v_c5,1.0819e-09,1.06091e-09,PASS
ff,-40.0,3.63,c6,ff_-40c_3.63v_c6,1.13587e-09,1.11314e-09,PASS
ff,-40.0,3.63,c7,ff_-40c_3.63v_c7,1.19607e-09,1.17228e-09,PASS
ff,27.0,2.97,c0,ff_27c_2.97v_c0,1.01294e-09,1.00694e-09,PASS
ff,27.0,2.97,c1,ff_27c_2.97v_c1,1.08125e-09,1.07183e-09,PASS
ff,27.0,2.97,c2,ff_27c_2.97v_c2,1.14263e-09,1.12937e-09,PASS
ff,27.0,2.97,c3,ff_27c_2.97v_c3,1.21414e-09,1.19807e-09,PASS
ff,27.0,2.97,c4,ff_27c_2.97v_c4,1.27341e-09,1.25374e-09,PASS
ff,27.0,2.97,c5,ff_27c_2.97v_c5,1.34707e-09,1.32535e-09,PASS
ff,27.0,2.97,c6,ff_27c_2.97v_c6,1.41363e-09,1.38926e-09,PASS
ff,27.0,2.97,c7,ff_27c_2.97v_c7,1.48858e-09,1.46291e-09,PASS
ff,27.0,3.3,c0,ff_27c_3.30v_c0,9.57393e-10,9.47753e-10,PASS
