# campaign: lock-detector
# record_id: 20260731-095213-0bffe91
# generated_utc: 2026-07-31T09:52:32Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/lock_detector.sch -> design/netlist/lock_detector.spice + sim/lock-detector/testbench/tb_lock_detector.sp
# corners: 45-point PVT grid at terr=4n; plus a 10-step phase-error ladder at 5 corners
# Stimulus models the tri-state PFD interface: UP high for (terr + t_reset),
#   DN high for t_reset, both falling together, so XOR(UP,DN) is high for
#   exactly terr. t_reset = 1n, reference rate = 25e6 Hz.
# twin_r_s / twin_f_s: rise/fall delay of a bare delaywin_3v3 with an ideal
#   step in = the comparator window itself.
# *_swept: the XA copy, driven at the terr of this row.
# *_inlock: the XB copy, terr = 0 (reset overlap only) -- must assert.
# lock_bigerr: the XC copy, static phase error = Tref/4 -- must never assert.
# lock_freqerr: the XD copy, feedback train 25% slow, so the error pulse beats
#   through every width from 0 to Tref -- must never assert.
# *_pert: the XE copy, terr = 0 until 2.40u then kicked to 8n.
#   lock_pert_before must be HIGH and lock_pert_after LOW.
# Levels are classified HIGH (>90% rail) / LOW (<10% rail) / CHATTER
#   (in between, i.e. the flag is toggling within the averaging window).
# i_supply_a: total for five DUT copies plus the testbench's OR gates and the
#   bare window element on the same rail -- an upper bound on one copy x 5,
#   not a per-copy figure.
process,temp_c,vdd_v,terr_s,twin_r_s,twin_f_s,t_assert_swept_s,lock_swept,t_assert_inlock_s,lock_inlock,lock_bigerr,lock_freqerr,t_assert_pert_s,t_deassert_pert_s,lock_pert_before,lock_pert_after,i_supply_a,pass
ff,-40,2.97,4e-09,9.65595e-10,9.66864e-10,nan,LOW,8.56793e-07,HIGH,LOW,LOW,8.56793e-07,2.40434e-06,HIGH,LOW,0.000125752,PASS
ff,-40,3.30,4e-09,9.16701e-10,9.14603e-10,nan,LOW,7.54742e-07,HIGH,LOW,LOW,7.54742e-07,2.40417e-06,HIGH,LOW,0.000144858,PASS
ff,-40,3.63,1.2e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40396e-06,HIGH,LOW,0.000164138,PASS
ff,-40,3.63,1.5e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40388e-06,HIGH,LOW,0.000164125,PASS
ff,-40,3.63,1e-08,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40401e-06,HIGH,LOW,0.000164273,PASS
ff,-40,3.63,1e-09,8.79725e-10,8.72206e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40392e-06,HIGH,LOW,0.000163892,PASS
ff,-40,3.63,2e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40396e-06,HIGH,LOW,0.00016415,PASS
ff,-40,3.63,2e-10,8.85747e-10,8.71329e-10,6.79576e-07,HIGH,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40391e-06,HIGH,LOW,0.000136465,PASS
ff,-40,3.63,3e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40404e-06,HIGH,LOW,0.000164246,PASS
ff,-40,3.63,4e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40402e-06,HIGH,LOW,0.000164248,PASS
ff,-40,3.63,5e-09,8.80944e-10,8.75692e-10,nan,LOW,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40401e-06,HIGH,LOW,0.000164252,PASS
ff,-40,3.63,5e-10,8.79605e-10,8.67306e-10,6.79576e-07,HIGH,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40398e-06,HIGH,LOW,0.000157513,PASS
ff,-40,3.63,8e-10,8.76885e-10,8.71078e-10,6.79576e-07,HIGH,6.79576e-07,HIGH,LOW,LOW,6.79576e-07,2.40388e-06,HIGH,LOW,0.000159398,PASS
ff,27,2.97,4e-09,1.0997e-09,1.09216e-09,nan,LOW,1.09628e-06,HIGH,LOW,LOW,1.09628e-06,2.4045e-06,HIGH,LOW,0.000129187,PASS
ff,27,3.30,4e-09,1.0463e-09,1.0293e-09,nan,LOW,9.64826e-07,HIGH,LOW,LOW,9.64826e-07,2.40437e-06,HIGH,LOW,0.00014739,PASS
ff,27,3.63,4e-09,9.94139e-10,9.82255e-10,nan,LOW,8.64921e-07,HIGH,LOW,LOW,8.64921e-07,2.40433e-06,HIGH,LOW,0.000166663,PASS
ff,125,2.97,1.2e-09,1.28462e-09,1.27006e-09,1.45747e-06,HIGH,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40467e-06,HIGH,LOW,0.00017151,PASS
ff,125,2.97,1.5e-09,1.28577e-09,1.27079e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40472e-06,HIGH,LOW,0.000160067,PASS
ff,125,2.97,1e-08,1.28577e-09,1.27185e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40465e-06,HIGH,LOW,0.000160787,PASS
ff,125,2.97,1e-09,1.28258e-09,1.26596e-09,1.45747e-06,HIGH,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40468e-06,HIGH,LOW,0.000170872,PASS
ff,125,2.97,2e-09,1.28577e-09,1.27185e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40465e-06,HIGH,LOW,0.000160781,PASS
ff,125,2.97,2e-10,1.28277e-09,1.26942e-09,1.45747e-06,HIGH,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40463e-06,HIGH,LOW,0.000150914,PASS
ff,125,2.97,3e-09,1.28577e-09,1.27185e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40466e-06,HIGH,LOW,0.000160842,PASS
ff,125,2.97,4e-09,1.28577e-09,1.27185e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40471e-06,HIGH,LOW,0.000160811,PASS
ff,125,2.97,5e-09,1.28577e-09,1.27185e-09,nan,LOW,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40465e-06,HIGH,LOW,0.000160819,PASS
ff,125,2.97,5e-10,1.27714e-09,1.26772e-09,1.45747e-06,HIGH,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40459e-06,HIGH,LOW,0.000161243,PASS
ff,125,2.97,8e-10,1.27826e-09,1.26615e-09,1.45747e-06,HIGH,1.45747e-06,HIGH,LOW,LOW,1.45747e-06,2.40467e-06,HIGH,LOW,0.000170769,PASS
ff,125,3.30,4e-09,1.21416e-09,1.19656e-09,nan,LOW,1.28244e-06,HIGH,LOW,LOW,1.28244e-06,2.40468e-06,HIGH,LOW,0.000171773,PASS
ff,125,3.63,4e-09,1.15884e-09,1.13384e-09,nan,LOW,1.14417e-06,HIGH,LOW,LOW,1.14417e-06,2.40466e-06,HIGH,LOW,0.000184969,PASS
fs,-40,2.97,4e-09,1.11772e-09,1.11262e-09,nan,LOW,1.13794e-06,HIGH,LOW,LOW,1.13794e-06,2.40452e-06,HIGH,LOW,0.000119151,PASS
fs,-40,3.30,4e-09,1.05346e-09,1.03978e-09,nan,LOW,9.66913e-07,HIGH,LOW,LOW,9.66913e-07,2.40436e-06,HIGH,LOW,0.000137052,PASS
fs,-40,3.63,4e-09,9.95492e-10,9.83508e-10,nan,LOW,8.45925e-07,HIGH,LOW,LOW,8.45925e-07,2.40426e-06,HIGH,LOW,0.000156153,PASS
fs,27,2.97,4e-09,1.26686e-09,1.25595e-09,nan,LOW,1.43731e-06,HIGH,LOW,LOW,1.43731e-06,2.40454e-06,HIGH,LOW,0.000128613,PASS
fs,27,3.30,4e-09,1.18889e-09,1.17042e-09,nan,LOW,1.22539e-06,HIGH,LOW,LOW,1.22539e-06,2.40452e-06,HIGH,LOW,0.000142711,PASS
fs,27,3.63,4e-09,1.13109e-09,1.10907e-09,nan,LOW,1.07097e-06,HIGH,LOW,LOW,1.07097e-06,2.40449e-06,HIGH,LOW,0.000159547,PASS
fs,125,2.97,4e-09,1.49091e-09,1.47129e-09,nan,LOW,1.87304e-06,HIGH,LOW,LOW,1.87304e-06,2.40474e-06,HIGH,LOW,0.000178327,PASS
fs,125,3.30,4e-09,1.39192e-09,1.36309e-09,nan,LOW,1.60584e-06,HIGH,LOW,LOW,1.60584e-06,2.40472e-06,HIGH,LOW,0.000177634,PASS
fs,125,3.63,4e-09,1.31333e-09,1.28573e-09,nan,LOW,1.40381e-06,HIGH,LOW,LOW,1.40381e-06,2.40468e-06,HIGH,LOW,0.000186932,PASS
sf,-40,2.97,4e-09,1.094e-09,1.10347e-09,nan,LOW,8.71565e-07,HIGH,LOW,LOW,8.71565e-07,2.40478e-06,HIGH,LOW,0.000116692,PASS
sf,-40,3.30,4e-09,1.02937e-09,1.02684e-09,nan,LOW,7.65932e-07,HIGH,LOW,LOW,7.65932e-07,2.40462e-06,HIGH,LOW,0.000134447,PASS
sf,-40,3.63,4e-09,9.77376e-10,9.77238e-10,nan,LOW,6.88549e-07,HIGH,LOW,LOW,6.88549e-07,2.40442e-06,HIGH,LOW,0.000153679,PASS
sf,27,2.97,4e-09,1.24148e-09,1.24629e-09,nan,LOW,1.11545e-06,HIGH,LOW,LOW,1.11545e-06,2.40514e-06,HIGH,LOW,0.000120489,PASS
sf,27,3.30,4e-09,1.16778e-09,1.16162e-09,nan,LOW,9.80806e-07,HIGH,LOW,LOW,9.80806e-07,2.40495e-06,HIGH,LOW,0.000137878,PASS
sf,27,3.63,4e-09,1.11628e-09,1.10085e-09,nan,LOW,8.78746e-07,HIGH,LOW,LOW,8.78746e-07,2.40478e-06,HIGH,LOW,0.000156962,PASS
sf,125,2.97,4e-09,1.45437e-09,1.45182e-09,nan,LOW,1.48497e-06,HIGH,LOW,LOW,1.48497e-06,2.40534e-06,HIGH,LOW,0.000141401,PASS
sf,125,3.30,4e-09,1.36543e-09,1.3542e-09,nan,LOW,1.3074e-06,HIGH,LOW,LOW,1.3074e-06,2.40523e-06,HIGH,LOW,0.000154162,PASS
sf,125,3.63,4e-09,1.29084e-09,1.28336e-09,nan,LOW,1.16745e-06,HIGH,LOW,LOW,1.16745e-06,2.40506e-06,HIGH,LOW,0.0001678,PASS
ss,-40,2.97,4e-09,1.26879e-09,1.271e-09,nan,LOW,1.16623e-06,HIGH,LOW,LOW,1.16623e-06,2.40505e-06,HIGH,LOW,0.000112399,PASS
ss,-40,3.30,4e-09,1.18122e-09,1.1772e-09,nan,LOW,9.86663e-07,HIGH,LOW,LOW,9.86663e-07,2.40493e-06,HIGH,LOW,0.000129886,PASS
ss,-40,3.63,1.2e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40476e-06,HIGH,LOW,0.000146851,PASS
ss,-40,3.63,1.5e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40468e-06,HIGH,LOW,0.000147461,PASS
ss,-40,3.63,1e-08,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40481e-06,HIGH,LOW,0.000147549,PASS
ss,-40,3.63,1e-09,1.11912e-09,1.10174e-09,8.6073e-07,HIGH,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.4047e-06,HIGH,LOW,0.000142794,PASS
ss,-40,3.63,2e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40476e-06,HIGH,LOW,0.000147438,PASS
ss,-40,3.63,2e-10,1.11998e-09,1.1128e-09,8.60733e-07,HIGH,8.60733e-07,HIGH,LOW,LOW,8.60733e-07,2.40476e-06,HIGH,LOW,0.000121792,PASS
ss,-40,3.63,3e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40478e-06,HIGH,LOW,0.00014761,PASS
ss,-40,3.63,4e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40477e-06,HIGH,LOW,0.000147596,PASS
ss,-40,3.63,5e-09,1.1232e-09,1.11124e-09,nan,LOW,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40479e-06,HIGH,LOW,0.000147613,PASS
ss,-40,3.63,5e-10,1.11179e-09,1.10603e-09,8.6073e-07,HIGH,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40477e-06,HIGH,LOW,0.000136516,PASS
ss,-40,3.63,8e-10,1.11989e-09,1.10284e-09,8.6073e-07,HIGH,8.6073e-07,HIGH,LOW,LOW,8.6073e-07,2.40474e-06,HIGH,LOW,0.000142945,PASS
ss,27,2.97,4e-09,1.44804e-09,1.44607e-09,nan,LOW,1.4699e-06,HIGH,LOW,LOW,1.4699e-06,2.40525e-06,HIGH,LOW,0.000117855,PASS
ss,27,3.30,4e-09,1.34477e-09,1.3369e-09,nan,LOW,1.25007e-06,HIGH,LOW,LOW,1.25007e-06,2.40517e-06,HIGH,LOW,0.000132983,PASS
ss,27,3.63,4e-09,1.26655e-09,1.25809e-09,nan,LOW,1.09104e-06,HIGH,LOW,LOW,1.09104e-06,2.40498e-06,HIGH,LOW,0.000149971,PASS
ss,125,2.97,1.2e-09,1.70149e-09,1.69039e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40542e-06,HIGH,LOW,0.000173225,PASS
ss,125,2.97,1.5e-09,1.69392e-09,1.68635e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40535e-06,HIGH,LOW,0.000173566,PASS
ss,125,2.97,1e-08,1.70198e-09,1.69104e-09,nan,LOW,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40543e-06,HIGH,LOW,0.000156425,PASS
ss,125,2.97,1e-09,1.6991e-09,1.68921e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40545e-06,HIGH,LOW,0.000172665,PASS
ss,125,2.97,2e-09,1.70063e-09,1.68938e-09,nan,LOW,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40544e-06,HIGH,LOW,0.000155985,PASS
ss,125,2.97,2e-10,1.69944e-09,1.68651e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40539e-06,HIGH,LOW,0.00015558,PASS
ss,125,2.97,3e-09,1.70198e-09,1.69104e-09,nan,LOW,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40541e-06,HIGH,LOW,0.000156382,PASS
ss,125,2.97,4e-09,1.70198e-09,1.69104e-09,nan,LOW,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40544e-06,HIGH,LOW,0.000156435,PASS
ss,125,2.97,5e-09,1.70198e-09,1.69104e-09,nan,LOW,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40542e-06,HIGH,LOW,0.000156441,PASS
ss,125,2.97,5e-10,1.68966e-09,1.68271e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40535e-06,HIGH,LOW,0.000160326,PASS
ss,125,2.97,8e-10,1.69505e-09,1.68862e-09,1.91255e-06,HIGH,1.91255e-06,HIGH,LOW,LOW,1.91255e-06,2.40542e-06,HIGH,LOW,0.00016914,PASS
ss,125,3.30,4e-09,1.58058e-09,1.56035e-09,nan,LOW,1.63876e-06,HIGH,LOW,LOW,1.63876e-06,2.40535e-06,HIGH,LOW,0.000159015,PASS
ss,125,3.63,4e-09,1.48402e-09,1.46318e-09,nan,LOW,1.43281e-06,HIGH,LOW,LOW,1.43281e-06,2.40527e-06,HIGH,LOW,0.00016937,PASS
typical,-40,2.97,4e-09,1.09717e-09,1.10056e-09,nan,LOW,9.89624e-07,HIGH,LOW,LOW,9.89624e-07,2.40459e-06,HIGH,LOW,0.000117779,PASS
typical,-40,3.30,4e-09,1.0328e-09,1.02561e-09,nan,LOW,8.55387e-07,HIGH,LOW,LOW,8.55387e-07,2.4045e-06,HIGH,LOW,0.000135835,PASS
typical,-40,3.63,4e-09,9.80626e-10,9.72815e-10,nan,LOW,7.58912e-07,HIGH,LOW,LOW,7.58912e-07,2.40436e-06,HIGH,LOW,0.000154952,PASS
typical,27,2.97,4e-09,1.24487e-09,1.24651e-09,nan,LOW,1.25792e-06,HIGH,LOW,LOW,1.25792e-06,2.40485e-06,HIGH,LOW,0.000122994,PASS
typical,27,3.30,1.2e-09,1.17121e-09,1.15789e-09,1.37705e-06,HIGH,1.08964e-06,HIGH,LOW,LOW,1.08964e-06,2.40472e-06,HIGH,LOW,0.000143958,PASS
