# campaign: mc-cp-mismatch (switch)
# record_id: 20260923-095854-1655e11
# generated_utc: 2026-09-23T09:58:58Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: 3 corners, Vctrl=1.65, N=16 mismatch samples/corner
corner,seed,vctrl_v,wskew_s
ff_-40c_3.63v,1,1.65,-1.62239E-10
ff_-40c_3.63v,2,1.65,-2.13225E-10
ff_-40c_3.63v,3,1.65,-1.95565E-10
ff_-40c_3.63v,4,1.65,-1.33045E-10
ff_-40c_3.63v,5,1.65,-1.59152E-10
ff_-40c_3.63v,6,1.65,-1.96298E-10
ff_-40c_3.63v,7,1.65,-1.41104E-10
ff_-40c_3.63v,8,1.65,-2.29014E-10
ff_-40c_3.63v,9,1.65,-1.58816E-10
ff_-40c_3.63v,10,1.65,-2.13979E-10
ff_-40c_3.63v,11,1.65,-1.84721E-10
ff_-40c_3.63v,12,1.65,-1.74865E-10
ff_-40c_3.63v,13,1.65,-2.10432E-10
ff_-40c_3.63v,14,1.65,-1.31523E-10
ff_-40c_3.63v,15,1.65,-2.00026E-10
ff_-40c_3.63v,16,1.65,-1.31154E-10
ss_125c_2.97v,1,1.65,-1.14415E-10
ss_125c_2.97v,2,1.65,-1.79326E-10
ss_125c_2.97v,3,1.65,-1.54343E-10
ss_125c_2.97v,4,1.65,-9.53107E-11
ss_125c_2.97v,5,1.65,-1.29352E-10
ss_125c_2.97v,6,1.65,-1.55334E-10
ss_125c_2.97v,7,1.65,-1.06704E-10
ss_125c_2.97v,8,1.65,-1.97033E-10
ss_125c_2.97v,9,1.65,-1.31275E-10
ss_125c_2.97v,10,1.65,-1.83203E-10
ss_125c_2.97v,11,1.65,-1.35404E-10
ss_125c_2.97v,12,1.65,-1.41342E-10
ss_125c_2.97v,13,1.65,-1.79081E-10
ss_125c_2.97v,14,1.65,-1.03017E-10
ss_125c_2.97v,15,1.65,-1.49948E-10
ss_125c_2.97v,16,1.65,-9.2043E-11
typical_27c_3.30v,1,1.65,-1.49573E-10
typical_27c_3.30v,2,1.65,-2.08304E-10
typical_27c_3.30v,3,1.65,-1.87178E-10
typical_27c_3.30v,4,1.65,-1.26664E-10
typical_27c_3.30v,5,1.65,-1.57728E-10
typical_27c_3.30v,6,1.65,-1.85306E-10
typical_27c_3.30v,7,1.65,-1.3648E-10
typical_27c_3.30v,8,1.65,-2.25167E-10
typical_27c_3.30v,9,1.65,-1.55832E-10
typical_27c_3.30v,10,1.65,-2.11429E-10
typical_27c_3.30v,11,1.65,-1.68113E-10
typical_27c_3.30v,12,1.65,-1.66297E-10
typical_27c_3.30v,13,1.65,-2.08825E-10
typical_27c_3.30v,14,1.65,-1.32795E-10
typical_27c_3.30v,15,1.65,-1.8433E-10
typical_27c_3.30v,16,1.65,-1.21814E-10
