# campaign: mc-cp-mismatch (pfd_cp)
# record_id: 20260923-095854-1655e11
# generated_utc: 2026-09-23T09:58:58Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: 3 corners, dphi={-1n,0,+1n}, N=16 mismatch samples/corner
corner,seed,qnet0_c,qplus_c,qminus_c,kd_wide_a,t_offset_s
ff_-40c_3.63v,1,-3.61029e-15,4.25453e-17,-9.97099e-15,5.00677e-06,-7.21082e-10
ff_-40c_3.63v,2,-2.86018e-15,5.57663e-16,-8.93088e-15,4.74427e-06,-6.0287e-10
ff_-40c_3.63v,3,-3.54488e-15,-1.7137e-16,-9.6786e-15,4.75361e-06,-7.45723e-10
ff_-40c_3.63v,4,-3.18847e-15,3.41513e-16,-9.98045e-15,5.16098e-06,-6.17803e-10
ff_-40c_3.63v,5,-3.01296e-15,2.464e-16,-9.85793e-15,5.05216e-06,-5.9637e-10
ff_-40c_3.63v,6,-3.2826e-15,7.09611e-16,-1.04158e-14,5.56271e-06,-5.90109e-10
ff_-40c_3.63v,7,-2.42635e-15,2.03168e-15,-8.16503e-15,5.09835e-06,-4.75908e-10
ff_-40c_3.63v,8,-2.71093e-15,9.13615e-16,-9.14044e-15,5.02703e-06,-5.39271e-10
ff_-40c_3.63v,9,-2.83464e-15,4.27998e-16,-1.09697e-14,5.69885e-06,-4.97406e-10
ff_-40c_3.63v,10,-2.60932e-15,7.46388e-16,-8.57304e-15,4.65971e-06,-5.59974e-10
ff_-40c_3.63v,11,-2.2174e-15,1.49892e-15,-8.68317e-15,5.09104e-06,-4.35549e-10
ff_-40c_3.63v,12,-2.92844e-15,9.33938e-16,-9.30981e-15,5.12187e-06,-5.71752e-10
ff_-40c_3.63v,13,-2.35822e-15,9.65411e-16,-8.95744e-15,4.96143e-06,-4.75311e-10
