# campaign: mc-cp-mismatch (dc)
# record_id: 20260923-095854-1655e11
# generated_utc: 2026-09-23T09:58:58Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: 3 corners x N=100 mismatch samples/corner
corner,seed,vctrl_v,iup_a,idn_a,mism_pct
ff_-40c_3.63v,1,0.9,5.27526e-06,4.94386e-06,6.4859
ff_-40c_3.63v,1,1.65,5.2695e-06,4.96501e-06,5.9503
ff_-40c_3.63v,1,2.4,5.25752e-06,4.98774e-06,5.2664
ff_-40c_3.63v,2,0.9,5.24175e-06,4.89756e-06,6.7892
ff_-40c_3.63v,2,1.65,5.23619e-06,4.92307e-06,6.1642
ff_-40c_3.63v,2,2.4,5.22472e-06,4.94978e-06,5.4045
ff_-40c_3.63v,3,0.9,5.16723e-06,4.9737e-06,3.8168
ff_-40c_3.63v,3,1.65,5.16134e-06,4.99571e-06,3.2614
ff_-40c_3.63v,3,2.4,5.14902e-06,5.01925e-06,2.5524
ff_-40c_3.63v,4,0.9,5.07892e-06,4.99742e-06,1.6177
ff_-40c_3.63v,4,1.65,5.07344e-06,5.02942e-06,0.8714
ff_-40c_3.63v,4,2.4,5.06214e-06,5.06221e-06,-0.0014
ff_-40c_3.63v,5,0.9,5.18204e-06,4.94566e-06,4.6680
ff_-40c_3.63v,5,1.65,5.17676e-06,4.97177e-06,4.0398
ff_-40c_3.63v,5,2.4,5.16571e-06,4.99905e-06,3.2792
ff_-40c_3.63v,6,0.9,5.16145e-06,5.17279e-06,-0.2195
ff_-40c_3.63v,6,1.65,5.1557e-06,5.19878e-06,-0.8321
ff_-40c_3.63v,6,2.4,5.14371e-06,5.22608e-06,-1.5887
ff_-40c_3.63v,7,0.9,5.15452e-06,4.87991e-06,5.4734
ff_-40c_3.63v,7,1.65,5.14916e-06,4.90466e-06,4.8638
ff_-40c_3.63v,7,2.4,5.1381e-06,4.93067e-06,4.1203
ff_-40c_3.63v,8,0.9,4.9489e-06,4.98072e-06,-0.6409
ff_-40c_3.63v,8,1.65,4.94394e-06,5.00197e-06,-1.1669
ff_-40c_3.63v,8,2.4,4.9336e-06,5.02484e-06,-1.8324
ff_-40c_3.63v,9,0.9,5.29991e-06,5.15562e-06,2.7601
ff_-40c_3.63v,9,1.65,5.29455e-06,5.18552e-06,2.0807
ff_-40c_3.63v,9,2.4,5.28328e-06,5.21643e-06,1.2734
ff_-40c_3.63v,10,0.9,5.20935e-06,4.99435e-06,4.2142
ff_-40c_3.63v,10,1.65,5.2041e-06,5.01845e-06,3.6322
ff_-40c_3.63v,10,2.4,5.19289e-06,5.04392e-06,2.9105
ff_-40c_3.63v,11,0.9,5.12687e-06,5.27683e-06,-2.8828
ff_-40c_3.63v,11,1.65,5.12161e-06,5.31008e-06,-3.6134
ff_-40c_3.63v,11,2.4,5.1104e-06,5.34416e-06,-4.4719
ff_-40c_3.63v,12,0.9,5.25356e-06,5.30108e-06,-0.9005
ff_-40c_3.63v,12,1.65,5.24823e-06,5.32954e-06,-1.5374
ff_-40c_3.63v,12,2.4,5.23699e-06,5.3592e-06,-2.3067
ff_-40c_3.63v,13,0.9,5.15211e-06,5.19095e-06,-0.7510
ff_-40c_3.63v,13,1.65,5.14699e-06,5.21311e-06,-1.2764
ff_-40c_3.63v,13,2.4,5.13631e-06,5.23691e-06,-1.9396
ff_-40c_3.63v,14,0.9,5.20909e-06,4.89246e-06,6.2689
ff_-40c_3.63v,14,1.65,5.20335e-06,4.916e-06,5.6792
ff_-40c_3.63v,14,2.4,5.19116e-06,4.94092e-06,4.9396
ff_-40c_3.63v,15,0.9,4.99012e-06,5.15638e-06,-3.2772
ff_-40c_3.63v,15,1.65,4.98523e-06,5.18981e-06,-4.0212
ff_-40c_3.63v,15,2.4,4.97508e-06,5.22402e-06,-4.8816
ff_-40c_3.63v,16,0.9,5.24053e-06,5.30325e-06,-1.1897
ff_-40c_3.63v,16,1.65,5.23473e-06,5.3342e-06,-1.8823
ff_-40c_3.63v,16,2.4,5.22254e-06,5.36616e-06,-2.7127
ff_-40c_3.63v,17,0.9,5.18196e-06,4.61021e-06,11.6777
ff_-40c_3.63v,17,1.65,5.17647e-06,4.62719e-06,11.2056
ff_-40c_3.63v,17,2.4,5.16489e-06,4.64594e-06,10.5791
ff_-40c_3.63v,18,0.9,5.25902e-06,5.11681e-06,2.7412
ff_-40c_3.63v,18,1.65,5.2535e-06,5.14326e-06,2.1207
ff_-40c_3.63v,18,2.4,5.24213e-06,5.17096e-06,1.3669
ff_-40c_3.63v,19,0.9,5.13074e-06,4.79857e-06,6.6907
ff_-40c_3.63v,19,1.65,5.12571e-06,4.81998e-06,6.1480
ff_-40c_3.63v,19,2.4,5.11527e-06,4.84288e-06,5.4707
ff_-40c_3.63v,20,0.9,5.1208e-06,4.97192e-06,2.9502
ff_-40c_3.63v,20,1.65,5.11594e-06,5.00083e-06,2.2756
ff_-40c_3.63v,20,2.4,5.10566e-06,5.03073e-06,1.4784
ff_-40c_3.63v,21,0.9,5.04047e-06,5.45578e-06,-7.9135
ff_-40c_3.63v,21,1.65,5.03516e-06,5.49158e-06,-8.6716
ff_-40c_3.63v,21,2.4,5.02415e-06,5.52813e-06,-9.5521
ff_-40c_3.63v,22,0.9,5.30441e-06,5.02248e-06,5.4601
ff_-40c_3.63v,22,1.65,5.29867e-06,5.04932e-06,4.8193
ff_-40c_3.63v,22,2.4,5.28655e-06,5.07733e-06,4.0375
