corner,temp_c,vdd,wc,corner_id,twin_r,twin_f,ctl_r,ctl_f,repl_err_pct,verdict
typical,-40.0,2.97,w08,typical_-40c_2.97v_w08,1.08654e-09,1.08811e-09,1.08653e-09,1.08809e-09,0.0009203611497230436,PASS
typical,-40.0,2.97,w09,typical_-40c_2.97v_w09,1.20325e-09,1.20463e-09,1.08653e-09,1.0881e-09,not measured,PASS
typical,-40.0,2.97,w095,typical_-40c_2.97v_w095,1.2616e-09,1.26289e-09,1.08653e-09,1.0881e-09,not measured,PASS
typical,-40.0,2.97,w10,typical_-40c_2.97v_w10,1.31994e-09,1.32114e-09,1.08653e-09,1.0881e-09,not measured,PASS
typical,-40.0,2.97,w11,typical_-40c_2.97v_w11,1.43647e-09,1.43752e-09,1.08653e-09,1.0881e-09,not measured,PASS
typical,-40.0,2.97,w12,typical_-40c_2.97v_w12,1.55298e-09,1.55389e-09,1.08653e-09,1.0881e-09,not measured,PASS
typical,-40.0,2.97,w16,typical_-40c_2.97v_w16,2.01899e-09,2.0193e-09,1.08653e-09,1.08809e-09,not measured,PASS
typical,-40.0,2.97,w24,typical_-40c_2.97v_w24,2.95084e-09,2.95e-09,1.08653e-09,1.08809e-09,not measured,PASS
typical,-40.0,2.97,w25,typical_-40c_2.97v_w25,3.06731e-09,3.06634e-09,1.08653e-09,1.08809e-09,not measured,PASS
typical,-40.0,2.97,w26,typical_-40c_2.97v_w26,3.18379e-09,3.18267e-09,1.08653e-09,1.08809e-09,not measured,PASS
typical,-40.0,3.3,w08,typical_-40c_3.30v_w08,1.02191e-09,1.01601e-09,1.0219e-09,1.016e-09,0.0009785693316455412,PASS
typical,-40.0,3.3,w09,typical_-40c_3.30v_w09,1.13199e-09,1.12502e-09,1.0219e-09,1.01601e-09,not measured,PASS
typical,-40.0,3.3,w095,typical_-40c_3.30v_w095,1.18701e-09,1.17951e-09,1.0219e-09,1.01601e-09,not measured,PASS
typical,-40.0,3.3,w10,typical_-40c_3.30v_w10,1.24204e-09,1.234e-09,1.0219e-09,1.01601e-09,not measured,PASS
typical,-40.0,3.3,w11,typical_-40c_3.30v_w11,1.35197e-09,1.34289e-09,1.0219e-09,1.01601e-09,not measured,PASS
typical,-40.0,3.3,w12,typical_-40c_3.30v_w12,1.46189e-09,1.45178e-09,1.0219e-09,1.01601e-09,not measured,PASS
typical,-40.0,3.3,w16,typical_-40c_3.30v_w16,1.9015e-09,1.88725e-09,1.0219e-09,1.016e-09,not measured,PASS
typical,-40.0,3.3,w24,typical_-40c_3.30v_w24,2.78058e-09,2.75809e-09,1.0219e-09,1.016e-09,not measured,PASS
typical,-40.0,3.3,w25,typical_-40c_3.30v_w25,2.89046e-09,2.86695e-09,1.0219e-09,1.016e-09,not measured,PASS
typical,-40.0,3.3,w26,typical_-40c_3.30v_w26,3.00034e-09,2.97581e-09,1.0219e-09,1.016e-09,not measured,PASS
typical,-40.0,3.63,w08,typical_-40c_3.63v_w08,9.73132e-10,9.62525e-10,9.73121e-10,9.62514e-10,0.0011303835802527094,PASS
typical,-40.0,3.63,w09,typical_-40c_3.63v_w09,1.07819e-09,1.06593e-09,9.73121e-10,9.62514e-10,not measured,PASS
typical,-40.0,3.63,w095,typical_-40c_3.63v_w095,1.13072e-09,1.11764e-09,9.73121e-10,9.62515e-10,not measured,PASS
typical,-40.0,3.63,w10,typical_-40c_3.63v_w10,1.18324e-09,1.16934e-09,9.73121e-10,9.6251e-10,not measured,PASS
typical,-40.0,3.63,w11,typical_-40c_3.63v_w11,1.28818e-09,1.27266e-09,9.73121e-10,9.6251e-10,not measured,PASS
typical,-40.0,3.63,w12,typical_-40c_3.63v_w12,1.39311e-09,1.37598e-09,9.73121e-10,9.6251e-10,not measured,PASS
typical,-40.0,3.63,w16,typical_-40c_3.63v_w16,1.81279e-09,1.78922e-09,9.73121e-10,9.62499e-10,not measured,PASS
typical,-40.0,3.63,w24,typical_-40c_3.63v_w24,2.65204e-09,2.61564e-09,9.73121e-10,9.6251e-10,not measured,PASS
typical,-40.0,3.63,w25,typical_-40c_3.63v_w25,2.75694e-09,2.71895e-09,9.73121e-10,9.6251e-10,not measured,PASS
