# campaign: pfd-deadzone
# record_id: 20260731-192355-afa338c
# generated_utc: 2026-07-31T19:24:12Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points, each swept over dphi{-1n,-200p,0,200p,1n} = 225 runs
# ref period 40 ns (25 MHz, the top of DR-002's ratified 1-25 MHz v1 range)
# vctrl held at 1.65 V; Icp trim code b1b0=10 (3 unit legs)
# dphi: FB-relative-to-REF phase offset (s)
# qnet: net charge delivered to the control node per reference cycle (C),
#   positive = pump sourcing.  This is the dead-zone-critical quantity.
# width_up/width_dn: UP/DN pulse width (s) at the per-corner mid-supply
#   crossing, third reference cycle.  Their MINIMUM is the PFD reset delay
#   that #11's retiming pulse must be at least as wide as.
process,temp_c,vdd_v,dphi_s,qnet_c,width_up_s,width_dn_s
ff,-40,2.97,-1n,-5.76645E-15,1.26355E-09,2.28796E-09
ff,-40,2.97,-200p,-1.90915E-15,1.26371E-09,1.48753E-09
ff,-40,2.97,0,-1.06816E-15,1.27255E-09,1.29623E-09
ff,-40,2.97,1n,4.14536E-15,2.23432E-09,1.25678E-09
ff,-40,2.97,200p,9.31286E-16,1.43311E-09,1.25584E-09
ff,-40,3.30,-1n,-8.05231E-15,1.17384E-09,2.19735E-09
ff,-40,3.30,-200p,-3.89825E-15,1.1742E-09,1.39774E-09
ff,-40,3.30,0,-6.89477E-16,1.18343E-09,1.20658E-09
ff,-40,3.30,1n,3.5168E-15,2.14992E-09,1.17152E-09
ff,-40,3.30,200p,-2.63421E-16,1.34929E-09,1.17118E-09
ff,-40,3.63,-1n,-9.67654E-15,1.1063E-09,2.12956E-09
ff,-40,3.63,-200p,-6.2555E-15,1.10671E-09,1.33006E-09
ff,-40,3.63,0,-3.22872E-15,1.11668E-09,1.13959E-09
ff,-40,3.63,1n,4.59713E-16,2.08697E-09,1.10823E-09
ff,-40,3.63,200p,-2.04766E-15,1.28662E-09,1.10798E-09
ff,27,2.97,-1n,-5.84939E-15,1.45582E-09,2.4864E-09
ff,27,2.97,-200p,-2.44368E-15,1.45606E-09,1.68669E-09
