corner,temp_c,vdd,vs,corner_id,phi_a,phi_b,ferr,tclk20,fout,tfb5,ffb,nmeas,lock_lvl,up_lvl,dn_lvl,tj_rms_s,tj_pp_s,tj_rms_pct,c2c_rms_s,tie_rms_s,tie_pp_s,n_cycles,dt_int_mean,verdict
ff,-40.0,2.97,vs1p812,ff_-40c_2.97v_vs1p812,2.1468e-09,2.14655e-09,2.54998e-07,1.3334e-07,149992000.0,2.00012e-07,24998500.0,6.00003,3.7724e-09,0.312797,0.123712,1.6558557877065687e-11,7.343158301709727e-11,0.24842763939374637,2.9098031596004853e-11,1.1469833264079487e-11,5.1838488634461493e-11,314.0,7.154704218023349e-11,PASS
ff,-40.0,3.3,vs2p136,ff_-40c_3.30v_vs2p136,2.24131e-09,2.23396e-09,7.35193e-06,1.3331e-07,150026000.0,1.99982e-07,25002300.0,6.0005,4.24761e-09,0.346946,0.128001,1.6510464128885172e-11,7.259034570982544e-11,0.2476830192119435,2.8398115318454688e-11,1.9760232767905402e-11,9.871980237093102e-11,314.0,7.045862157314885e-11,PASS
ff,-40.0,3.63,vs2p430,ff_-40c_3.63v_vs2p430,2.34338e-09,2.35321e-09,-9.83308e-06,1.33346e-07,149985000.0,2.0001e-07,24998800.0,5.9997,5.07137e-09,0.384321,0.131646,1.4487813536311429e-11,6.875009524688809e-11,0.21732042272321742,2.4660672345238788e-11,3.217348463255005e-11,1.2972699489001318e-10,314.0,6.87263753084877e-11,PASS
ff,27.0,2.97,vs1p638,ff_27c_2.97v_vs1p638,3.98121e-08,-1.86479e-10,0.0399985,1.33328e-07,150006000.0,1.99979e-07,25002700.0,5.99961,2.97,0.14586,0.166548,1.5674014866499195e-11,6.981385937578885e-11,0.23510462922868627,2.7854387021867778e-11,1.4152474743500633e-11,6.898545395274706e-11,314.0,7.571325326083215e-11,FAIL — ferr max=0.001 (got 0.0399985)
ff,27.0,3.3,vs1p931,ff_27c_3.30v_vs1p931,-8.88497e-11,-9.82831e-11,9.43344e-06,1.33332e-07,150002000.0,2.0001e-07,24998700.0,6.00038,3.3,0.150462,0.163149,1.4329143928752455e-11,6.646088696302978e-11,0.2149375458873383,2.4232565997419363e-11,1.1534979672204663e-11,5.919948159849688e-11,314.0,7.346557136178453e-11,PASS
ff,27.0,3.63,vs2p200,ff_27c_3.63v_vs2p200,3.98571e-08,-1.31045e-10,0.0399881,1.33355e-07,149976000.0,2.00022e-07,24997200.0,5.99969,3.63,0.154897,0.173443,1.3295730448323369e-11,6.454633401149648e-11,0.19942914214772736,2.263700530535621e-11,1.2697508032594107e-11,6.300712260417195e-11,314.0,7.175941026811924e-11,FAIL — ferr max=0.001 (got 0.0399881)
ff,125.0,2.97,vs1p431,ff_125c_2.97v_vs1p431,3.06592e-09,3.04184e-09,2.40796e-05,1.33327e-07,150007000.0,1.99965e-07,25004400.0,5.99923,4.85737e-07,0.443196,0.172591,1.2183950083813563e-11,5.391721950204862e-11,0.18279271964338847,2.1112553168979166e-11,8.513385594241315e-12,4.3607051200918916e-11,314.0,7.814164949918306e-11,PASS
ff,125.0,3.3,vs1p689,ff_125c_3.30v_vs1p689,3.35238e-09,3.33714e-09,1.52388e-05,1.333e-07,150037000.0,1.9996e-07,25005000.0,6.00028,5.15368e-07,0.504134,0.175005,1.3382448278981502e-11,6.113678198828803e-11,0.20078041023306215,2.2998183382875477e-11,9.929644150511205e-12,4.1030552287474494e-11,314.0,7.537860618104569e-11,PASS
ff,125.0,3.63,vs1p929,ff_125c_3.63v_vs1p929,3.63213e-09,3.6106e-09,2.15365e-05,1.33286e-07,150054000.0,1.99963e-07,25004700.0,6.00102,5.56552e-07,0.572039,0.179362,1.3156825746702349e-11,5.761933721515255e-11,0.19739996854454633,2.2569341613870747e-11,1.798501458159633e-11,7.904681771270824e-11,314.0,7.278501951961886e-11,PASS
ss,-40.0,2.97,vs1p482,ss_-40c_2.97v_vs1p482,2.30057e-09,2.28092e-09,1.96479e-05,1.33314e-07,150022000.0,1.99975e-07,25003100.0,6.00014,4.41707e-09,0.385706,0.182355,9.467427262201423e-12,3.8589347375950005e-11,0.14202774244355437,1.6407167496505816e-11,8.723638675024816e-12,3.870268011070099e-11,314.0,7.629881390025663e-11,PASS
ss,-40.0,3.3,vs1p834,ss_-40c_3.30v_vs1p834,2.11621e-09,2.11779e-09,-1.58116e-06,1.33341e-07,149992000.0,1.99995e-07,25000600.0,5.99953,4.71411e-09,0.391497,0.183843,1.1348731940752321e-11,5.705604527335824e-11,0.17025075185036134,1.94050475780704e-11,1.6390433819121252e-11,7.343849921687094e-11,314.0,7.309212930662148e-11,PASS
ss,-40.0,3.63,vs2p192,ss_-40c_3.63v_vs2p192,2.32814e-09,2.33892e-09,-1.07802e-05,1.33323e-07,150012000.0,2.00022e-07,24997200.0,6.00113,5.20915e-09,0.435409,0.183572,1.4932785492808094e-11,7.910366954853545e-11,0.22400597689417806,2.563214032229402e-11,2.265419292110011e-11,1.2797925459710296e-10,314.0,7.02920314397086e-11,PASS
ss,27.0,2.97,vs1p310,ss_27c_2.97v_vs1p310,2.77827e-09,2.76412e-09,1.41555e-05,1.33317e-07,150018000.0,1.9998e-07,25002400.0,6.00014,5.45687e-09,0.457288,0.210781,3.578825262614179e-12,1.8929138688465383e-11,0.05369182277011621,5.958007494862168e-12,1.4988660104865693e-11,5.725351030860755e-11,314.0,7.998545718960188e-11,PASS
ss,27.0,3.3,vs1p633,ss_27c_3.30v_vs1p633,1.57529e-09,1.57504e-09,2.5043e-07,1.33329e-07,150005000.0,2.00001e-07,24999900.0,6.0002,5.78327e-09,0.366684,0.211975,9.713449711075422e-12,4.252442524663397e-11,0.1457090173240287,1.6637709256057157e-11,1.6790975211441755e-11,6.947019984705744e-11,314.0,7.647651823269717e-11,PASS
ss,27.0,3.63,vs1p953,ss_27c_3.63v_vs1p953,3.31104e-09,3.3011e-09,9.93146e-06,1.33295e-07,150043000.0,1.99963e-07,25004600.0,6.00062,6.35327e-09,0.568959,0.211748,1.1547417730434843e-11,5.252018453283738e-11,0.1732475412404893,2.003245627938543e-11,1.0554232277165985e-11,5.753855299237275e-11,314.0,7.27032385988103e-11,PASS
