# deterministic period/TIE jitter of the locked output, measured directly from the period sequence over the manifest's measurement window. RANDOM/NOISE-DRIVEN JITTER IS NOT MEASURED -- see this record's Methodology field.
# tj_rms_pct is the deterministic (control-ripple-driven) period jitter as a percentage of the measured output period -- the form spec/pll.md#period-jitter states its draft <=1.0% RMS target in. The verdict column is read against that draft, unratified target (issue #1).
# tie_rms_s/tie_pp_s de-trend the crossing sequence by its own least-squares line before computing RMS/pp, which removes any residual release-transient settling drift from being counted as jitter -- the same reason sim/reference-spur's TIE path de-trends by a fit rather than a nominal period.
# This table reports the DETERMINISTIC component only. No random/noise-driven jitter number appears anywhere in this record -- see the Methodology field for why.
corner_id,process,temp_c,vdd_v,fout_hz,n_cycles,tj_rms_s,tj_rms_pct,tj_pp_s,c2c_rms_s,tie_rms_s,tie_pp_s,ferr,dn_lvl,dt_int_mean_s,verdict_vs_1pct_rms_draft
ff_-40c_2.97v_vs1p812,ff,-40,2.97,1.49992e+08,314,1.6559e-11,0.2484,7.3432e-11,2.9098e-11,1.1470e-11,5.1838e-11,2.55e-07,0.1237,7.155e-11,PASS
ff_-40c_3.30v_vs2p136,ff,-40,3.30,1.50026e+08,314,1.6510e-11,0.2477,7.2590e-11,2.8398e-11,1.9760e-11,9.8720e-11,7.35e-06,0.1280,7.046e-11,PASS
ff_-40c_3.63v_vs2p430,ff,-40,3.63,1.49985e+08,314,1.4488e-11,0.2173,6.8750e-11,2.4661e-11,3.2173e-11,1.2973e-10,-9.83e-06,0.1316,6.873e-11,PASS
ff_27c_2.97v_vs1p638,ff,27,2.97,1.50006e+08,314,1.5674e-11,0.2351,6.9814e-11,2.7854e-11,1.4152e-11,6.8985e-11,4.00e-02,0.1665,7.571e-11,PASS
ff_27c_3.30v_vs1p931,ff,27,3.30,1.50002e+08,314,1.4329e-11,0.2149,6.6461e-11,2.4233e-11,1.1535e-11,5.9199e-11,9.43e-06,0.1631,7.347e-11,PASS
ff_27c_3.63v_vs2p200,ff,27,3.63,1.49976e+08,314,1.3296e-11,0.1994,6.4546e-11,2.2637e-11,1.2698e-11,6.3007e-11,4.00e-02,0.1734,7.176e-11,PASS
ff_125c_2.97v_vs1p431,ff,125,2.97,1.50007e+08,314,1.2184e-11,0.1828,5.3917e-11,2.1113e-11,8.5134e-12,4.3607e-11,2.41e-05,0.1726,7.814e-11,PASS
ff_125c_3.30v_vs1p689,ff,125,3.30,1.50037e+08,314,1.3382e-11,0.2008,6.1137e-11,2.2998e-11,9.9296e-12,4.1031e-11,1.52e-05,0.1750,7.538e-11,PASS
ff_125c_3.63v_vs1p929,ff,125,3.63,1.50054e+08,314,1.3157e-11,0.1974,5.7619e-11,2.2569e-11,1.7985e-11,7.9047e-11,2.15e-05,0.1794,7.279e-11,PASS
ss_-40c_2.97v_vs1p482,ss,-40,2.97,1.50022e+08,314,9.4674e-12,0.1420,3.8589e-11,1.6407e-11,8.7236e-12,3.8703e-11,1.96e-05,0.1824,7.630e-11,PASS
ss_-40c_3.30v_vs1p834,ss,-40,3.30,1.49992e+08,314,1.1349e-11,0.1703,5.7056e-11,1.9405e-11,1.6390e-11,7.3438e-11,-1.58e-06,0.1838,7.309e-11,PASS
ss_-40c_3.63v_vs2p192,ss,-40,3.63,1.50012e+08,314,1.4933e-11,0.2240,7.9104e-11,2.5632e-11,2.2654e-11,1.2798e-10,-1.08e-05,0.1836,7.029e-11,PASS
ss_27c_2.97v_vs1p310,ss,27,2.97,1.50018e+08,314,3.5788e-12,0.0537,1.8929e-11,5.9580e-12,1.4989e-11,5.7254e-11,1.42e-05,0.2108,7.999e-11,PASS
ss_27c_3.30v_vs1p633,ss,27,3.30,1.50005e+08,314,9.7134e-12,0.1457,4.2524e-11,1.6638e-11,1.6791e-11,6.9470e-11,2.50e-07,0.2120,7.648e-11,PASS
ss_27c_3.63v_vs1p953,ss,27,3.63,1.50043e+08,314,1.1547e-11,0.1732,5.2520e-11,2.0032e-11,1.0554e-11,5.7539e-11,9.93e-06,0.2117,7.270e-11,PASS
ss_125c_2.97v_vs1p093,ss,125,2.97,1.50043e+08,314,3.4765e-12,0.0522,1.8075e-11,5.9420e-12,3.1017e-12,1.7719e-11,2.45e-05,0.2508,8.525e-11,PASS
ss_125c_3.30v_vs1p383,ss,125,3.30,1.5002e+08,314,3.3838e-12,0.0508,1.8612e-11,5.9515e-12,3.3266e-12,1.7279e-11,1.76e-05,0.2519,8.062e-11,PASS
ss_125c_3.63v_vs1p664,ss,125,3.63,1.50039e+08,314,5.6106e-12,0.0842,2.6895e-11,9.6227e-12,5.8249e-12,2.9189e-11,3.08e-05,0.2541,7.717e-11,PASS
