# campaign: cp-compliance (switching)
# record_id: 20260731-194124-afa338c
# generated_utc: 2026-07-31T19:41:55Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points; DC bench run at all 4 Icp trim codes (180 runs), switching bench run at Vctrl {0.9, 1.65, 2.4} V at the nominal trim code (135 runs)
# Both polarities driven from the SAME control edge, one instance each, at the
# nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node
#   charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the
#   control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity
#   that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
ff,-40,2.97,0.9,5.20361E-06,-5.21357E-06,2.19238E-14,-2.35354E-14,4.21319E-09,4.51426E-09,-3.01068E-10,-9.99712E-11,5.91537E-11,-9.99226E-11,2.01669E-11
ff,-40,2.97,1.65,5.16904E-06,-5.08903E-06,2.17985E-14,-2.21242E-14,4.21712E-09,4.34744E-09,-1.30314E-10,-9.99877E-11,-1.77574E-11,-9.9931E-11,1.29984E-11
ff,-40,2.97,2.4,5.39085E-06,-5.08547E-06,2.21791E-14,-2.33344E-14,4.11422E-09,4.58845E-09,-4.74232E-10,-9.99855E-11,1.86274E-11,-9.99191E-11,1.19543E-11
ff,-40,3.30,0.9,5.21347E-06,-5.22813E-06,2.19453E-14,-2.39988E-14,4.20934E-09,4.59033E-09,-3.80991E-10,-9.99704E-11,5.4411E-11,-9.99304E-11,2.04759E-11
ff,-40,3.30,1.65,5.1952E-06,-5.08847E-06,2.19719E-14,-2.19119E-14,4.22926E-09,4.30619E-09,-7.69278E-11,-9.99889E-11,-2.34943E-11,-9.99374E-11,1.19132E-11
ff,-40,3.30,2.4,5.16764E-06,-5.09553E-06,2.00514E-14,-2.22079E-14,3.88018E-09,4.35831E-09,-4.78127E-10,-9.99932E-11,-1.50121E-11,-9.99362E-11,5.92466E-12
ff,-40,3.63,0.9,5.22321E-06,-5.24301E-06,2.1978E-14,-2.44479E-14,4.20775E-09,4.66295E-09,-4.55193E-10,-9.99708E-11,5.13943E-11,-9.99368E-11,2.24535E-11
ff,-40,3.63,1.65,5.21691E-06,-5.09489E-06,2.21109E-14,-2.252E-14,4.23832E-09,4.42012E-09,-1.81807E-10,-9.99898E-11,-2.83279E-11,-9.99428E-11,1.23947E-11
ff,-40,3.63,2.4,5.16055E-06,-5.14261E-06,2.02284E-14,-2.2529E-14,3.91981E-09,4.38085E-09,-4.61038E-10,-9.99901E-11,-3.12415E-11,-9.99436E-11,3.85045E-12
ff,27,2.97,0.9,5.1083E-06,-5.30796E-06,2.18444E-14,-2.41193E-14,4.27626E-09,4.54398E-09,-2.67726E-10,-9.99781E-11,7.02725E-11,-9.99244E-11,2.47766E-11
ff,27,2.97,1.65,5.01881E-06,-5.18482E-06,2.15992E-14,-2.26829E-14,4.30365E-09,4.37488E-09,-7.12246E-11,-9.99879E-11,-1.21161E-11,-9.99295E-11,1.43539E-11
ff,27,2.97,2.4,5.28317E-06,-5.27687E-06,2.18869E-14,-2.39372E-14,4.14275E-09,4.53625E-09,-3.93498E-10,-9.9986E-11,2.34685E-11,-9.99268E-11,1.25001E-11
ff,27,3.30,0.9,5.115E-06,-5.30521E-06,2.18284E-14,-2.45069E-14,4.26752E-09,4.61941E-09,-3.51887E-10,-9.99771E-11,6.49244E-11,-9.99304E-11,2.56009E-11
ff,27,3.30,1.65,5.04431E-06,-5.16733E-06,2.17618E-14,-2.28135E-14,4.31412E-09,4.41495E-09,-1.00831E-10,-9.9989E-11,-1.79178E-11,-9.99361E-11,1.3544E-11
ff,27,3.30,2.4,4.91779E-06,-5.242E-06,1.99165E-14,-2.28541E-14,4.0499E-09,4.3598E-09,-3.09907E-10,-9.99894E-11,-1.61921E-11,-9.99432E-11,7.96144E-12
ff,27,3.63,0.9,5.12161E-06,-5.299E-06,2.18315E-14,-2.48842E-14,4.26262E-09,4.69602E-09,-4.33399E-10,-9.99763E-11,6.081E-11,-9.99356E-11,2.73157E-11
ff,27,3.63,1.65,5.06537E-06,-5.1617E-06,2.18873E-14,-2.34531E-14,4.32098E-09,4.54368E-09,-2.22702E-10,-9.999E-11,-2.27343E-11,-9.99415E-11,1.322E-11
ff,27,3.63,2.4,4.92665E-06,-5.24773E-06,2.01867E-14,-2.30254E-14,4.09746E-09,4.38769E-09,-2.90234E-10,-9.99904E-11,-2.77383E-11,-9.99471E-11,5.59151E-12
ff,125,2.97,0.9,4.96631E-06,-5.209E-06,2.18953E-14,-2.4619E-14,4.40876E-09,4.72625E-09,-3.17493E-10,-9.9983E-11,8.77789E-11,-9.99267E-11,3.10923E-11
ff,125,2.97,1.65,4.82692E-06,-5.17296E-06,2.14548E-14,-2.32393E-14,4.44483E-09,4.49245E-09,-4.76239E-11,-9.99881E-11,-4.90662E-12,-9.99298E-11,1.61294E-11
ff,125,2.97,2.4,5.00635E-06,-5.34277E-06,2.12104E-14,-2.41216E-14,4.23669E-09,4.51481E-09,-2.78125E-10,-9.99869E-11,3.02883E-11,-9.9929E-11,1.28476E-11
ff,125,3.30,0.9,4.97132E-06,-5.2002E-06,2.18616E-14,-2.49108E-14,4.39754E-09,4.79034E-09,-3.92801E-10,-9.9983E-11,8.11108E-11,-9.99327E-11,3.18797E-11
