# campaign: cp-compliance (output I-V curves)
# record_id: 20260731-194124-afa338c
# generated_utc: 2026-07-31T19:41:55Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points; DC bench run at all 4 Icp trim codes (180 runs), switching bench run at Vctrl {0.9, 1.65, 2.4} V at the nominal trim code (135 runs)
# Complete output characteristic of both polarities at every corner and trim
# code, decimated from the 20 mV simulation grid to 100 mV.
process,temp_c,vdd_v,b1,b0,vout_v,iup_a,idn_a
ff,-40,2.97,0,0,0.0000,1.71967e-06,-9.10442e-12
ff,-40,2.97,0,0,0.1000,1.71966e-06,1.55201e-06
ff,-40,2.97,0,0,0.2000,1.71964e-06,1.64576e-06
ff,-40,2.97,0,0,0.3000,1.71963e-06,1.64932e-06
ff,-40,2.97,0,0,0.4000,1.71962e-06,1.65125e-06
ff,-40,2.97,0,0,0.5000,1.71961e-06,1.65284e-06
ff,-40,2.97,0,0,0.6000,1.7196e-06,1.65426e-06
ff,-40,2.97,0,0,0.7000,1.71959e-06,1.65559e-06
ff,-40,2.97,0,0,0.8000,1.71957e-06,1.65686e-06
ff,-40,2.97,0,0,0.9000,1.71956e-06,1.65808e-06
ff,-40,2.97,0,0,1.0000,1.71954e-06,1.65926e-06
ff,-40,2.97,0,0,1.1000,1.71944e-06,1.66041e-06
ff,-40,2.97,0,0,1.2000,1.71908e-06,1.66153e-06
ff,-40,2.97,0,0,1.3000,1.71862e-06,1.66263e-06
ff,-40,2.97,0,0,1.4000,1.71813e-06,1.6637e-06
ff,-40,2.97,0,0,1.5000,1.71761e-06,1.66476e-06
ff,-40,2.97,0,0,1.6000,1.71707e-06,1.6658e-06
ff,-40,2.97,0,0,1.7000,1.7165e-06,1.66683e-06
ff,-40,2.97,0,0,1.8000,1.7159e-06,1.66785e-06
ff,-40,2.97,0,0,1.9000,1.71527e-06,1.66887e-06
ff,-40,2.97,0,0,2.0000,1.7146e-06,1.66989e-06
ff,-40,2.97,0,0,2.1000,1.71387e-06,1.67079e-06
ff,-40,2.97,0,0,2.2000,1.71309e-06,1.6711e-06
ff,-40,2.97,0,0,2.3000,1.71222e-06,1.67117e-06
