# campaign: cp-compliance (DC)
# record_id: 20260731-194124-afa338c
# generated_utc: 2026-07-31T19:41:54Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points; DC bench run at all 4 Icp trim codes (180 runs), switching bench run at Vctrl {0.9, 1.65, 2.4} V at the nominal trim code (135 runs)
# Vctrl window under test: 0.9 .. 2.4 V, nominal 1.65 V (DR-001 Decision 2)
# units: Icp in unit legs = 1 + b0 + 2*b1
# iup_*/idn_*: UP (source) and DN (sink) output current at the window's low,
#   mid and high point (A)
# mism_*_pct: 100*(iup-idn)/mean at that point; mism_absmax_pct is the largest
#   magnitude anywhere inside the window
# iup_flat_pct/idn_flat_pct: peak-to-peak variation of each polarity's current
#   across the window, as a percentage of its mid-window value
# satcasc_lo_v/satcasc_hi_v: smallest |vds|-|vdsat| among the two output
#   CASCODE devices at the low/high end of the window, with the device that
#   owns it.  Positive = in saturation.  This is the compliance verdict: the
#   cascode is the device whose operating point the output voltage moves.
# satmir_lo_v/satmir_hi_v: the same quantity for the two bottom MIRROR devices,
#   reported for context only.  A wide-swing cascode bias parks those at the
#   saturation boundary by construction (that is what buys the headroom), and
#   their bias does not move with the output voltage, so a margin near zero
#   there is the design working as intended.
process,temp_c,vdd_v,b1,b0,units,iup_lo_a,idn_lo_a,iup_mid_a,idn_mid_a,iup_hi_a,idn_hi_a,mism_lo_pct,mism_mid_pct,mism_hi_pct,mism_absmax_pct,iup_flat_pct,idn_flat_pct,satcasc_lo_v,satcasc_lo_dev,satcasc_hi_v,satcasc_hi_dev,satmir_lo_v,satmir_hi_v
ff,-40,2.97,0,0,1,1.71956e-06,1.65808e-06,1.71673e-06,1.66642e-06,1.71124e-06,1.67122e-06,3.6402,2.9744,2.3663,3.6402,0.4845,0.7885,0.7578,ncasc,0.4191,pcasc,-0.0072,-0.0083
ff,-40,2.97,0,1,2,3.43886e-06,3.31613e-06,3.43345e-06,3.33277e-06,3.42249e-06,3.34181e-06,3.6338,2.9759,2.3854,3.6338,0.4768,0.7706,0.7573,ncasc,0.4177,pcasc,-0.0072,-0.0083
ff,-40,2.97,1,0,3,5.15802e-06,4.97416e-06,5.15014e-06,4.9991e-06,5.13371e-06,5.01215e-06,3.6292,2.9763,2.3963,3.6292,0.4721,0.7598,0.7568,ncasc,0.4163,pcasc,-0.0073,-0.0083
ff,-40,2.97,1,1,4,6.87709e-06,6.63219e-06,6.86679e-06,6.66541e-06,6.8449e-06,6.6823e-06,3.6257,2.9763,2.4040,3.6257,0.4687,0.7519,0.7564,ncasc,0.4149,pcasc,-0.0073,-0.0083
ff,-40,3.30,0,0,1,1.72086e-06,1.65808e-06,1.71849e-06,1.66642e-06,1.71409e-06,1.6747e-06,3.7159,3.0766,2.3252,3.7159,0.3937,0.9970,0.7578,ncasc,0.7489,pcasc,-0.0071,-0.0079
ff,-40,3.30,0,1,2,3.44148e-06,3.31613e-06,3.43696e-06,3.33278e-06,3.4282e-06,3.34886e-06,3.7098,3.0778,2.3414,3.7098,0.3862,0.9821,0.7574,ncasc,0.7474,pcasc,-0.0071,-0.0079
ff,-40,3.30,1,0,3,5.16197e-06,4.97417e-06,5.15541e-06,4.99913e-06,5.14229e-06,5.02272e-06,3.7055,3.0780,2.3525,3.7055,0.3817,0.9713,0.7570,ncasc,0.7460,pcasc,-0.0071,-0.0079
ff,-40,3.30,1,1,4,6.88236e-06,6.63219e-06,6.87383e-06,6.66547e-06,6.85636e-06,6.69636e-06,3.7022,3.0779,2.3611,3.7022,0.3783,0.9626,0.7565,ncasc,0.7445,pcasc,-0.0071,-0.0079
ff,-40,3.63,0,0,1,1.7221e-06,1.65808e-06,1.72006e-06,1.66642e-06,1.71626e-06,1.67502e-06,3.7879,3.1676,2.4319,3.7879,0.3396,1.0168,0.7578,ncasc,1.0788,pcasc,-0.0069,-0.0076
ff,-40,3.63,0,1,2,3.44396e-06,3.31613e-06,3.44009e-06,3.33279e-06,3.43253e-06,3.34994e-06,3.7819,3.1687,2.4354,3.7819,0.3322,1.0145,0.7574,ncasc,1.0772,pcasc,-0.0069,-0.0077
