# per-cycle period and TIE sequence at the worst-TIE point -- `all-slow_-40c_3.30v_band0_r16_f080`
# One row per measured cycle of each of the three copies. The quiet column is the transient solver's own numerical floor at these settings; the ripple column is the signal.
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
0,1.383698876e-06,1.97431e-07,3.631e-11,1.383698876e-06,1.97431e-07,5.12059e-08,1.397994402e-06,1.99662e-07,3.72033e-09
1,1.581129822e-06,1.97452e-07,8.81135e-12,1.581129822e-06,1.97452e-07,4.82659e-08,1.597656671e-06,1.98697e-07,6.02642e-09
2,1.778581672e-06,1.97452e-07,2.21718e-12,1.778581673e-06,1.97452e-07,4.53468e-08,1.796353791e-06,1.9757e-07,7.36735e-09
3,1.976033398e-06,1.97453e-07,-4.50205e-12,1.976033398e-06,1.97453e-07,4.24275e-08,1.993924274e-06,1.96424e-07,7.58165e-09
4,2.173486028e-06,1.9743e-07,-1.0317e-11,2.173486028e-06,1.9743e-07,3.95092e-08,2.190348314e-06,1.9538e-07,6.64951e-09
5,2.370916015e-06,1.97461e-07,-3.87746e-11,2.370916015e-06,1.97461e-07,3.65682e-08,2.385728172e-06,1.94629e-07,4.67318e-09
6,2.568377112e-06,1.97452e-07,-3.6122e-11,2.568377112e-06,1.97452e-07,3.36583e-08,2.580357262e-06,1.94208e-07,1.94609e-09
7,2.765829475e-06,1.9748e-07,-4.22033e-11,2.765829475e-06,1.9748e-07,3.07397e-08,2.774564955e-06,1.94204e-07,-1.2024e-09
8,2.963309211e-06,1.97463e-07,-2.09119e-11,2.963309212e-06,1.97463e-07,2.78485e-08,2.968769339e-06,1.94522e-07,-4.3542e-09
9,3.16077237e-06,1.97467e-07,-1.6198e-11,3.16077237e-06,1.97467e-07,2.49406e-08,3.163291248e-06,1.95237e-07,-7.18847e-09
10,3.358239411e-06,1.9746e-07,-7.60181e-12,3.358239411e-06,1.9746e-07,2.20367e-08,3.358528e-06,1.96192e-07,-9.30791e-09
11,3.555699504e-06,1.9747e-07,-5.95344e-12,3.555699504e-06,1.9747e-07,1.91258e-08,3.554720037e-06,1.97305e-07,-1.04721e-08
12,3.753169451e-06,1.97464e-07,5.54917e-12,3.753169452e-06,1.97464e-07,1.62248e-08,3.752024685e-06,1.9843e-07,-1.05236e-08
13,3.950633694e-06,1.97465e-07,1.13474e-11,3.950633695e-06,1.97465e-07,1.33181e-08,3.950454995e-06,1.99423e-07,-9.44946e-09
14,4.148099055e-06,1.97463e-07,1.82634e-11,4.148099055e-06,1.97463e-07,1.04125e-08,4.149878171e-06,2.00161e-07,-7.38247e-09
15,4.34556202e-06,1.97466e-07,2.27845e-11,4.345562021e-06,1.97466e-07,7.50445e-09,4.35003901e-06,2.00626e-07,-4.57781e-09
16,4.543027849e-06,1.97477e-07,3.01683e-11,4.54302785e-06,1.97477e-07,4.5993e-09,4.550664882e-06,2.00666e-07,-1.30813e-09
17,4.740505179e-06,1.97455e-07,4.90534e-11,4.74050518e-06,1.97455e-07,1.70566e-09,4.75133073e-06,2.00286e-07,2.00154e-09
18,4.937959997e-06,1.97432e-07,4.54268e-11,4.937959998e-06,1.97432e-07,-1.2105e-09,4.951616835e-06,1.99564e-07,4.93146e-09
19,5.135391891e-06,1.97432e-07,1.88767e-11,5.135391892e-06,1.97432e-07,-4.14958e-09,5.151180963e-06,1.98602e-07,7.13941e-09
20,5.332823991e-06,1.9746e-07,-7.46875e-12,5.332823991e-06,1.9746e-07,-7.08845e-09,5.349782729e-06,1.97461e-07,8.38499e-09
21,5.530283931e-06,1.97453e-07,-5.97256e-12,5.530283932e-06,1.97453e-07,-9.99949e-09,5.547243303e-06,1.96307e-07,8.48938e-09
22,5.727736592e-06,1.97435e-07,-1.17566e-11,5.727736593e-06,1.97435e-07,-1.29178e-08,5.743550424e-06,1.95309e-07,7.44031e-09
23,5.925171298e-06,1.97447e-07,-3.54951e-11,5.925171299e-06,1.97447e-07,-1.58541e-08,5.93885944e-06,1.94585e-07,5.39315e-09
24,6.122617944e-06,1.97474e-07,-4.72935e-11,6.122617946e-06,1.97474e-07,-1.87784e-08,6.133444748e-06,1.94175e-07,2.62227e-09
25,6.320091752e-06,1.97473e-07,-3.19302e-11,6.320091754e-06,1.97473e-07,-2.16756e-08,6.327619252e-06,1.94215e-07,-5.59408e-10
26,6.517565012e-06,1.9747e-07,-1.71151e-11,6.517565014e-06,1.9747e-07,-2.45733e-08,6.521833961e-06,1.94559e-07,-3.70088e-09
27,6.715034888e-06,1.97458e-07,-5.68368e-12,6.71503489e-06,1.97458e-07,-2.74744e-08,6.716392626e-06,1.95313e-07,-6.4984e-09
28,6.912492595e-06,1.97452e-07,-6.42124e-12,6.912492597e-06,1.97452e-07,-3.03876e-08,6.911705468e-06,1.963e-07,-8.54174e-09
29,7.109944742e-06,1.97475e-07,-1.27191e-11,7.109944744e-06,1.97475e-07,-3.33065e-08,7.108005478e-06,1.97411e-07,-9.59792e-09
30,7.307419731e-06,1.97466e-07,3.8251e-12,7.307419733e-06,1.97466e-07,-3.62025e-08,7.305416925e-06,1.98536e-07,-9.54265e-09
31,7.504885876e-06,1.97459e-07,1.15252e-11,7.504885877e-06,1.97459e-07,-3.91073e-08,7.503952482e-06,1.99518e-07,-8.36328e-09
32,7.702344637e-06,1.97455e-07,1.18421e-11,7.702344639e-06,1.97455e-07,-4.20195e-08,7.703470425e-06,2.00246e-07,-6.20152e-09
33,7.899799472e-06,1.97461e-07,8.23155e-12,7.899799473e-06,1.97461e-07,-4.49356e-08,7.903716248e-06,2.00639e-07,-3.31188e-09
34,8.097259974e-06,1.97473e-07,1.02894e-11,8.097259976e-06,1.97473e-07,-4.78461e-08,8.104354886e-06,2.00649e-07,-2.94256e-11
35,8.294733062e-06,1.97493e-07,2.49324e-11,8.294733063e-06,1.95793e-07,-5.0744e-08,8.305004165e-06,2.0022e-07,3.26367e-09
36,8.492226362e-06,1.97428e-07,5.97882e-11,8.490526289e-06,2.03605e-07,-5.53217e-08,8.505223697e-06,1.99482e-07,6.12702e-09
37,8.689654844e-06,1.97442e-07,2.9825e-11,8.694131452e-06,2.03642e-07,-5.20876e-08,8.704705304e-06,1.98484e-07,8.25244e-09
38,8.887097102e-06,1.97452e-07,1.36382e-11,8.897773367e-06,2.03598e-07,-4.88166e-08,8.903189368e-06,1.97328e-07,9.38032e-09
39,9.084549598e-06,1.97443e-07,7.68998e-12,9.101371026e-06,2.03606e-07,-4.55899e-08,9.100517593e-06,1.96193e-07,9.35236e-09
40,9.281992305e-06,1.97454e-07,-8.04776e-12,9.30497689e-06,2.03602e-07,-4.2355e-08,9.296710531e-06,1.95265e-07,8.18912e-09
41,9.479446198e-06,1.97436e-07,-1.25994e-11,9.508579084e-06,2.03656e-07,-3.91238e-08,9.491975623e-06,1.9454e-07,6.09803e-09
42,9.676881715e-06,1.97456e-07,-3.55269e-11,9.712235383e-06,2.03631e-07,-3.58385e-08,9.686515333e-06,1.94165e-07,3.28155e-09
43,9.874337423e-06,1.97468e-07,-3.82632e-11,9.915866469e-06,2.03617e-07,-3.25784e-08,9.880680139e-06,1.94212e-07,9.01756e-11
44,1.007180525e-05,1.97492e-07,-2.88786e-11,1.011948378e-05,2.03589e-07,-2.93321e-08,1.00748918e-05,1.94663e-07,-3.05435e-09
45,1.02692973e-05,1.97468e-07,4.72478e-12,1.032307324e-05,2.03612e-07,-2.61136e-08,1.026955505e-05,1.95405e-07,-5.74728e-09
46,1.046676559e-05,1.97453e-07,1.45737e-11,1.052668535e-05,2.03601e-07,-2.28724e-08,1.046495978e-05,1.96409e-07,-7.69874e-09
47,1.06642186e-05,1.97427e-07,9.13301e-12,1.073028592e-05,2.03637e-07,-1.96428e-08,1.066136833e-05,1.97538e-07,-8.64637e-09
48,1.086164514e-05,1.97465e-07,-2.27673e-11,1.093392248e-05,2.03597e-07,-1.63773e-08,1.085890682e-05,1.98586e-07,-8.46406e-09
49,1.105911006e-05,1.97466e-07,-1.62953e-11,1.113751912e-05,2.03604e-07,-1.31516e-08,1.105749262e-05,1.99597e-07,-7.23444e-09
50,1.125657645e-05,1.97489e-07,-8.35088e-12,1.1341123e-05,2.03619e-07,-9.91869e-09,1.125709002e-05,2.00301e-07,-4.99323e-09
51,1.145406524e-05,1.97467e-07,2.19939e-11,1.154474239e-05,2.03609e-07,-6.67027e-09,1.145739127e-05,2.00661e-07,-2.04816e-09
52,1.165153271e-05,1.97463e-07,3.10238e-11,1.174835168e-05,2.036e-07,-3.43195e-09,1.165805276e-05,2.00608e-07,1.25715e-09
53,1.184899617e-05,1.97502e-07,3.60386e-11,1.195195145e-05,2.03625e-07,-2.03153e-10,1.185866055e-05,2.00188e-07,4.50875e-09
54,1.20464984e-05,1.97421e-07,7.98267e-11,1.215557686e-05,2.0363e-07,3.05127e-09,1.205884888e-05,1.99397e-07,7.3409e-09
55,1.224391988e-05,1.97442e-07,4.28612e-11,1.235920719e-05,2.03574e-07,6.31063e-09,1.225824562e-05,1.98378e-07,9.38145e-09
56,1.244136219e-05,1.9743e-07,2.67274e-11,1.256278122e-05,2.03602e-07,9.51369e-09,1.245662364e-05,1.97216e-07,1.04033e-08
57,1.263879187e-05,1.97451e-07,-2.03881e-12,1.276638275e-05,2.03596e-07,1.27442e-08,1.265384004e-05,1.96109e-07,1.02635e-08
58,1.283624249e-05,1.97456e-07,-9.86665e-12,1.296997907e-05,2.03632e-07,1.59696e-08,1.28499493e-05,1.95166e-07,9.01659e-09
59,1.303369823e-05,1.97458e-07,-1.25687e-11,1.31736113e-05,2.03601e-07,1.92308e-08,1.304511557e-05,1.94457e-07,6.82667e-09
60,1.323115579e-05,1.97471e-07,-1.34579e-11,1.337721271e-05,2.03594e-07,2.24613e-08,1.323957237e-05,1.94181e-07,3.92729e-09
61,1.342862684e-05,1.97462e-07,-8.505e-13,1.358080718e-05,2.03631e-07,2.56848e-08,1.343375382e-05,1.94216e-07,7.52549e-10
62,1.362608836e-05,1.97453e-07,2.22743e-12,1.378443785e-05,2.03634e-07,2.89445e-08,1.362796944e-05,1.9471e-07,-2.38802e-09
63,1.382354151e-05,1.97473e-07,-3.06839e-12,1.398807231e-05,2.03611e-07,3.2208e-08,1.382267992e-05,1.9547e-07,-5.03372e-09
64,1.402101421e-05,1.97446e-07,1.11869e-11,1.419168291e-05,2.03614e-07,3.54476e-08,1.401815004e-05,1.96493e-07,-6.91978e-09
65,1.421846017e-05,1.97442e-07,-1.29616e-12,1.439529672e-05,2.03593e-07,3.86904e-08,1.42146431e-05,1.97643e-07,-7.7829e-09
66,1.441590221e-05,1.97421e-07,-1.7709e-11,1.459889003e-05,2.03594e-07,4.19127e-08,1.441228581e-05,1.98724e-07,-7.49638e-09
67,1.461332295e-05,1.97473e-07,-5.54076e-11,1.480248356e-05,2.03633e-07,4.51353e-08,1.461101019e-05,1.99678e-07,-6.12818e-09
68,1.481079584e-05,1.9749e-07,-4.09597e-11,1.500611652e-05,2.03624e-07,4.83973e-08,1.481068831e-05,2.00381e-07,-3.80624e-09
69,1.500828568e-05,1.97465e-07,-9.5643e-12,1.520974031e-05,2.03627e-07,5.16501e-08,1.501106935e-05,2.00641e-07,-7.81385e-10
