corner,temp_c,vdd,band,rdiv,fcal,corner_id,tp1,tp2,tp3,tp4,tp5,tp6,tp7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,jsettle,jstepon,jfrip,push_slope_hz_per_v,push_norm_pct_per_v,push_f_nom_hz,push_i_nom_a,push_nl_pct,quiet_f_hz,quiet_tj_pp_s,quiet_tj_rms_s,quiet_c2c_rms_s,quiet_tie_pp_s,quiet_tie_rms_s,step_f_pre_hz,step_f_post_hz,step_df_hz,step_kvdd_hz_per_v,step_tie_per_us_s,rip_f_hz,rip_tj_pp_s,rip_tj_rms_s,rip_c2c_rms_s,rip_tie_pp_s,rip_tie_rms_s,rip_tie_pp_pred_s,rip_tj_pp_pred_s,rip_tj_rms_pct,floor_margin_x,quiet_cycles,rip_cycles,verdict
typical,-40.0,3.3,band0,r16,f100,typical_-40c_3.30v_band0_r16_f100,5.82329e-07,6.05296e-07,6.27293e-07,6.48138e-07,6.66551e-07,6.82897e-07,6.99527e-07,6868970.0,6608330.0,6376610.0,6171520.0,6001040.0,5857400.0,5718150.0,5.05049e-05,5.20113e-05,5.27598e-05,5.60741e-05,5.92276e-05,5.87294e-05,6.20036e-05,1.06029e-06,6.71516e-06,353677.0,-1730483.7662337665,-28.039830807220365,6171520.0,5.60741e-05,1.1188549521488593,6185208.283012768,6.947884298056858e-11,1.1130222456081778e-11,1.534502029662158e-11,9.104566058387134e-11,2.3174025479676327e-11,6185173.1892386265,6023564.037364067,-161609.15187455993,-1616091.5187455993,-2.6128476427424575e-08,6187530.354455029,4.598936751627689e-09,1.6256372160082123e-09,5.871413885468644e-10,1.460226493606669e-08,4.499249420902514e-09,1.1757769333117027e-08,4.224324708813088e-09,1.0058679619382578,194.15053396089365,70.0,70.0,PASS
typical,-40.0,3.3,band4,r16,f100,typical_-40c_3.30v_band4_r16_f100,7.47067e-08,7.91636e-08,8.33699e-08,8.72878e-08,9.11191e-08,9.46441e-08,9.7656e-08,53542700.0,50528300.0,47978900.0,45825400.0,43898600.0,42263600.0,40960100.0,0.000109449,0.000113351,0.000114402,0.000118255,0.000118689,0.000122893,0.000127149,1.4305e-07,9.05985e-07,2621460.0,-18947240.259740263,-41.34659001283188,45825400.0,0.000118255,1.8807956785039177,45838458.12010469,6.3297372854120165e-12,1.2649150400142742e-12,1.9594248993735716e-12,5.927158112100008e-12,1.3718677011600782e-12,45838518.219660126,44128682.01392027,-1709836.2057398558,-17098362.057398558,-3.730129751459783e-08,45866698.13970657,1.0230269315609693e-09,3.590571873216564e-10,1.310178750496616e-10,3.276261709898263e-09,9.92565501303822e-10,2.2646516318677602e-09,8.137565692808816e-10,1.646876762577449,723.5140097434244,70.0,70.0,PASS
typical,-40.0,3.3,band7,r16,f100,typical_-40c_3.30v_band7_r16_f100,1.43298e-08,1.51866e-08,1.61076e-08,1.70131e-08,1.79663e-08,1.88954e-08,1.98163e-08,279138000.0,263390000.0,248329000.0,235113000.0,222639000.0,211692000.0,201854000.0,0.000344124,0.000349526,0.00035588,0.000360785,0.000366327,0.000368166,0.000376096,3.18447e-08,2.01683e-07,11775900.0,-117187662.33766235,-49.843123237618656,235113000.0,0.000360785,1.3079728835556559,234979224.61420938,1.228080013492694e-12,2.6631629463898106e-13,4.114493086509319e-13,1.6549820264983519e-12,3.5575164882062237e-13,234980182.078642,224197937.71450493,-10782244.364137083,-107822443.64137083,-4.588576052991795e-08,235077483.49678454,2.7836447251536537e-10,9.789329868212484e-11,3.1084282113992404e-11,1.0049513378625786e-09,3.0795476420859385e-10,6.201628209318717e-10,1.9527661466627555e-10,2.3012510305393,865.64536026612,80.0,80.0,PASS
typical,27.0,3.3,band0,r16,f100,typical_27c_3.30v_band0_r16_f100,5.48583e-07,5.70687e-07,5.92263e-07,6.12268e-07,6.31838e-07,6.49453e-07,6.65287e-07,7291510.0,7009100.0,6753760.0,6533080.0,6330740.0,6159030.0,6012450.0,5.95911e-05,6.11308e-05,6.25627e-05,6.4219e-05,6.52049e-05,6.92525e-05,6.97538e-05,7.95217e-07,5.03637e-06,471570.0,-1935175.324675325,-29.62117905605511,6533080.0,6.4219e-05,1.0510137856657193,6530445.8617240535,2.687399742827269e-11,5.638545841569024e-12,7.81473833993647e-12,3.6376410679505883e-11,7.68770987543372e-12,6530458.519762825,6352289.982607133,-178168.53715569247,-1781685.3715569247,-2.728269946382926e-08,6533957.882621707,4.575459815267462e-09,1.6124659590528494e-09,7.370767252484557e-10,1.1448786739800009e-08,3.565141193052517e-09,9.207932856309649e-09,4.177777892028736e-09,1.0535784663612537,463.74554331778563,55.0,55.0,PASS
typical,27.0,3.3,band4,r16,f100,typical_27c_3.30v_band4_r16_f100,6.85823e-08,7.2452e-08,7.6228e-08,7.98435e-08,8.3395e-08,8.6601e-08,8.97048e-08,58324100.0,55208900.0,52474200.0,50098000.0,47964500.0,46188800.0,44590700.0,0.000126002,0.000129224,0.000131674,0.000133828,0.000137529,0.000138783,0.0001401,1.07288e-07,6.79488e-07,3495280.0,-20698084.415584423,-41.31519105669772,50098000.0,0.000133828,1.5988448355508726,50088074.33237422,2.58430341662809e-12,6.341443361808541e-13,9.835185914936373e-13,2.544479960330873e-12,5.641695124316616e-13,50088005.65301165,48191321.48002362,-1896684.1729880273,-18966841.729880273,-3.786703320007282e-08,50130443.76861404,9.770198302068351e-10,3.4166504867167314e-10,1.532135941706043e-10,2.5909112357104174e-09,7.823204437479487e-10,1.7242444812259745e-09,7.560079276871679e-10,1.712782051013609,1386.6762143456165,57.0,57.0,PASS
typical,27.0,3.3,band7,r16,f100,typical_27c_3.30v_band7_r16_f100,1.30621e-08,1.37555e-08,1.44935e-08,1.52765e-08,1.60714e-08,1.68779e-08,1.76839e-08,306229000.0,290794000.0,275985000.0,261841000.0,248889000.0,236996000.0,226194000.0,0.000392529,0.000395779,0.000405042,0.000405687,0.000413958,0.000418665,0.000422997,2.38835e-08,1.51262e-07,15701200.0,-121687337.66233768,-46.47375226276163,261841000.0,0.000405687,0.9562919045200211,261940684.02781552,9.078116514360196e-13,2.2060196318426442e-13,3.3592739782353314e-13,1.895525261613223e-12,4.252141599187282e-13,261943080.56537658,251039590.9402356,-10903489.625140965,-109034896.25140965,-4.162541572622163e-08,262079482.9942281,2.383132646226242e-10,8.407083962726419e-11,3.1514766742918394e-11,7.034456514227609e-10,2.2238653358844908e-10,4.2193916918938856e-10,1.5891306353709738e-10,2.203324218440406,522.9988898557709,66.0,66.0,PASS
typical,125.0,3.3,band0,r16,f100,typical_125c_3.30v_band0_r16_f100,5.14415e-07,5.34582e-07,5.54736e-07,5.72787e-07,5.90332e-07,6.06562e-07,6.2211e-07,7775820.0,7482490.0,7210630.0,6983400.0,6775850.0,6594550.0,6429730.0,7.67854e-05,7.77456e-05,7.87769e-05,8.14056e-05,8.29641e-05,8.71306e-05,8.67436e-05,5.89049e-07,3.73065e-06,636619.0,-2028873.3766233772,-29.052802025136426,6983400.0,8.14056e-05,1.0055938777263747,6986073.664644848,1.046620439715761e-11,2.3848587034656865e-12,3.2494279037546805e-12,1.921454666101244e-11,4.717502641309778e-12,6986041.032912982,6795227.60246559,-190813.43044739123,-1908134.3044739123,-2.7313528441705617e-08,6991750.220571376,4.318767045162211e-09,1.513857423068623e-09,8.827390199064559e-10,8.72547076424382e-09,2.6999134319707245e-09,6.828358499650993e-09,3.909692650293001e-09,1.058451297165366,572.3183720828007,44.0,43.0,PASS
typical,125.0,3.3,band4,r16,f100,typical_125c_3.30v_band4_r16_f100,6.14739e-08,6.48544e-08,6.81811e-08,7.13513e-08,7.43558e-08,7.73279e-08,8.01092e-08,65068300.0,61676600.0,58667300.0,56060700.0,53795400.0,51727800.0,49931800.0,0.000155779,0.000157208,0.000159807,0.000163371,0.000164195,0.00016775,0.000171296,7.94723e-08,5.03325e-07,4718620.0,-22785389.610389616,-40.64414038781109,56060700.0,0.000163371,1.5075368560965194,56082630.649612576,1.8433464297407197e-12,4.4388664578636213e-13,6.108383231197663e-13,3.6761353106749555e-12,9.329820027716476e-13,56082985.27834469,53978006.810986675,-2104978.4673580155,-21049784.673580155,-3.753328138491248e-08,56138744.8574191,8.89309816100083e-10,3.1029344245391467e-10,1.671068876626951e-10,1.9206501863045613e-09,5.94393233121244e-10,1.265972897993769e-09,6.692538899355191e-10,1.7419484396850575,637.08970950721,47.0,47.0,PASS
typical,125.0,3.3,band7,r16,f100,typical_125c_3.30v_band7_r16_f100,1.17278e-08,1.22481e-08,1.28099e-08,1.33983e-08,1.40143e-08,1.46456e-08,1.52869e-08,341070000.0,326581000.0,312258000.0,298545000.0,285422000.0,273119000.0,261663000.0,0.000461164,0.000467294,0.000472662,0.000482397,0.000487098,0.00049058,0.000505692,1.76915e-08,1.12046e-07,21196600.0,-120773051.94805199,-40.45388532651761,298545000.0,0.000482397,0.5727181592628927,298612857.62381417,7.315931537850144e-13,1.7482290318291957e-13,2.7835001943032877e-13,1.4697956703335333e-12,3.928348364369916e-13,298616456.89332795,288109076.30980843,-10507380.583519518,-105073805.83519518,-3.518687714948334e-08,298635761.9669235,1.7788332055684528e-10,6.28271307992071e-11,2.7267875860857182e-11,4.2480811297183863e-10,1.3999993535839557e-10,2.6420430308472613e-10,1.1783585458231853e-10,1.8762428078416777,356.3837072806315,56.0,56.0,PASS
ff,-40.0,3.3,band0,r16,f100,ff_-40c_3.30v_band0_r16_f100,5.96414e-07,6.15289e-07,6.33607e-07,6.52724e-07,6.6866e-07,6.83782e-07,6.97531e-07,6706760.0,6501010.0,6313060.0,6128160.0,5982110.0,5849820.0,5734510.0,5.61852e-05,5.794e-05,5.75093e-05,6.20754e-05,6.47188e-05,6.40626e-05,7.13224e-05,1.06029e-06,6.71516e-06,353677.0,-1477298.7012987016,-24.10672536778905,6128160.0,6.20754e-05,0.789563495171693,6134617.312375383,4.704878822386243e-11,9.497846837383052e-12,1.3980507082070891e-11,6.703531424262363e-11,1.5003544196563097e-11,6134588.38307076,5997459.005020292,-137129.37805046886,-1371293.7805046886,-2.2353476629156768e-08,6137237.123246527,4.033595796572106e-09,1.4133998546098542e-09,5.182041119465239e-10,1.2652428716153774e-08,3.896185363637901e-09,1.0059035571338934e-08,3.6438085829278475e-09,0.8674370057702842,259.6843327545508,69.0,69.0,PASS
