# per-cycle period and TIE sequence at the nominal point -- `typical_27c_3.30v_band5_r16_f100`
# One row per measured cycle of each of the three copies. The quiet column is the transient solver's own numerical floor at these settings; the ripple column is the signal.
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
0,7.139728962e-08,1.18369e-08,-6.71816e-14,7.139728961e-08,1.18369e-08,3.16525e-09,7.208044842e-08,1.21413e-08,-9.74654e-11
1,8.323422318e-08,1.18369e-08,6.31966e-14,8.323422317e-08,1.18369e-08,2.94801e-09,8.42217616e-08,1.20706e-08,2.16264e-10
2,9.507110656e-08,1.18373e-08,1.43384e-13,9.507110655e-08,1.18373e-08,2.73072e-09,9.629235311e-08,1.19532e-08,4.59272e-10
3,1.069083696e-07,1.18369e-08,6.03272e-13,1.069083696e-07,1.18369e-08,2.51382e-09,1.082455636e-07,1.18172e-08,5.84898e-10
4,1.1874526e-07,1.18366e-08,6.90465e-13,1.1874526e-07,1.18366e-08,2.29654e-09,1.200627707e-07,1.16855e-08,5.74522e-10
5,1.30581817e-07,1.18374e-08,4.44296e-13,1.30581817e-07,1.18374e-08,2.07892e-09,1.317482314e-07,1.1584e-08,4.32398e-10
6,1.424192289e-07,1.18365e-08,1.05295e-12,1.424192289e-07,1.18365e-08,1.86216e-09,1.43332268e-07,1.15275e-08,1.88851e-10
7,1.542557069e-07,1.18364e-08,7.27834e-13,1.542557069e-07,1.18364e-08,1.64447e-09,1.548597959e-07,1.15264e-08,-1.11205e-10
8,1.660920944e-07,1.18365e-08,3.12063e-13,1.660920943e-07,1.18365e-08,1.42668e-09,1.663861698e-07,1.15768e-08,-4.12415e-10
9,1.77928636e-07,1.18369e-08,5.04749e-14,1.779286359e-07,1.18369e-08,1.20905e-09,1.77963014e-07,1.1672e-08,-6.63154e-10
10,1.89765541e-07,1.1837e-08,1.52368e-13,1.89765541e-07,1.1837e-08,9.91787e-10,1.896350103e-07,1.17965e-08,-8.18742e-10
11,2.01602508e-07,1.18365e-08,3.16168e-13,2.01602508e-07,1.18365e-08,7.74582e-10,2.014315206e-07,1.19296e-08,-8.49815e-10
12,2.134390442e-07,1.18366e-08,4.91424e-14,2.134390442e-07,1.18366e-08,5.56947e-10,2.13361131e-07,1.20483e-08,-7.47789e-10
13,2.252756371e-07,1.1837e-08,-1.61097e-13,2.252756371e-07,1.1837e-08,3.39368e-10,2.254093891e-07,1.21299e-08,-5.27115e-10
14,2.371126166e-07,1.18362e-08,1.52249e-14,2.371126166e-07,1.18362e-08,1.22176e-10,2.375392582e-07,1.21567e-08,-2.24829e-10
15,2.489488545e-07,1.18367e-08,-5.50131e-13,2.489488545e-07,1.18367e-08,-9.57578e-11,2.496959315e-07,1.21229e-08,1.0426e-10
16,2.60785527e-07,1.18371e-08,-6.80789e-13,2.60785527e-07,1.18371e-08,-3.13257e-10,2.618188542e-07,1.20338e-08,3.99599e-10
17,2.726226295e-07,1.18373e-08,-3.8148e-13,2.726226295e-07,1.18373e-08,-5.30326e-10,2.738526358e-07,1.19072e-08,6.05797e-10
18,2.844599736e-07,1.18365e-08,1.59481e-13,2.844599736e-07,1.18365e-08,-7.47153e-10,2.857597988e-07,1.17691e-08,6.85376e-10
19,2.962964361e-07,1.18372e-08,-1.81285e-13,2.962964361e-07,1.18372e-08,-9.64862e-10,2.975289466e-07,1.1646e-08,6.2694e-10
20,3.081336306e-07,1.18369e-08,2.10051e-13,3.081336306e-07,1.18369e-08,-1.18184e-09,3.09174934e-07,1.15586e-08,4.45343e-10
21,3.199704849e-07,1.18366e-08,2.6119e-13,3.199704849e-07,1.18366e-08,-1.39916e-09,3.207335468e-07,1.1521e-08,1.76372e-10
22,3.318070536e-07,1.18364e-08,2.66638e-14,3.318070536e-07,1.18364e-08,-1.61676e-09,3.322545052e-07,1.15387e-08,-1.30253e-10
23,3.436434479e-07,1.18369e-08,-3.82155e-13,3.436434479e-07,1.18369e-08,-1.83454e-09,3.437931817e-07,1.16051e-08,-4.1916e-10
24,3.554803327e-07,1.18371e-08,-3.00547e-13,3.554803327e-07,1.18371e-08,-2.05182e-09,3.553982583e-07,1.17133e-08,-6.41668e-10
25,3.67317473e-07,1.18366e-08,3.65777e-14,3.67317473e-07,1.18366e-08,-2.26885e-09,3.671115114e-07,1.18429e-08,-7.55998e-10
26,3.791541216e-07,1.18365e-08,-1.18033e-13,3.791541216e-07,1.18365e-08,-2.48638e-09,3.789544595e-07,1.19735e-08,-7.40634e-10
27,3.909906202e-07,1.18368e-08,-4.22593e-13,3.909906202e-07,1.18368e-08,-2.70405e-09,3.909279152e-07,1.2082e-08,-5.94762e-10
28,4.028274399e-07,1.18373e-08,-4.06104e-13,4.028274399e-07,1.16522e-08,-2.9214e-09,4.030099385e-07,1.21458e-08,-3.40323e-10
29,4.146647526e-07,1.18362e-08,1.03373e-13,4.144796753e-07,1.15971e-08,-3.32334e-09,4.151556933e-07,1.21521e-08,-2.21517e-11
30,4.265009504e-07,1.18366e-08,-5.01961e-13,4.260767945e-07,1.21858e-08,-3.78039e-09,4.273077684e-07,1.20977e-08,3.02339e-10
31,4.383375839e-07,1.18374e-08,-6.71703e-13,4.382626303e-07,1.23288e-08,-3.64873e-09,4.394054964e-07,1.19926e-08,5.72484e-10
32,4.501749571e-07,1.18362e-08,-1.01635e-13,4.505914168e-07,1.23536e-08,-3.37411e-09,4.513981422e-07,1.18596e-08,7.37546e-10
33,4.620112044e-07,1.18374e-08,-6.57522e-13,4.629450357e-07,1.23592e-08,-3.07466e-09,4.632577784e-07,1.17232e-08,7.69598e-10
34,4.738486024e-07,1.18361e-08,-6.27644e-14,4.753042507e-07,1.23588e-08,-2.76962e-09,4.749809339e-07,1.161e-08,6.6517e-10
35,4.85684747e-07,1.18373e-08,-7.2135e-13,4.876630052e-07,1.23606e-08,-2.46504e-09,4.86590925e-07,1.15395e-08,4.47577e-10
36,4.975220703e-07,1.18358e-08,-2.01177e-13,5.000235629e-07,1.23606e-08,-2.15865e-09,4.981303837e-07,1.15221e-08,1.59452e-10
37,5.093579012e-07,1.1837e-08,-1.17347e-12,5.123841133e-07,1.23594e-08,-1.85227e-09,5.096524472e-07,1.1556e-08,-1.46069e-10
38,5.211949251e-07,1.18374e-08,-9.52792e-13,5.24743499e-07,1.23604e-08,-1.54706e-09,5.212084441e-07,1.16384e-08,-4.17655e-10
