# campaign: devchar-delay
# generated_utc: 2026-07-31T03:16:18Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-delay/tb_delay_stage.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points
# topology_ring: 5-stage self-loaded ring of minimum-length CMOS inverters
#   ring1x: Wn=1.0um Wp=2.5um L=0.28um ; ring4x: Wn=4.0um Wp=10.0um L=0.28um
#   tstage = 1/(2*N*fosc) with N=5 ; fosc from 8 periods after start-up
# topology_fo1: open 4-inverter chain (1x), stage 3 measured (identical driver
#   and identical fan-out-1 load), ideal step at the chain input
# idsat_n_1u / idsat_p_2u5: single device at Vgs=Vds=Vdd, W=1.0um n / 2.5um p
# qstage/cstage: supply charge per stage transition of ring1x and Q/Vdd;
#   includes short-circuit current, so cstage is an upper bound on load C
process,temp_c,vdd_v,ring1x_fosc_hz,ring1x_tstage_s,ring1x_isupply_a,ring1x_qstage_c,ring1x_cstage_f,ring4x_fosc_hz,ring4x_tstage_s,ring4x_isupply_a,fo1_tphl_s,fo1_tplh_s,fo1_tpd_s,fo1_tfall_s,fo1_trise_s,idsat_n_1u_a,idsat_p_2u5_a
ff,-40,2.97,2.89273e+09,3.45694e-11,0.000409989,2.83461e-14,9.54416e-15,2.94294e+09,3.39796e-11,0.00163626,3.58073e-11,3.34668e-11,3.4637e-11,5.02085e-11,5.21521e-11,0.00057598,0.000678936
ff,-40,3.30,3.10744e+09,3.21808e-11,0.000496477,3.19541e-14,9.68305e-15,3.15264e+09,3.17195e-11,0.00197625,3.37874e-11,3.07549e-11,3.22711e-11,4.86464e-11,4.92828e-11,0.000667365,0.000813603
ff,-40,3.63,3.2897e+09,3.03979e-11,0.000586613,3.56636e-14,9.82469e-15,3.32889e+09,3.004e-11,0.00232886,3.22752e-11,2.87347e-11,3.05049e-11,4.73806e-11,4.71441e-11,0.000758581,0.000950069
ff,27,2.97,2.52043e+09,3.96758e-11,0.000368035,2.92042e-14,9.83305e-15,2.56473e+09,3.89905e-11,0.00146873,4.10943e-11,3.84422e-11,3.97683e-11,5.95533e-11,6.18326e-11,0.000522783,0.000604479
ff,27,3.30,2.71172e+09,3.6877e-11,0.000445847,3.2883e-14,9.96455e-15,2.75148e+09,3.6344e-11,0.00177347,3.86729e-11,3.53102e-11,3.69916e-11,5.71709e-11,5.82299e-11,0.000607166,0.000724646
ff,27,3.63,2.8769e+09,3.47596e-11,0.000526936,3.66322e-14,1.00915e-14,2.91091e+09,3.43535e-11,0.00209046,3.68355e-11,3.29436e-11,3.48896e-11,5.52796e-11,5.54765e-11,0.00069155,0.000847441
ff,125,2.97,2.13429e+09,4.6854e-11,0.000325026,3.04575e-14,1.02551e-14,2.17081e+09,4.60659e-11,0.00129498,4.90866e-11,4.48984e-11,4.69925e-11,7.44783e-11,7.49693e-11,0.000455892,0.000535942
ff,125,3.30,2.29761e+09,4.35236e-11,0.000393163,3.42237e-14,1.03708e-14,2.33072e+09,4.29052e-11,0.00156211,4.60986e-11,4.12578e-11,4.36782e-11,7.06749e-11,7.02837e-11,0.000531008,0.000642385
ff,125,3.63,2.44241e+09,4.09431e-11,0.000464421,3.80297e-14,1.04765e-14,2.47078e+09,4.0473e-11,0.00184047,4.37814e-11,3.84396e-11,4.11105e-11,6.76305e-11,6.65686e-11,0.00060668,0.000752582
fs,-40,2.97,2.39319e+09,4.17853e-11,0.000337898,2.82383e-14,9.50786e-15,2.43773e+09,4.10218e-11,0.00135385,3.88512e-11,4.48316e-11,4.18414e-11,5.17567e-11,6.53105e-11,0.000545974,0.000507915
fs,-40,3.30,2.61259e+09,3.82762e-11,0.000414937,3.17644e-14,9.62558e-15,2.65388e+09,3.76807e-11,0.00165891,3.63473e-11,4.03766e-11,3.8362e-11,4.99954e-11,6.03976e-11,0.000634026,0.000624937
fs,-40,3.63,2.80039e+09,3.57093e-11,0.000495879,3.5415e-14,9.75619e-15,2.83718e+09,3.52463e-11,0.00197728,3.45001e-11,3.71313e-11,3.58157e-11,4.914e-11,5.68095e-11,0.000722019,0.000744978
fs,27,2.97,2.08405e+09,4.79834e-11,0.000302283,2.90091e-14,9.76738e-15,2.12261e+09,4.71119e-11,0.00121125,4.45236e-11,5.16104e-11,4.8067e-11,6.14611e-11,7.7043e-11,0.000494743,0.000451683
fs,27,3.30,2.27663e+09,4.39245e-11,0.00037135,3.26227e-14,9.88567e-15,2.3123e+09,4.32469e-11,0.00148393,4.15836e-11,4.64865e-11,4.4035e-11,5.9203e-11,7.11528e-11,0.000575894,0.000555253
fs,27,3.63,2.44413e+09,4.09144e-11,0.000443933,3.63265e-14,1.00073e-14,2.47557e+09,4.03947e-11,0.00176825,3.93874e-11,4.27039e-11,4.10456e-11,5.77967e-11,6.67753e-11,0.000657138,0.000662346
fs,125,2.97,1.76782e+09,5.65668e-11,0.000266152,3.01107e-14,1.01383e-14,1.79864e+09,5.55977e-11,0.00106429,5.30281e-11,6.0361e-11,5.66945e-11,7.77152e-11,9.29166e-11,0.000430499,0.000400907
fs,125,3.30,1.92932e+09,5.18317e-11,0.000326315,3.38269e-14,1.02506e-14,1.95806e+09,5.1071e-11,0.0013013,4.95151e-11,5.44454e-11,5.19803e-11,7.4509e-11,8.57083e-11,0.000502496,0.000491763
fs,125,3.63,2.07309e+09,4.82373e-11,0.000389611,3.75876e-14,1.03547e-14,2.09844e+09,4.76545e-11,0.00155008,4.68244e-11,4.99799e-11,4.84022e-11,7.18709e-11,8.01848e-11,0.000575091,0.000586814
sf,-40,2.97,2.37048e+09,4.21855e-11,0.000336635,2.84022e-14,9.56304e-15,2.41422e+09,4.14212e-11,0.00134929,4.72922e-11,3.71431e-11,4.22177e-11,6.32929e-11,5.52224e-11,0.000437856,0.000645819
sf,-40,3.30,2.57562e+09,3.88255e-11,0.000411622,3.19629e-14,9.68572e-15,2.61565e+09,3.82314e-11,0.00164535,4.40094e-11,3.37826e-11,3.8896e-11,6.01996e-11,5.21596e-11,0.000514694,0.000777194
sf,-40,3.63,2.75137e+09,3.63456e-11,0.000490103,3.56262e-14,9.81437e-15,2.78674e+09,3.58842e-11,0.0019545,4.15815e-11,3.13068e-11,3.64442e-11,5.7874e-11,4.9941e-11,0.000591803,0.000910647
sf,27,2.97,2.06126e+09,4.8514e-11,0.000300864,2.91922e-14,9.82903e-15,2.09932e+09,4.76345e-11,0.00120543,5.45529e-11,4.25888e-11,4.85708e-11,7.50978e-11,6.59697e-11,0.000394339,0.000574294
sf,27,3.30,2.24205e+09,4.4602e-11,0.000367866,3.28151e-14,9.94398e-15,2.27675e+09,4.39223e-11,0.00146994,5.06494e-11,3.87444e-11,4.46969e-11,7.09418e-11,6.21693e-11,0.00046456,0.000691236
sf,27,3.63,2.3992e+09,4.16805e-11,0.000438221,3.65305e-14,1.00635e-14,2.42945e+09,4.11616e-11,0.0017463,4.77348e-11,3.58725e-11,4.18037e-11,6.77727e-11,5.92874e-11,0.000535148,0.00081101
sf,125,2.97,1.74139e+09,5.74253e-11,0.000263961,3.03161e-14,1.02074e-14,1.7721e+09,5.64303e-11,0.0010561,6.5534e-11,4.9544e-11,5.7539e-11,9.37787e-11,8.06968e-11,0.000340748,0.000508507
sf,125,3.30,1.89355e+09,5.28109e-11,0.000322232,3.40347e-14,1.03136e-14,1.92175e+09,5.20359e-11,0.00128602,6.07698e-11,4.51484e-11,5.29591e-11,8.78539e-11,7.56519e-11,0.000402282,0.000611724
sf,125,3.63,2.02878e+09,4.92908e-11,0.000383663,3.78221e-14,1.04193e-14,2.05334e+09,4.87012e-11,0.00152686,5.71386e-11,4.17861e-11,4.94624e-11,8.32537e-11,7.16642e-11,0.000464553,0.000718785
ss,-40,2.97,1.9444e+09,5.14298e-11,0.000276534,2.84442e-14,9.57716e-15,1.98157e+09,5.04651e-11,0.00111328,5.22697e-11,5.05072e-11,5.13884e-11,6.55621e-11,7.10676e-11,0.000411018,0.000475732
ss,-40,3.30,2.14497e+09,4.66208e-11,0.000342553,3.19402e-14,9.67885e-15,2.17976e+09,4.58767e-11,0.00137492,4.81867e-11,4.50874e-11,4.6637e-11,6.33397e-11,6.57855e-11,0.000484257,0.000587531
ss,-40,3.63,2.31846e+09,4.31322e-11,0.000411939,3.55357e-14,9.78944e-15,2.34977e+09,4.25574e-11,0.00164902,4.52095e-11,4.11717e-11,4.31906e-11,6.1565e-11,6.1874e-11,0.000557863,0.000702406
ss,27,2.97,1.69101e+09,5.91363e-11,0.000246489,2.91529e-14,9.81579e-15,1.7229e+09,5.80416e-11,0.000992021,6.01854e-11,5.80422e-11,5.91138e-11,7.86567e-11,8.43966e-11,0.000369672,0.000423322
ss,27,3.30,1.86605e+09,5.3589e-11,0.000305312,3.27227e-14,9.91598e-15,1.89577e+09,5.27491e-11,0.00122496,5.54079e-11,5.18399e-11,5.36239e-11,7.53649e-11,7.79153e-11,0.000436455,0.000522226
ss,27,3.63,2.01951e+09,4.95169e-11,0.000367416,3.63866e-14,1.00239e-14,2.04592e+09,4.88779e-11,0.00146945,5.18874e-11,4.72998e-11,4.95936e-11,7.25878e-11,7.30548e-11,0.000503674,0.000624648
