# deterministic period/TIE jitter of the locked output, measured directly from the period sequence over the manifest's measurement window. RANDOM/NOISE-DRIVEN JITTER IS NOT MEASURED -- see this record's Methodology field.
# tj_rms_pct is the deterministic (control-ripple-driven) period jitter as a percentage of the measured output period -- the form spec/pll.md#period-jitter states its draft <=1.0% RMS target in. The verdict column is read against that draft, unratified target (issue #1).
# tie_rms_s/tie_pp_s de-trend the crossing sequence by its own least-squares line before computing RMS/pp, which removes any residual release-transient settling drift from being counted as jitter -- the same reason sim/reference-spur's TIE path de-trends by a fit rather than a nominal period.
# This table reports the DETERMINISTIC component only. No random/noise-driven jitter number appears anywhere in this record -- see the Methodology field for why.
corner_id,process,temp_c,vdd_v,fout_hz,n_cycles,tj_rms_s,tj_rms_pct,tj_pp_s,c2c_rms_s,tie_rms_s,tie_pp_s,ferr,dn_lvl,dt_int_mean_s,verdict_vs_1pct_rms_draft
fs_-40c_2.97v_vs1p620,fs,-40,2.97,1.50022e+08,314,1.2684e-11,0.1903,6.9979e-11,2.1666e-11,1.0091e-11,5.2563e-11,2.11e-05,0.1451,7.400e-11,PASS
fs_-40c_3.30v_vs1p956,fs,-40,3.30,1.50022e+08,314,1.2509e-11,0.1876,6.1434e-11,2.1106e-11,1.1373e-11,5.8756e-11,1.07e-06,0.1493,7.228e-11,PASS
fs_-40c_3.63v_vs2p279,fs,-40,3.63,1.49971e+08,314,1.3981e-11,0.2097,6.3557e-11,2.4966e-11,1.0028e-11,5.4879e-11,-1.98e-05,0.1509,6.903e-11,PASS
fs_27c_2.97v_vs1p460,fs,27,2.97,1.50036e+08,314,1.0181e-11,0.1527,5.2620e-11,1.7685e-11,1.7928e-11,7.7398e-11,3.65e-05,0.1678,7.670e-11,PASS
fs_27c_3.63v_vs2p055,fs,27,3.63,1.50055e+08,314,1.3248e-11,0.1988,5.9580e-11,2.3102e-11,2.1684e-11,9.9008e-11,2.45e-05,0.1741,7.146e-11,PASS
fs_125c_2.97v_vs1p265,fs,125,2.97,1.50035e+08,314,6.0170e-12,0.0903,2.7005e-11,1.0557e-11,7.9427e-12,4.1352e-11,3.06e-05,0.2007,8.081e-11,PASS
fs_125c_3.30v_vs1p534,fs,125,3.30,1.50027e+08,314,8.0407e-12,0.1206,3.8785e-11,1.3365e-11,8.5245e-12,4.1305e-11,1.18e-05,0.2040,7.741e-11,PASS
fs_125c_3.63v_vs1p791,fs,125,3.63,1.50027e+08,314,1.0106e-11,0.1516,4.7327e-11,1.7551e-11,9.4565e-12,4.4824e-11,1.48e-05,0.2069,7.470e-11,PASS
sf_-40c_2.97v_vs1p677,sf,-40,2.97,1.49981e+08,314,1.6480e-11,0.2472,7.6147e-11,2.8442e-11,1.5455e-11,7.3731e-11,2.83e-06,0.1539,7.415e-11,PASS
sf_-40c_3.30v_vs2p043,sf,-40,3.30,1.49971e+08,314,1.6419e-11,0.2463,6.4216e-11,2.9349e-11,1.0487e-11,4.5577e-11,-1.39e-06,0.1574,7.211e-11,PASS
sf_-40c_3.63v_vs2p379,sf,-40,3.63,1.49985e+08,314,1.6359e-11,0.2454,7.8629e-11,2.8871e-11,1.3925e-11,7.6333e-11,-7.22e-06,0.1583,6.915e-11,PASS
sf_27c_2.97v_vs1p500,sf,27,2.97,1.49992e+08,314,1.0864e-11,0.1630,6.1721e-11,1.9035e-11,9.5890e-12,5.0963e-11,9.69e-06,0.1785,7.647e-11,PASS
sf_27c_3.63v_vs2p128,sf,27,3.63,1.50003e+08,314,1.6236e-11,0.2436,7.8418e-11,2.6408e-11,1.9083e-11,8.0625e-11,4.02e-08,0.1833,7.161e-11,PASS
sf_125c_2.97v_vs1p274,sf,125,2.97,1.49995e+08,314,8.4157e-12,0.1262,3.6135e-11,1.4309e-11,6.7008e-12,3.9823e-11,4.44e-06,0.2130,8.099e-11,PASS
sf_125c_3.30v_vs1p559,sf,125,3.30,1.50011e+08,314,1.1556e-11,0.1733,4.5584e-11,1.9717e-11,7.9370e-12,3.3324e-11,-8.64e-07,0.2161,7.696e-11,PASS
sf_125c_3.63v_vs1p827,sf,125,3.63,1.49998e+08,314,1.0522e-11,0.1578,5.0596e-11,1.8293e-11,9.6352e-12,4.7524e-11,1.18e-06,0.2192,7.426e-11,PASS
