corner,temp_c,vdd,vs,corner_id,phi_a,phi_b,ferr,tclk20,fout,tfb5,ffb,nmeas,lock_lvl,up_lvl,dn_lvl,tj_rms_s,tj_pp_s,tj_rms_pct,c2c_rms_s,tie_rms_s,tie_pp_s,n_cycles,dt_int_mean,verdict
fs,-40.0,2.97,vs1p620,fs_-40c_2.97v_vs1p620,2.27119e-09,2.25005e-09,2.11445e-05,1.33313e-07,150022000.0,1.99953e-07,25005900.0,5.99948,3.86585e-09,0.344783,0.145138,1.2683625515373445e-11,6.997941729909617e-11,0.19028771158914992,2.1666249470472203e-11,1.0090531959998548e-11,5.256330176245914e-11,314.0,7.399683831690827e-11,PASS
fs,-40.0,3.3,vs1p956,fs_-40c_3.30v_vs1p956,9.26273e-10,9.25202e-10,1.0714e-06,1.33314e-07,150022000.0,2e-07,25000000.0,6.00088,3.3,0.237565,0.149278,1.2509435397447386e-11,6.143381099039708e-11,0.18764867877813646,2.1105724872268466e-11,1.1372637465640765e-11,5.875552413953957e-11,314.0,7.227569893886132e-11,PASS
fs,-40.0,3.63,vs2p279,fs_-40c_3.63v_vs2p279,1.85358e-09,1.87336e-09,-1.97727e-05,1.33359e-07,149971000.0,2.00019e-07,24997600.0,5.99943,4.70368e-09,0.34956,0.150949,1.3981399110413405e-11,6.355705908398998e-11,0.20972210182096146,2.4966341529963322e-11,1.0027629855465347e-11,5.487865865220137e-11,314.0,6.903043614684656e-11,PASS
fs,27.0,2.97,vs1p460,fs_27c_2.97v_vs1p460,2.33921e-09,2.30272e-09,3.64907e-05,1.33301e-07,150036000.0,1.99946e-07,25006800.0,5.99981,4.65336e-09,0.372994,0.167775,1.01810304191257e-11,5.2619550164391426e-11,0.15274277244623916,1.7684803634824276e-11,1.7928396235880127e-11,7.739767192610942e-11,314.0,7.669781062613303e-11,PASS
fs,27.0,3.63,vs2p055,fs_27c_3.63v_vs2p055,3.14501e-09,3.12052e-09,2.44946e-05,1.33285e-07,150055000.0,1.99938e-07,25007700.0,6.00034,5.64026e-09,0.512584,0.174061,1.3247854884764343e-11,5.958008247022503e-11,0.19875843121362383,2.3101617089789595e-11,2.168356967420698e-11,9.900831166917e-11,314.0,7.145873258193393e-11,PASS
fs,125.0,2.97,vs1p265,fs_125c_2.97v_vs1p265,3.31589e-09,3.28529e-09,3.06077e-05,1.33302e-07,150035000.0,1.99952e-07,25006000.0,5.99997,1.3007e-08,0.494193,0.200693,6.017011290322599e-12,2.7004948934523476e-11,0.09027120865734582,1.0557070853313394e-11,7.942668048124913e-12,4.135201882708061e-11,314.0,8.08080808080808e-11,PASS
fs,125.0,3.3,vs1p534,fs_125c_3.30v_vs1p534,3.00163e-09,2.98987e-09,1.17647e-05,1.33309e-07,150027000.0,1.99977e-07,25002900.0,6.00039,1.37186e-08,0.499456,0.203998,8.040675332004527e-12,3.8784827557199945e-11,0.12062860639893111,1.3365421778582237e-11,8.524453283689739e-12,4.1304757349851e-11,314.0,7.740755075472361e-11,PASS
fs,125.0,3.63,vs1p791,fs_125c_3.63v_vs1p791,3.25091e-09,3.23608e-09,1.48298e-05,1.3331e-07,150027000.0,1.9998e-07,25002500.0,6.00047,1.48267e-08,0.557749,0.20687,1.0106152068405138e-11,4.73273191512632e-11,0.1516187268718643,1.7551399672147837e-11,9.45645002339671e-12,4.482438406842366e-11,314.0,7.469527722133568e-11,PASS
sf,-40.0,2.97,vs1p677,sf_-40c_2.97v_vs1p677,1.08202e-09,1.07919e-09,2.83438e-06,1.3335e-07,149981000.0,2e-07,25000000.0,5.99925,2.97,0.249296,0.153905,1.6480048934302627e-11,7.61471415936115e-11,0.24721749490617062,2.844216930224971e-11,1.545493217537517e-11,7.373134443314471e-11,314.0,7.415397060806255e-11,PASS
sf,-40.0,3.3,vs2p043,sf_-40c_3.30v_vs2p043,3.94243e-10,3.95629e-10,-1.38662e-06,1.33359e-07,149971000.0,2.00003e-07,24999700.0,5.99892,3.3,0.194922,0.157438,1.641862417669997e-11,6.421565777667553e-11,0.2462811682582448,2.934851199261183e-11,1.0487130353205743e-11,4.55765503750593e-11,314.0,7.210750573582431e-11,PASS
sf,-40.0,3.63,vs2p379,sf_-40c_3.63v_vs2p379,1.314e-09,1.32122e-09,-7.21767e-06,1.33347e-07,149985000.0,2.00016e-07,24998000.0,5.99986,5.45609e-09,0.299969,0.158255,1.6359414576492358e-11,7.862877179882984e-11,0.24539537899963926,2.887051048924006e-11,1.3924629655860627e-11,7.633309942199808e-11,314.0,6.914542540151491e-11,PASS
sf,27.0,2.97,vs1p500,sf_27c_2.97v_vs1p500,9.71235e-10,9.61544e-10,9.69103e-06,1.3334e-07,149992000.0,1.99988e-07,25001400.0,5.99934,2.97,0.263627,0.178513,1.0863571831387104e-11,6.172148555884236e-11,0.16295823085838607,1.9034847357659185e-11,9.589023839856494e-12,5.0963126300132875e-11,314.0,7.64738598442714e-11,PASS
sf,27.0,3.63,vs2p128,sf_27c_3.63v_vs2p128,1.5834e-09,1.58336e-09,4.02353e-08,1.33331e-07,150003000.0,1.99991e-07,25001100.0,5.99987,7.08005e-09,0.353838,0.183341,1.6236441181994754e-11,7.84177804139777e-11,0.2435562996073194,2.6408440286460485e-11,1.9083175425994478e-11,8.062482397864118e-11,314.0,7.160759040458288e-11,PASS
sf,125.0,2.97,vs1p274,sf_125c_2.97v_vs1p274,1.89412e-09,1.88968e-09,4.43764e-06,1.33338e-07,149995000.0,1.99995e-07,25000600.0,5.99964,3.16149e-07,0.380884,0.212977,8.415654173842202e-12,3.613543742719098e-11,0.12623751633038108,1.4309003872270606e-11,6.700825941493516e-12,3.982349088792463e-11,314.0,8.098954498601089e-11,PASS
sf,125.0,3.3,vs1p559,sf_125c_3.30v_vs1p559,1.40914e-09,1.41e-09,-8.64151e-07,1.33324e-07,150011000.0,2.00004e-07,24999500.0,6.00055,3.30407e-07,0.354202,0.216142,1.155588460016017e-11,4.5584219179276714e-11,0.17333713463917433,1.9717091829590136e-11,7.936996267176428e-12,3.332402537474641e-11,314.0,7.696075001749107e-11,PASS
sf,125.0,3.63,vs1p827,sf_125c_3.63v_vs1p827,1.01707e-09,1.01588e-09,1.18028e-06,1.33335e-07,149998000.0,2.00002e-07,24999800.0,5.99996,3.63,0.328328,0.219175,1.0521863408251026e-11,5.059633233268386e-11,0.1578199478151014,1.829339000287215e-11,9.63517556852277e-12,4.752356915036044e-11,314.0,7.425909673935055e-11,PASS
