bundle,res_sec,moscap_sec,mimcap_sec,temp_c,vctrl_v,r_ohm,c1_f,c2_f,ctot_f,fz_hz,fp3_hz,ph_peak_deg,fit_err_frac
rff-mff-xff,ff,ff,ff,-40,0.3,62301.2,9.91011e-11,1.8151e-12,1.00916e-10,25777.7,1.43319e+06,-15.2838,0.00054
rff-mff-xff,ff,ff,ff,-40,0.9,62302.6,1.07053e-10,1.8151e-12,1.08869e-10,23862.3,1.43124e+06,-14.7211,0.00054
rff-mff-xff,ff,ff,ff,-40,1.35,62302.8,1.08344e-10,1.8151e-12,1.10159e-10,23578.1,1.43096e+06,-14.6375,0.00054
rff-mff-xff,ff,ff,ff,-40,1.8,62302.7,1.0868e-10,1.8151e-12,1.10496e-10,23505.1,1.43089e+06,-14.6160,0.00054
rff-mff-xff,ff,ff,ff,-40,2.25,62302.8,1.08767e-10,1.8151e-12,1.10582e-10,23486.4,1.43087e+06,-14.6105,0.00054
rff-mff-xff,ff,ff,ff,-40,2.7,62302.8,1.08789e-10,1.8151e-12,1.10604e-10,23481.6,1.43086e+06,-14.6090,0.00054
rff-mff-xff,ff,ff,ff,27,0.3,61723.4,9.91011e-11,1.8173e-12,1.00918e-10,26019.1,1.44489e+06,-15.2957,0.00053
rff-mff-xff,ff,ff,ff,27,0.9,61724.6,1.07053e-10,1.8173e-12,1.08871e-10,24085.8,1.44293e+06,-14.7279,0.00053
rff-mff-xff,ff,ff,ff,27,1.35,61724.8,1.08344e-10,1.8173e-12,1.10161e-10,23798.8,1.44264e+06,-14.6434,0.00053
rff-mff-xff,ff,ff,ff,27,1.8,61724.8,1.0868e-10,1.8173e-12,1.10498e-10,23725.1,1.44256e+06,-14.6217,0.00053
rff-mff-xff,ff,ff,ff,27,2.25,61724.9,1.08767e-10,1.8173e-12,1.10584e-10,23706.2,1.44254e+06,-14.6162,0.00053
rff-mff-xff,ff,ff,ff,27,2.7,61724.9,1.08789e-10,1.8173e-12,1.10606e-10,23701.4,1.44254e+06,-14.6148,0.00053
rff-mff-xff,ff,ff,ff,125,0.3,61577.7,9.91011e-11,1.81888e-12,1.0092e-10,26080.6,1.44708e+06,-15.3013,0.00052
rff-mff-xff,ff,ff,ff,125,0.9,61579,1.07053e-10,1.81888e-12,1.08872e-10,24142.8,1.44511e+06,-14.7338,0.00052
