f_ref_hz,n_div,f_out_hz,band_at_typical,kappa_min_ruleA,kappa_max_ruleA,kappa_min_ruleB,kappa_max_ruleB,kappa_max_ruleC,corners_static_band_cannot_reach,corners
1e+06,12,1.2e+07,1,0.32936,0.49869,0.33104,0.57248,0.70008,4,63
1e+06,16,1.6e+07,2,0.33147,0.53062,0.35474,0.67805,0.70450,1,63
1e+06,24,2.4e+07,2,0.33058,0.51588,0.33058,0.51414,0.71091,22,63
1e+06,32,3.2e+07,3,0.32894,0.54057,0.34174,0.61948,0.75014,2,63
1e+06,48,4.8e+07,4,0.34005,0.55074,0.34005,0.67637,0.72806,1,63
1e+06,64,6.4e+07,4,0.34876,0.54916,0.34876,0.58039,0.71988,14,63
2e+06,6,1.2e+07,1,0.32936,0.49869,0.33104,0.57248,0.70008,4,63
2e+06,8,1.6e+07,2,0.33147,0.53062,0.35474,0.67805,0.70450,1,63
2e+06,12,2.4e+07,2,0.33058,0.51588,0.33058,0.51414,0.71091,22,63
2e+06,16,3.2e+07,3,0.32894,0.54057,0.34174,0.61948,0.75014,2,63
2e+06,24,4.8e+07,4,0.34005,0.55074,0.34005,0.67637,0.72806,1,63
2e+06,32,6.4e+07,4,0.34876,0.54916,0.34876,0.58039,0.71988,14,63
2e+06,48,9.6e+07,5,0.35864,0.56290,0.35864,0.67100,0.77666,5,63
2e+06,64,1.28e+08,6,0.36592,0.58768,0.40144,0.72792,0.76767,4,63
4e+06,4,1.6e+07,2,0.33147,0.53062,0.35474,0.67805,0.70450,1,63
4e+06,6,2.4e+07,2,0.33058,0.51588,0.33058,0.51414,0.71091,22,63
4e+06,8,3.2e+07,3,0.32894,0.54057,0.34174,0.61948,0.75014,2,63
4e+06,12,4.8e+07,4,0.34005,0.55074,0.34005,0.67637,0.72806,1,63
4e+06,16,6.4e+07,4,0.34876,0.54916,0.34876,0.58039,0.71988,14,63
4e+06,24,9.6e+07,5,0.35864,0.56290,0.35864,0.67100,0.77666,5,63
4e+06,32,1.28e+08,6,0.36592,0.58768,0.40144,0.72792,0.76767,4,63
4e+06,48,1.92e+08,6,0.35744,0.59496,0.35744,0.63389,0.78709,13,63
8e+06,4,3.2e+07,3,0.32894,0.54057,0.34174,0.61948,0.75014,2,63
8e+06,6,4.8e+07,4,0.34005,0.55074,0.34005,0.67637,0.72806,1,63
8e+06,8,6.4e+07,4,0.34876,0.54916,0.34876,0.58039,0.71988,14,63
8e+06,12,9.6e+07,5,0.35864,0.56290,0.35864,0.67100,0.77666,5,63
8e+06,16,1.28e+08,6,0.36592,0.58768,0.40144,0.72792,0.76767,4,63
8e+06,24,1.92e+08,6,0.35744,0.59496,0.35744,0.63389,0.78709,13,63
1.6e+07,4,6.4e+07,4,0.34876,0.54916,0.34876,0.58039,0.71988,14,63
1.6e+07,6,9.6e+07,5,0.35864,0.56290,0.35864,0.67100,0.77666,5,63
1.6e+07,8,1.28e+08,6,0.36592,0.58768,0.40144,0.72792,0.76767,4,63
1.6e+07,12,1.92e+08,6,0.35744,0.59496,0.35744,0.63389,0.78709,13,63
2.5e+07,4,1e+08,5,0.36243,0.56538,0.36243,0.64987,0.76841,8,63
2.5e+07,6,1.5e+08,6,0.36274,0.58196,0.39101,0.70377,0.79863,2,63
2.5e+07,8,2e+08,6,0.34308,0.57881,0.34308,0.61614,0.77541,16,63
