# campaign: vco-tuning-range (band-select mirror mismatch)
# record_id: 20260817-143524-0e9cfc9
# generated_utc: 2026-08-17T14:35:24Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/netlist/vco.spice (committed export)
# corners: typical/27C/3.30V, Vctrl=1.8, bands={0,7}, N=25 mismatch samples/band
band,seed,f_hz,i_a
0,1,7.17718e+06,6.42549e-05
0,2,6.85101e+06,6.55664e-05
0,3,5.48666e+06,6.07981e-05
0,4,6.83407e+06,6.35808e-05
0,5,6.79085e+06,6.63487e-05
0,6,6.17372e+06,6.52733e-05
0,7,8.25481e+06,6.72175e-05
0,8,5.06325e+06,6.39541e-05
0,9,5.19798e+06,6.34841e-05
0,10,6.68512e+06,6.37843e-05
0,11,5.74064e+06,6.57149e-05
0,12,6.28821e+06,6.56191e-05
0,13,6.62409e+06,6.68761e-05
0,14,5.87105e+06,6.23672e-05
0,15,7.12812e+06,6.59624e-05
0,16,7.88274e+06,6.32335e-05
0,17,6.23619e+06,6.32869e-05
0,18,6.52698e+06,6.24592e-05
0,19,7.36840e+06,6.73744e-05
0,20,7.07748e+06,6.64503e-05
0,21,5.07173e+06,6.19357e-05
0,22,5.69342e+06,6.30273e-05
0,23,6.43939e+06,6.37228e-05
0,24,7.48060e+06,6.62482e-05
0,25,6.46830e+06,6.38924e-05
7,1,2.87815e+08,4.38642e-04
7,2,2.73976e+08,4.23598e-04
7,3,2.51543e+08,3.98542e-04
7,4,2.72195e+08,4.17905e-04
7,5,2.52827e+08,3.94993e-04
7,6,2.50717e+08,3.94504e-04
7,7,2.75722e+08,4.19326e-04
7,8,2.39418e+08,3.89134e-04
7,9,2.41817e+08,3.89417e-04
7,10,2.49613e+08,3.93534e-04
7,11,2.57966e+08,4.10369e-04
7,12,2.50436e+08,3.96900e-04
7,13,2.69251e+08,4.18428e-04
7,14,2.71848e+08,4.20058e-04
7,15,2.67704e+08,4.15579e-04
7,16,2.66950e+08,4.11092e-04
7,17,2.63694e+08,4.11992e-04
7,18,2.59173e+08,4.05049e-04
7,19,2.71534e+08,4.19509e-04
7,20,2.66402e+08,4.17405e-04
7,21,2.31791e+08,3.75118e-04
7,22,2.63207e+08,4.12013e-04
7,23,2.69832e+08,4.14867e-04
7,24,2.81126e+08,4.30104e-04
7,25,2.66528e+08,4.16513e-04
