# per-corner dead-zone verdict and residual charge offset -- 45 corner(s) checked, 0 FAILED; worst linearity ratio 1.1311 at fs/27C/2.97V
# kd_near_a: charge-pump gain at the lock point, [q(+200ps)-q(-200ps)]/400ps (A)
# kd_wide_a: same, measured out at +/-1 ns (A)
# ratio: kd_near / kd_wide -- 1.0 is perfectly linear through zero, a dead zone drives it toward 0.  Acceptance: > 0.5 at every corner.
# wmin_zero_s: smaller of the two UP/DN pulse widths at dphi=0 (s) = PFD reset delay
# q_zero_c: net charge per reference cycle at dphi=0 (C) -- the residual up/down asymmetry the loop must null out
# t_offset_s: static phase offset that nulls it, -q_zero/kd_wide (s)
# verdict: pass iff ratio > 0.5 AND both UP and DN pulse at dphi = 0 -- the dead-zone-freedom criterion, stated per corner rather than folded into the record's overall pass/fail
corner,kd_near_a,kd_wide_a,ratio,wmin_zero_s,q_zero_c,t_offset_s,verdict
typical/-40C/2.97V,7.4488e-06,4.87325e-06,1.5285,1.53386e-09,-1.85359e-16,3.8036e-11,pass
typical/-40C/3.30V,6.52071e-06,5.27574e-06,1.2360,1.40627e-09,-1.43886e-15,2.72731e-10,pass
typical/-40C/3.63V,7.41482e-06,5.12794e-06,1.4460,1.31425e-09,-2.90776e-15,5.67042e-10,pass
typical/27C/2.97V,6.12012e-06,5.15065e-06,1.1882,1.77164e-09,-2.88608e-16,5.60333e-11,pass
typical/27C/3.30V,6.44446e-06,5.20452e-06,1.2382,1.62212e-09,-8.92348e-16,1.71456e-10,pass
typical/27C/3.63V,7.67532e-06,5.21423e-06,1.4720,1.51157e-09,-2.98261e-15,5.72014e-10,pass
typical/125C/2.97V,7.85488e-06,5.26281e-06,1.4925,2.10642e-09,-2.21456e-16,4.20794e-11,pass
typical/125C/3.30V,6.85739e-06,5.4787e-06,1.2516,1.93043e-09,-1.71676e-15,3.13352e-10,pass
typical/125C/3.63V,7.88492e-06,5.24488e-06,1.5034,1.79557e-09,-3.28525e-15,6.26373e-10,pass
ff/-40C/2.97V,7.10109e-06,4.9559e-06,1.4329,1.27255e-09,-1.06816e-15,2.15533e-10,pass
ff/-40C/3.30V,9.08707e-06,5.78455e-06,1.5709,1.18343e-09,-6.89477e-16,1.19193e-10,pass
ff/-40C/3.63V,1.05196e-05,5.06812e-06,2.0756,1.11668e-09,-3.22872e-15,6.37064e-10,pass
ff/27C/2.97V,6.35676e-06,4.93677e-06,1.2876,1.46653e-09,-5.43357e-16,1.10063e-10,pass
ff/27C/3.30V,9.08035e-06,4.99666e-06,1.8173,1.36037e-09,-1.17287e-15,2.34731e-10,pass
ff/27C/3.63V,7.51393e-06,5.19717e-06,1.4458,1.27902e-09,-3.42324e-15,6.58674e-10,pass
ff/125C/2.97V,7.67447e-06,5.29603e-06,1.4491,1.74622e-09,-5.07448e-16,9.58166e-11,pass
ff/125C/3.30V,8.08775e-06,5.54908e-06,1.4575,1.61662e-09,-2.10734e-15,3.79764e-10,pass
ff/125C/3.63V,9.62707e-06,5.21155e-06,1.8473,1.51562e-09,-3.49669e-15,6.7095e-10,pass
ss/-40C/2.97V,6.28205e-06,4.75797e-06,1.3203,1.88737e-09,-1.81711e-16,3.81909e-11,pass
ss/-40C/3.30V,6.05698e-06,5.04313e-06,1.2010,1.70903e-09,-6.36187e-16,1.26149e-10,pass
ss/-40C/3.63V,6.70967e-06,5.11589e-06,1.3115,1.57924e-09,-2.12599e-15,4.15566e-10,pass
ss/27C/2.97V,6.0095e-06,5.13984e-06,1.1692,2.1784e-09,-1.68331e-16,3.27503e-11,pass
ss/27C/3.30V,6.78143e-06,5.32253e-06,1.2741,1.97115e-09,-9.89914e-16,1.85986e-10,pass
ss/27C/3.63V,6.8016e-06,5.28351e-06,1.2873,1.81926e-09,-2.53158e-15,4.79147e-10,pass
ss/125C/2.97V,6.33953e-06,5.27365e-06,1.2021,2.58388e-09,-6.97822e-17,1.32322e-11,pass
ss/125C/3.30V,6.37843e-06,5.47212e-06,1.1656,2.34171e-09,-1.14017e-15,2.0836e-10,pass
ss/125C/3.63V,6.62245e-06,5.46971e-06,1.2107,2.16051e-09,-2.83555e-15,5.1841e-10,pass
fs/-40C/2.97V,6.64041e-06,4.96025e-06,1.3387,1.515e-09,-1.74161e-16,3.51114e-11,pass
fs/-40C/3.30V,7.13074e-06,5.00914e-06,1.4235,1.38545e-09,-5.1213e-16,1.02239e-10,pass
fs/-40C/3.63V,8.15643e-06,5.05883e-06,1.6123,1.29385e-09,-2.43758e-15,4.81846e-10,pass
fs/27C/2.97V,5.59047e-06,4.94231e-06,1.1311,1.7462e-09,-2.78173e-16,5.62841e-11,pass
fs/27C/3.30V,6.4623e-06,4.92575e-06,1.3119,1.59655e-09,-1.05173e-15,2.13517e-10,pass
fs/27C/3.63V,8.17635e-06,5.48608e-06,1.4904,1.48631e-09,-2.80812e-15,5.11862e-10,pass
fs/125C/2.97V,6.82457e-06,5.24515e-06,1.3011,2.07206e-09,-5.84765e-16,1.11487e-10,pass
fs/125C/3.30V,7.73413e-06,5.334e-06,1.4500,1.89645e-09,-1.46326e-15,2.74327e-10,pass
fs/125C/3.63V,6.71137e-06,5.48047e-06,1.2246,1.76254e-09,-2.96922e-15,5.41782e-10,pass
