# net charge per reference cycle and UP/DN pulse width at every (PVT corner, phase offset) point -- the raw evidence the per-corner verdict reduces
# ref period 40 ns (25 MHz, the top of DR-002's ratified 1-25 MHz v1 range)
# vctrl held at 1.65 V; Icp trim code b1b0=10 (3 unit legs)
# dphi_s: FB-relative-to-REF phase offset (s)
# qnet_c: net charge delivered to the control node per reference cycle (C), positive = pump sourcing.  This is the dead-zone-critical quantity.
# width_up_s/width_dn_s: UP/DN pulse width (s) at the per-corner mid-supply crossing, third reference cycle.  Their MINIMUM at dphi = 0 is the PFD reset delay that #11's retiming pulse must be at least as wide as.  An empty cell is an `optional` measurement that did not fire -- i.e. that polarity never crossed mid-supply at all, which the pre-migration runner spelled as a literal 0.
process,temp_c,vdd_v,dphi_s,qnet_c,width_up_s,width_dn_s
typical,-40,2.97,-1n,-5.27759e-15,1.52277e-09,2.54437e-09
typical,-40,2.97,-200p,-1.93838e-15,1.52318e-09,1.74461e-09
typical,-40,2.97,0,-1.85359e-16,1.53386e-09,1.55492e-09
typical,-40,2.97,200p,1.04114e-15,1.6919e-09,1.51184e-09
typical,-40,2.97,1n,4.46891e-15,2.493e-09,1.51274e-09
typical,-40,3.30,-1n,-6.7125e-15,1.39484e-09,2.41623e-09
typical,-40,3.30,-200p,-2.54025e-15,1.39572e-09,1.61687e-09
typical,-40,3.30,0,-1.43886e-15,1.40627e-09,1.42716e-09
typical,-40,3.30,200p,6.80331e-17,1.56976e-09,1.38978e-09
typical,-40,3.30,1n,3.83899e-15,2.37091e-09,1.39042e-09
typical,-40,3.63,-1n,-8.6696e-15,1.30277e-09,2.32446e-09
typical,-40,3.63,-200p,-4.97685e-15,1.30338e-09,1.52525e-09
typical,-40,3.63,0,-2.90776e-15,1.31425e-09,1.33555e-09
typical,-40,3.63,200p,-2.01092e-15,1.48303e-09,1.30294e-09
typical,-40,3.63,1n,1.58629e-15,2.28371e-09,1.30338e-09
typical,27,2.97,-1n,-5.95062e-15,1.75799e-09,2.78568e-09
typical,27,2.97,-200p,-1.99067e-15,1.75843e-09,1.9863e-09
typical,27,2.97,0,-2.88608e-16,1.77164e-09,1.79887e-09
typical,27,2.97,200p,4.57378e-16,1.92045e-09,1.74657e-09
typical,27,2.97,1n,4.35068e-15,2.72188e-09,1.74742e-09
typical,27,3.30,-1n,-7.39654e-15,1.60802e-09,2.63495e-09
typical,27,3.30,-200p,-2.64932e-15,1.60894e-09,1.83633e-09
typical,27,3.30,0,-8.92348e-16,1.62212e-09,1.64867e-09
typical,27,3.30,200p,-7.15362e-17,1.77893e-09,1.60424e-09
typical,27,3.30,1n,3.0125e-15,2.57949e-09,1.60427e-09
typical,27,3.63,-1n,-9.09e-15,1.49688e-09,2.5238e-09
typical,27,3.63,-200p,-5.05463e-15,1.49772e-09,1.7249e-09
typical,27,3.63,0,-2.98261e-15,1.51157e-09,1.53808e-09
typical,27,3.63,200p,-1.9845e-15,1.67239e-09,1.49723e-09
typical,27,3.63,1n,1.33846e-15,2.47442e-09,1.49905e-09
typical,125,2.97,-1n,-6.18194e-15,2.08785e-09,3.1248e-09
typical,125,2.97,-200p,-2.17974e-15,2.08936e-09,2.3266e-09
typical,125,2.97,0,-2.21456e-16,2.10642e-09,2.14279e-09
typical,125,2.97,200p,9.62213e-16,2.24359e-09,2.07856e-09
typical,125,2.97,1n,4.34369e-15,3.04384e-09,2.07827e-09
typical,125,3.30,-1n,-7.83677e-15,1.91193e-09,2.94752e-09
typical,125,3.30,-200p,-3.25085e-15,1.91312e-09,2.14904e-09
typical,125,3.30,0,-1.71676e-15,1.93043e-09,1.96563e-09
typical,125,3.30,200p,-5.07893e-16,2.07635e-09,1.91021e-09
typical,125,3.30,1n,3.12063e-15,2.87722e-09,1.91018e-09
typical,125,3.63,-1n,-9.95203e-15,1.7766e-09,2.81142e-09
typical,125,3.63,-200p,-5.33955e-15,1.77834e-09,2.01315e-09
typical,125,3.63,0,-3.28525e-15,1.79557e-09,1.83015e-09
