# campaign: supply-sensitivity (issue #511)
# question: CAN the band-selection rule keep the loop off the bottom of the
#   control window, where DR-012 Decision 4b measured the criterion is lost?
# sweep: f_out 10-200 MHz in 5 MHz steps x 5 bundles x 3 temperatures x 3 supplies
# band_rule: the lowest band reaching f at all three supplies inside DR-003
#   Decision 5's measured 0.9-2.7 V window
# t_sys_ns: sim/pfd-deadzone's MEASURED open-loop systematic term at that Vctrl,
#   interpolated on its 0.90/1.65/2.40 V grid (record 20260916-051356-8cedbba)
# over_ratified: |t_sys| > the ratified 1 ns Lock criterion, on the SYSTEMATIC
#   term alone -- before mc-cp-mismatch's 0.576 ns statistical term and the
#   0.239 ns divider retiming term are added
# budget_sum_ns / over_budget: DR-012 Decision 4a's summed budget at this point,
#   t_sys + 0.576 statistical + 0.239 retiming, graded against the
#   same ratified 1 ns. A worst-case linear sum, as the budget states it.
# NOTE: t_sys is measured OPEN LOOP at f_ref = 12.5 MHz. A cell at another f_out
#   runs at another f_ref under the Icp trim-code rule; DR-012 measured f_ref
#   moves this term by -6.4 % over a 2:1 change, so it is carried as the
#   operating-point term it is, not as a closed-loop prediction.
# NO SIMULATION WAS RUN. Every column is arithmetic on committed data.
fout_mhz,bundle,temp_c,vdd_v,band_rule,vctrl_rule_v,t_sys_ns,budget_sum_ns,over_ratified,over_budget,note
10,typical,-40,2.97,1,1.562,0.1222,0.9372,no,no,
10,typical,-40,3.30,1,1.813,0.2553,1.0703,no,yes,
10,typical,-40,3.63,1,2.025,0.4268,1.2418,no,yes,
10,typical,27,2.97,1,1.445,0.2756,1.0906,no,yes,
10,typical,27,3.30,1,1.679,0.1850,1.0000,no,yes,
10,typical,27,3.63,1,1.882,0.4548,1.2698,no,yes,
10,typical,125,2.97,1,1.302,0.4896,1.3046,no,yes,
10,typical,125,3.30,1,1.522,0.5002,1.3152,no,yes,
10,typical,125,3.63,1,1.713,0.5437,1.3587,no,yes,
10,ff,-40,2.97,1,1.646,0.1368,0.9518,no,no,
10,ff,-40,3.30,1,1.842,0.2258,1.0408,no,yes,
10,ff,-40,3.63,1,2.024,0.4136,1.2286,no,yes,
10,ff,27,2.97,1,1.527,0.2590,1.0740,no,yes,
10,ff,27,3.30,1,1.732,0.2679,1.0829,no,yes,
10,ff,27,3.63,1,1.905,0.4929,1.3079,no,yes,
10,ff,125,2.97,1,1.401,0.4200,1.2350,no,yes,
10,ff,125,3.30,1,1.592,0.4601,1.2751,no,yes,
10,ff,125,3.63,1,1.754,0.5730,1.3880,no,yes,
10,ss,-40,2.97,1,1.439,0.2249,1.0399,no,yes,
10,ss,-40,3.30,1,1.746,0.1429,0.9579,no,no,
