# setup_margin_s = T_vco - t_arr_s - tsetup_s and hold_margin_s = t_arr_s - thold_s at N=64 (k=6), kf=200 MHz, joined against sim/divider-ratio-dff's per-PVT tsetup_s/thold_s
process,temp_c,vdd_v,t_arr_s,tsetup_s,thold_s,tvco_s,setup_margin_s,hold_margin_s,verdict
ss,125.0,2.97,4.64717e-09,5e-11,1e-10,5e-09,3.0283e-10,4.54717e-09,CLOSES
ff,-40.0,3.63,2.10244e-09,2e-11,1e-10,5e-09,2.87756e-09,2.00244e-09,CLOSES
typical,-40.0,2.97,2.83138e-09,5e-11,1e-10,5e-09,2.11862e-09,2.73138e-09,CLOSES
typical,27.0,2.97,3.22263e-09,5e-11,1e-10,5e-09,1.72737e-09,3.12263e-09,CLOSES
typical,125.0,2.97,3.78029e-09,5e-11,1e-10,5e-09,1.16971e-09,3.68029e-09,CLOSES
ff,-40.0,2.97,2.33857e-09,2e-11,1e-10,5e-09,2.64143e-09,2.23857e-09,CLOSES
ff,27.0,2.97,2.68359e-09,5e-11,1e-10,5e-09,2.26641e-09,2.58359e-09,CLOSES
ff,125.0,2.97,3.13392e-09,5e-11,1e-10,5e-09,1.81608e-09,3.03392e-09,CLOSES
ss,-40.0,2.97,3.46043e-09,5e-11,1e-10,5e-09,1.48957e-09,3.36043e-09,CLOSES
ss,27.0,2.97,3.95276e-09,5e-11,1e-10,5e-09,9.9724e-10,3.85276e-09,CLOSES
fs,-40.0,2.97,2.85546e-09,5e-11,1e-10,5e-09,2.09454e-09,2.75546e-09,CLOSES
fs,27.0,2.97,3.25125e-09,5e-11,1e-10,5e-09,1.69875e-09,3.15125e-09,CLOSES
fs,125.0,2.97,3.79991e-09,5e-11,1e-10,5e-09,1.15009e-09,3.69991e-09,CLOSES
sf,-40.0,2.97,2.84021e-09,2e-11,1e-10,5e-09,2.13979e-09,2.74021e-09,CLOSES
sf,27.0,2.97,3.2271e-09,2e-11,1e-10,5e-09,1.7529e-09,3.1271e-09,CLOSES
sf,125.0,2.97,3.78762e-09,5e-11,1e-10,5e-09,1.16238e-09,3.68762e-09,CLOSES
typical,27.0,3.3,2.97655e-09,5e-11,1e-10,5e-09,1.97345e-09,2.87655e-09,CLOSES
