# campaign: vco-tuning-range (stage count)
# record_id: 20260731-100719-07f4b7b
# generated_utc: 2026-07-31T10:07:23Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-100719-07f4b7b.spice
# corners: 3 PVT points x band{0..7} x vctrl{0.9,2.7}V x stage-count{3,5,7} = 144 points
# deck: tb_vco_stages.sp -- 3-, 5- and 7-stage rings in one deck, same
#   vco_stage cell, same vco_bias instance topology, same band code, same
#   control voltage, same corner. Each ring has its own supply ammeter.
# fosc_hz: measured on a ring node over 4 whole cycles after tsettle (no output
#   buffer: the buffer is common to all three counts and only adds a constant).
# swing_hi_v/swing_lo_v: max/min of that ring node in the measurement window --
#   a starved ring that has lost swing is not a usable oscillator.
# fosc_hz = 0 means the ring DID NOT OSCILLATE at that point: the node was
#   static across the whole measurement window (swing_hi == swing_lo) despite an
#   identical start-up kick that dislodged the other counts. That is a measured
#   outcome, not a missing measurement.
bundle,temp_c,vdd_v,band,vctrl_v,nstage,fosc_hz,isupply_a,swing_hi_v,swing_lo_v
all-fast,125,2.97,0,0.9,3,1.1412e+07,7.88297e-05,2.883,0.006865
all-fast,125,2.97,0,0.9,5,6633290,7.87379e-05,2.982,-0.008868
all-fast,125,2.97,0,0.9,7,4739470,7.87349e-05,2.981,-0.007972
all-fast,125,2.97,0,2.7,3,2.58558e+07,0.00012281,2.862,0.00929
all-fast,125,2.97,0,2.7,5,1.48738e+07,0.000122564,2.985,-0.01081
all-fast,125,2.97,0,2.7,7,1.06221e+07,0.00012255,2.985,-0.01093
all-fast,125,2.97,1,0.9,3,1.87216e+07,9.15649e-05,2.869,0.008059
all-fast,125,2.97,1,0.9,5,1.08212e+07,9.14123e-05,2.983,-0.01002
all-fast,125,2.97,1,0.9,7,7729610,9.14033e-05,2.984,-0.0101
all-fast,125,2.97,1,2.7,3,4.30972e+07,0.000150978,2.849,0.01229
all-fast,125,2.97,1,2.7,5,2.45556e+07,0.000150505,2.987,-0.01202
all-fast,125,2.97,1,2.7,7,1.75292e+07,0.000150484,2.987,-0.0116
all-fast,125,2.97,2,0.9,3,3.15098e+07,0.00010115,2.858,0.01028
all-fast,125,2.97,2,0.9,5,1.80638e+07,0.000100831,2.985,-0.01123
all-fast,125,2.97,2,0.9,7,1.28981e+07,0.000100811,2.986,-0.01137
all-fast,125,2.97,2,2.7,3,7.43042e+07,0.000171499,2.828,0.0184
all-fast,125,2.97,2,2.7,5,4.17655e+07,0.000170656,2.99,-0.01318
