corner,temp_c,vdd,op,d,corner_id,lock_pre,vwin_pre,lock_min,vwin_min,lock_post,t_deassert,t_reassert,phi_pre,phi_early,tup_r,tup_f,tdn_r,tdn_f,tref_span,tclk20,fout,tfb5,ffb,nmeas,ferr_fb,vctrl_pre,dn_lvl,delta_s,delta_meas,delta_err,skew_pw,phi_drift,deasserted,vwin_drop,dip_ns,deassert_lat_ns,verdict
typical,27.0,3.3,c7v2p168,d0000,typical_27c_3.30v_c7v2p168_d0000,3.3,3.28655,3.3,3.28796,3.3,not measured,not measured,1.32666e-10,1.43466e-10,5.80049e-06,5.80242e-06,5.80059e-06,5.80241e-06,8e-08,1.99988e-07,100006000.0,3.99994e-07,12500200.0,8.00035,1.54826e-05,2.16171,0.0745855,0.0,0.0,0.0,1.1000000000007179e-10,-1.0799999999999978e-11,0.0,-0.0014099999999999113,not measured,not measured,PASS
typical,27.0,3.3,c7v2p168,dp2000,typical_27c_3.30v_c7v2p168_dp2000,3.3,3.28649,3.29974,1.88098,3.3,not measured,not measured,1.04995e-10,1.10415e-10,5.8005e-06,5.80239e-06,5.80056e-06,5.80237e-06,8.2e-08,2e-07,99999900.0,3.99992e-07,12500200.0,7.99984,1.95183e-05,2.16165,0.0745826,2e-09,2.0000000000000047e-09,4.549493369041652e-24,7.99999999996672e-11,-5.4200000000000056e-12,0.0,1.40551,not measured,not measured,PASS
typical,27.0,3.3,c7v2p168,dm2000,typical_27c_3.30v_c7v2p168_dm2000,3.3,3.28645,3.29971,1.39626,3.3,not measured,not measured,1.28685e-10,1.35274e-10,5.80049e-06,5.80242e-06,5.80059e-06,5.80241e-06,7.8e-08,2.00024e-07,99988100.0,3.99997e-07,12500100.0,7.99899,7.05161e-06,2.1617,0.0747818,-2e-09,-2.0000000000000047e-09,-4.549493369041652e-24,1.1000000000007179e-10,-6.5889999999999914e-12,0.0,1.8901899999999998,not measured,not measured,PASS
typical,27.0,3.3,c7v2p168,dp2400,typical_27c_3.30v_c7v2p168_dp2400,3.3,3.28642,-0.117577,0.636792,1.32217,6.12312e-06,7.16598e-06,9.21632e-11,9.38975e-11,5.8005e-06,5.8024e-06,5.80055e-06,5.80238e-06,8.24e-08,2.00001e-07,99999500.0,4e-07,12500000.0,7.99997,-4.14958e-07,2.16172,0.0753715,2.4e-09,2.399999999999995e-09,-4.963083675318166e-24,6.999999999981468e-11,-1.734300000000004e-12,1.0,2.649628,1042.8599999999994,163.12000000000074,PASS
typical,27.0,3.3,c7v2p168,dm2400,typical_27c_3.30v_c7v2p168_dm2400,3.3,3.28623,-0.06572,0.174284,0.876467,6.04112e-06,7.31898e-06,1.40666e-10,1.44063e-10,5.80049e-06,5.80243e-06,5.8006e-06,5.80241e-06,7.76e-08,1.99997e-07,100001000.0,3.99997e-07,12500100.0,8.00005,6.49439e-06,2.16181,0.0745772,-2.4e-09,-2.4000000000000083e-09,-8.271806125530277e-24,1.2999999999977683e-10,-3.3969999999999832e-12,1.0,3.111946,1277.86,81.1200000000005,PASS
typical,27.0,3.3,c7v2p168,dp2800,typical_27c_3.30v_c7v2p168_dp2800,3.3,3.28645,-0.0882264,0.0271187,0.822277,6.04345e-06,7.34989e-06,1.24026e-10,1.33509e-10,5.80049e-06,5.80241e-06,5.80058e-06,5.8024e-06,8.28e-08,1.99992e-07,100004000.0,3.99997e-07,12500100.0,8.00025,6.55087e-06,2.16171,0.0747603,2.8e-09,2.7999999999999986e-09,-1.2407709188295415e-24,1.000000000010663e-10,-9.483000000000002e-12,1.0,3.2593313,1306.44,83.45000000000002,PASS
typical,27.0,3.3,c7v2p168,dm2800,typical_27c_3.30v_c7v2p168_dm2800,3.3,3.28513,-0.0135541,0.000861613,0.697781,6.04026e-06,7.41234e-06,1.40694e-10,1.41953e-10,5.80049e-06,5.80243e-06,5.8006e-06,5.80241e-06,7.72e-08,1.99996e-07,100002000.0,4e-07,12500000.0,8.00017,-2.42255e-07,2.1618,0.074559,-2.8e-09,-2.7999999999999986e-09,1.2407709188295415e-24,1.2999999999977683e-10,-1.2590000000000212e-12,1.0,3.284268387,1372.0800000000002,80.26000000000049,PASS
ff,27.0,3.3,c11v2p295,d0000,ff_27c_3.30v_c11v2p295_d0000,5.65778e-09,0.222515,-0.000224164,0.0640218,5.86124e-09,not measured,not measured,7.82398e-08,7.80793e-08,5.80045e-06,5.80199e-06,5.87865e-06,5.80197e-06,8e-08,2.00097e-07,99951500.0,4.00048e-07,12498500.0,7.99708,-0.00011974,2.29445,0.140091,0.0,0.0,0.0,7.822000000000007e-08,1.604999999999967e-10,1.0,0.1584932,not measured,not measured,FAIL — lock_pre min=3.2 (got 5.657780e-09)
ff,27.0,3.3,c11v2p295,dp2000,ff_27c_3.30v_c11v2p295_dp2000,6.33065e-09,0.211316,-0.000209736,-0.0207843,5.70352e-09,not measured,not measured,7.82191e-08,7.80372e-08,5.80045e-06,5.80198e-06,5.87862e-06,5.80196e-06,8.2e-08,2.00064e-07,99968300.0,4.00084e-07,12497400.0,7.99915,-0.000210968,2.29452,0.141998,2e-09,2.0000000000000047e-09,4.549493369041652e-24,7.818999999999967e-08,1.8190000000000244e-10,1.0,0.2321003,not measured,not measured,FAIL — lock_pre min=3.2 (got 6.330650e-09)
ff,27.0,3.3,c11v2p295,dm2000,ff_27c_3.30v_c11v2p295_dm2000,5.77288e-09,0.224742,-0.0301892,0.392698,1.07524,7.39938e-06,6.83243e-06,7.82575e-08,7.80659e-08,5.80045e-06,5.80199e-06,5.87866e-06,5.80198e-06,7.8e-08,2.00061e-07,99969500.0,4.0009e-07,12497200.0,7.99937,-0.000226007,2.29455,0.140264,-2e-09,-2.0000000000000047e-09,-4.549493369041652e-24,7.822000000000007e-08,1.9159999999999756e-10,1.0,-0.167956,not measured,1439.3800000000003,FAIL — lock_pre min=3.2 (got 5.772880e-09)
