# per (PVT corner, control voltage): steady-state current, delivered charge, effective pulse width and edge delays for both polarities
# Both polarities driven from the SAME control edge, one instance each, at the nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
typical,-40,2.97,0.9,5.13079e-06,-5.13785e-06,2.1748e-14,-2.35613e-14,4.23873e-09,4.58583e-09,-3.47097e-10,-9.99644e-11,8.15155e-11,-9.99304e-11,2.87655e-11
typical,-40,2.97,1.65,5.11207e-06,-5.02244e-06,2.18897e-14,-2.24287e-14,4.28195e-09,4.46569e-09,-1.8374e-10,-9.99878e-11,4.09887e-12,-9.9935e-11,2.1972e-11
typical,-40,2.97,2.4,5.33547e-06,-5.01405e-06,2.27968e-14,-2.32004e-14,4.27269e-09,4.62708e-09,-3.54382e-10,-9.99854e-11,2.81056e-11,-9.9927e-11,2.3572e-11
typical,-40,3.30,0.9,5.13995e-06,-5.14718e-06,2.17847e-14,-2.39293e-14,4.23831e-09,4.64901e-09,-4.10699e-10,-9.99673e-11,7.40979e-11,-9.99382e-11,2.52529e-11
typical,-40,3.30,1.65,5.13707e-06,-5.01702e-06,2.2037e-14,-2.2309e-14,4.28979e-09,4.44666e-09,-1.56869e-10,-9.99889e-11,-2.04497e-12,-9.99406e-11,1.99346e-11
typical,-40,3.30,2.4,5.1837e-06,-5.00451e-06,2.13938e-14,-2.24109e-14,4.12712e-09,4.47815e-09,-3.51028e-10,-9.99883e-11,2.3377e-11,-9.99451e-11,1.75734e-11
typical,-40,3.63,0.9,5.14867e-06,-5.15655e-06,2.18247e-14,-2.431e-14,4.23889e-09,4.71439e-09,-4.75501e-10,-9.997e-11,6.88975e-11,-9.99448e-11,2.42202e-11
typical,-40,3.63,1.65,5.15775e-06,-5.01986e-06,2.21455e-14,-2.28619e-14,4.29364e-09,4.5543e-09,-2.60658e-10,-9.99899e-11,-5.90324e-12,-9.9945e-11,1.89776e-11
typical,-40,3.63,2.4,5.08475e-06,-5.07098e-06,2.06242e-14,-2.26256e-14,4.05609e-09,4.46178e-09,-4.05695e-10,-9.99902e-11,-1.37091e-11,-9.9952e-11,1.39116e-11
typical,27,2.97,0.9,5.03626e-06,-5.21995e-06,2.16167e-14,-2.40971e-14,4.29221e-09,4.61635e-09,-3.24139e-10,-9.99684e-11,9.54269e-11,-9.99303e-11,3.19577e-11
typical,27,2.97,1.65,4.9709e-06,-5.11339e-06,2.16968e-14,-2.29667e-14,4.36476e-09,4.49149e-09,-1.26731e-10,-9.99879e-11,1.13925e-11,-9.99348e-11,2.49134e-11
typical,27,2.97,2.4,5.31315e-06,-5.22257e-06,2.27256e-14,-2.39239e-14,4.27724e-09,4.58087e-09,-3.0363e-10,-9.99855e-11,3.42904e-11,-9.99302e-11,2.52463e-11
