# campaign: supply-sensitivity
# record_id: 20260901-155456-46b92f8
# generated_utc: 2026-09-01T15:54:59Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pll_top.sch -> sim/supply-sensitivity/netlist-snapshots/20260901-155456-46b92f8.spice
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points at f_out=100e6 Hz, plus 9 points at f_out=50e6 Hz (typical bundle) for the quiescent/dynamic power split
# dut: design/pll_top.sch (#52) -- pfd_cp (#9, post-#24 cp_dumpbuf) +
#   loop_filter (#10) + vco (#8) + divider_chain + lock_detector (#11)
# band/vctrl0: derived from #8's committed f(Vctrl) table,
#   sim/vco-tuning-range/corners/20260731-175947-0a12e6c/vco_tuning.csv
# fdev_ppm: (f_out - f_out at 3.30 V, same bundle/temp) / f_out(3.30 V), ppm
# phi_b_s: static REF->FB phase error in the late window, seconds
# skew_s: mean UP/DN pulse-WIDTH difference over 3 probes, seconds
# p_tot_w: vdd * (|i_core| + |i_vco| + |i_div|)
# tstop/tmax: the transient length and internal-timestep ceiling THIS
#   row was run at -- per row, not per grid: see the settling escalation
#   and the timestep-ceiling cross-check in run.sh
bundle,temp_c,vdd_v,band,fout_hz,fdev_ppm,ferr,phi_b_s,skew_s,skew_spread_s,wup_s,wdn_s,nmeas,vctrl_avg_v,vctrl_min_v,vctrl_max_v,lock_lvl_v,i_core_a,i_vco_a,i_div_a,p_tot_w,verdict,tstop,tmax
ff,-40,2.97,6,1.00003e+08,-10,1.696e-05,6.87674e-10,6.74747e-10,9.623e-12,2.10042e-09,1.4195e-09,7.99993,1.133,1.129,1.135,2.97,-8.13524e-05,-0.000177776,-0.000108464,0.00109175,PASS,12.0u,100p
ff,-40,3.30,6,1.00004e+08,0,1.794e-05,8.4717e-10,8.29004e-10,7.359e-12,2.14751e-09,1.31411e-09,8.00003,1.354,1.35,1.356,3.3,-8.60412e-05,-0.000212485,-0.000124627,0.00139641,PASS,12.0u,100p
ff,-40,3.63,6,1e+08,-40,4.709e-06,8.07183e-10,7.93533e-10,2.537e-12,2.02523e-09,1.23265e-09,8.00007,1.549,1.544,1.551,3.63,-9.03915e-05,-0.000247795,-0.000141483,0.0017412,PASS,12.0u,100p
ff,27,2.97,6,9.9989e+07,-4,-7.254e-05,-4.84325e-11,-6.04455e-11,3.77484e-11,1.64069e-09,1.7124e-09,7.99984,1.011,1.006,1.013,2.97,-7.3193e-05,-0.000189305,-0.000111693,0.00111135,PASS,12.0u,100p
ff,27,3.30,6,9.99894e+07,0,-5.884e-05,-1.95295e-11,-1.80466e-11,5.66511e-11,1.53259e-09,1.57689e-09,8.00037,1.215,1.21,1.218,3.3,-7.61912e-05,-0.000223652,-0.000128114,0.00141226,PASS,12.0u,100p
ff,27,3.63,6,9.99992e+07,98.01,3.653e-06,1.22718e-09,1.20563e-09,5.64e-12,2.61243e-09,1.40304e-09,8.00002,1.396,1.392,1.4,6.948e-09,-9.66986e-05,-0.000258433,-0.000144252,0.00181276,FAIL:lock,12.0u,100p
ff,125,2.97,5,1.00009e+08,-20,0.0001177,8.10036e-10,7.71643e-10,2.4756e-11,2.71677e-09,1.93079e-09,8.00004,1.733,1.731,1.735,2.97,-9.69457e-05,-0.000224719,-0.000117591,0.00130459,PASS,12.0u,100p
ff,125,3.30,5,1.00011e+08,0,0.0001489,1.05723e-09,1.01223e-09,3.9782e-11,2.80294e-09,1.77223e-09,7.99991,2.023,2.021,2.027,3.3,-0.000117647,-0.00026091,-0.000133748,0.00169061,PASS,12.0u,100p
ff,125,3.63,5,1.00015e+08,40,0.0002255,1.79619e-09,1.72892e-09,7.403e-11,3.40968e-09,1.63961e-09,7.99965,2.291,2.289,2.295,5.564e-07,-9.67574e-05,-0.00029805,-0.000150582,0.00197976,FAIL:phi,12.0u,100p
fs,-40,2.97,6,1.00004e+08,40,7.675e-06,8.37556e-10,8.34999e-10,6.856e-12,2.50298e-09,1.67069e-09,7.99987,0.9826,0.9778,0.9846,2.97,-8.02839e-05,-0.000154289,-0.000104705,0.00100766,PASS,12.0u,100p
