# campaign: mc-cp-mismatch (dff clk->Q)
# record_id: 20260817-135712-0e9cfc9
# generated_utc: 2026-08-17T13:57:12Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/dff_tg_3v3.sch (committed netlist)
# corners: 3 corners, N=10 mismatch samples/corner x 2 (rise+fall)
corner,seed,tcq_r_s,tcq_f_s
ff_-40c_3.63v,1,1.65980e-10,1.44728e-10
ff_-40c_3.63v,2,1.66692e-10,1.44157e-10
ff_-40c_3.63v,3,1.64793e-10,1.45030e-10
ff_-40c_3.63v,4,1.64409e-10,1.43970e-10
ff_-40c_3.63v,5,1.63913e-10,1.45021e-10
ff_-40c_3.63v,6,1.63969e-10,1.43001e-10
ff_-40c_3.63v,7,1.65553e-10,1.44996e-10
ff_-40c_3.63v,8,1.65084e-10,1.43569e-10
ff_-40c_3.63v,9,1.64876e-10,1.44145e-10
ff_-40c_3.63v,10,1.65622e-10,1.43869e-10
ss_125c_2.97v,1,3.73460e-10,3.19688e-10
ss_125c_2.97v,2,3.75402e-10,3.18604e-10
ss_125c_2.97v,3,3.70784e-10,3.20521e-10
ss_125c_2.97v,4,3.68735e-10,3.17398e-10
ss_125c_2.97v,5,3.67572e-10,3.20159e-10
ss_125c_2.97v,6,3.68202e-10,3.13603e-10
ss_125c_2.97v,7,3.72189e-10,3.20551e-10
ss_125c_2.97v,8,3.71077e-10,3.15818e-10
ss_125c_2.97v,9,3.69963e-10,3.18360e-10
ss_125c_2.97v,10,3.72407e-10,3.16664e-10
typical_27c_3.30v,1,2.37496e-10,2.04972e-10
typical_27c_3.30v,2,2.38578e-10,2.04203e-10
typical_27c_3.30v,3,2.35818e-10,2.05420e-10
typical_27c_3.30v,4,2.34861e-10,2.03677e-10
typical_27c_3.30v,5,2.34174e-10,2.05303e-10
typical_27c_3.30v,6,2.34398e-10,2.01810e-10
typical_27c_3.30v,7,2.36780e-10,2.05394e-10
typical_27c_3.30v,8,2.36070e-10,2.02900e-10
typical_27c_3.30v,9,2.35600e-10,2.04119e-10
typical_27c_3.30v,10,2.36874e-10,2.03434e-10
