# net charge per reference cycle and UP/DN pulse width at every (PVT corner, control voltage, phase offset) point -- the raw evidence the static-offset table reduces
# ref period 80 ns (12.5 MHz) -- sim/supply-sensitivity's own reference (100 MHz / N=8), NOT the parent manifest's 25 MHz
# Icp trim code b1b0=10 (3 unit legs), the nominal setting and the one sim/supply-sensitivity runs its closed loop at
# vctrl_v: control-node voltage, held by an ideal source (open loop)
# dphi_s: FB-relative-to-REF phase offset (s)
# qnet_c: net charge delivered to the control node per reference cycle (C), positive = pump sourcing
# width_up_s/width_dn_s: UP/DN pulse width (s) at the per-corner mid-supply crossing, third reference cycle. An empty cell is an `optional` measurement that did not fire -- that polarity never crossed mid-supply.
process,temp_c,vdd_v,vctrl_v,dphi_s,qnet_c,width_up_s,width_dn_s
ff,-40,2.97,0.90,-1n,-1.02617e-14,1.26315e-09,2.28389e-09
ff,-40,2.97,0.90,0,-4.50028e-15,1.27894e-09,1.29919e-09
ff,-40,2.97,0.90,1n,-1.38667e-15,2.25507e-09,1.27391e-09
ff,-40,2.97,1.65,-1n,-5.57285e-15,1.26356e-09,2.28797e-09
ff,-40,2.97,1.65,0,-6.45508e-16,1.27256e-09,1.29623e-09
ff,-40,2.97,1.65,1n,4.21574e-15,2.23432e-09,1.25678e-09
ff,-40,2.97,2.40,-1n,-6.41289e-15,1.27174e-09,2.29863e-09
ff,-40,2.97,2.40,0,-2.4669e-15,1.27756e-09,1.30434e-09
ff,-40,2.97,2.40,1n,2.22427e-15,2.2227e-09,1.24797e-09
ff,-40,3.30,0.90,-1n,-1.22843e-14,1.17355e-09,2.19314e-09
ff,-40,3.30,0.90,0,-6.15808e-15,1.18938e-09,1.20813e-09
ff,-40,3.30,0.90,1n,-3.77842e-15,2.16796e-09,1.18525e-09
ff,-40,3.30,1.65,-1n,-7.62787e-15,1.17384e-09,2.19736e-09
ff,-40,3.30,1.65,0,-9.64324e-16,1.18345e-09,1.20659e-09
ff,-40,3.30,1.65,1n,3.22652e-15,2.14992e-09,1.17152e-09
ff,-40,3.30,2.40,-1n,-6.37093e-15,1.17559e-09,2.20326e-09
ff,-40,3.30,2.40,0,-1.82245e-15,1.18181e-09,1.20898e-09
ff,-40,3.30,2.40,1n,3.59372e-15,2.13408e-09,1.15986e-09
ff,-40,3.63,0.90,-1n,-1.44115e-14,1.10646e-09,2.12421e-09
ff,-40,3.63,0.90,0,-7.68494e-15,1.12234e-09,1.1396e-09
ff,-40,3.63,0.90,1n,-6.1598e-15,2.10282e-09,1.11828e-09
ff,-40,3.63,1.65,-1n,-9.66457e-15,1.1063e-09,2.12956e-09
ff,-40,3.63,1.65,0,-3.07224e-15,1.11668e-09,1.1396e-09
ff,-40,3.63,1.65,1n,3.29438e-16,2.08698e-09,1.10823e-09
ff,-40,3.63,2.40,-1n,-6.11605e-15,1.10685e-09,2.13442e-09
ff,-40,3.63,2.40,0,-1.05988e-15,1.11328e-09,1.14055e-09
