# static phase offset at the PFD inputs that nulls the pump's residual charge -- 135 (corner, control voltage) cell(s); largest magnitude 1.8732 ns at ff/125C/3.63V @ Vctrl=0.90 V
# kd_wide_a: detector gain well outside the reset window, [q(+1ns)-q(-1ns)]/2ns (A)
# q_zero_c: net charge per reference cycle at dphi = 0 (C) -- the residual up/down asymmetry the loop must null
# t_offset_s: the static phase offset that nulls it, -q_zero/kd_wide (s). This is the quantity spec/pll.md's static phase-offset budget calls the SYSTEMATIC term, measured here at the closed loop's own reference frequency and across DR-001 Decision 2's ratified control window.
# t_offset_abs_ns: |t_offset| in ns, for direct comparison against spec/pll.md's ratified 1 ns Lock criterion
# No dead-zone verdict column: this manifest does not sweep the near pair that criterion differences across, so it neither computes nor claims one (the parent manifest does, at all 45 corners).
corner,vctrl_v,kd_wide_a,q_zero_c,t_offset_s,t_offset_abs_ns
ff/-40C/2.97V,0.90,4.43752e-06,-4.50028e-15,1.01414e-09,1.0141
ff/-40C/2.97V,1.65,4.89429e-06,-6.45508e-16,1.3189e-10,0.1319
ff/-40C/2.97V,2.40,4.31858e-06,-2.4669e-15,5.71229e-10,0.5712
ff/-40C/3.30V,0.90,4.25294e-06,-6.15808e-15,1.44796e-09,1.4480
ff/-40C/3.30V,1.65,5.42719e-06,-9.64324e-16,1.77684e-10,0.1777
ff/-40C/3.30V,2.40,4.98233e-06,-1.82245e-15,3.65783e-10,0.3658
ff/-40C/3.63V,0.90,4.12585e-06,-7.68494e-15,1.86263e-09,1.8626
ff/-40C/3.63V,1.65,4.997e-06,-3.07224e-15,6.14816e-10,0.6148
ff/-40C/3.63V,2.40,5.02045e-06,-1.05988e-15,2.11113e-10,0.2111
ff/125C/2.97V,0.90,4.85746e-06,-5.23929e-15,1.07861e-09,1.0786
ff/125C/2.97V,1.65,5.28806e-06,-4.88369e-16,9.23531e-11,0.0924
ff/125C/2.97V,2.40,4.75745e-06,-2.9732e-15,6.24957e-10,0.6250
ff/125C/3.30V,0.90,4.69859e-06,-6.95491e-15,1.48021e-09,1.4802
ff/125C/3.30V,1.65,5.62654e-06,-2.10805e-15,3.74662e-10,0.3747
ff/125C/3.30V,2.40,5.34672e-06,-2.33994e-15,4.3764e-10,0.4376
ff/125C/3.63V,0.90,4.58877e-06,-8.59561e-15,1.87318e-09,1.8732
ff/125C/3.63V,1.65,5.23844e-06,-3.29003e-15,6.28055e-10,0.6281
ff/125C/3.63V,2.40,5.48018e-06,-1.27046e-15,2.31828e-10,0.2318
ff/27C/2.97V,0.90,4.72829e-06,-4.9535e-15,1.04763e-09,1.0476
ff/27C/2.97V,1.65,5.01557e-06,-5.23114e-16,1.04298e-10,0.1043
ff/27C/2.97V,2.40,4.3647e-06,-2.8232e-15,6.46825e-10,0.6468
ff/27C/3.30V,0.90,4.47712e-06,-6.49295e-15,1.45025e-09,1.4503
ff/27C/3.30V,1.65,5.19036e-06,-1.32501e-15,2.55283e-10,0.2553
ff/27C/3.30V,2.40,5.18916e-06,-1.92568e-15,3.71097e-10,0.3711
ff/27C/3.63V,0.90,4.47467e-06,-8.1568e-15,1.82288e-09,1.8229
ff/27C/3.63V,1.65,5.1972e-06,-3.41458e-15,6.57003e-10,0.6570
ff/27C/3.63V,2.40,5.26978e-06,-9.22054e-16,1.7497e-10,0.1750
fs/-40C/2.97V,0.90,4.57436e-06,-4.10159e-15,8.96648e-10,0.8966
fs/-40C/2.97V,1.65,4.94461e-06,-2.13686e-16,4.32159e-11,0.0432
fs/-40C/2.97V,2.40,4.67502e-06,-2.15901e-15,4.61818e-10,0.4618
fs/-40C/3.30V,0.90,4.18917e-06,-6.07439e-15,1.45002e-09,1.4500
fs/-40C/3.30V,1.65,4.82622e-06,-4.48835e-16,9.29992e-11,0.0930
fs/-40C/3.30V,2.40,4.81403e-06,-1.89901e-15,3.94474e-10,0.3945
fs/-40C/3.63V,0.90,4.3478e-06,-7.75478e-15,1.78361e-09,1.7836
fs/-40C/3.63V,1.65,5.11719e-06,-2.41121e-15,4.71198e-10,0.4712
fs/-40C/3.63V,2.40,4.79702e-06,-8.54277e-16,1.78085e-10,0.1781
fs/125C/2.97V,0.90,4.81706e-06,-5.06717e-15,1.05192e-09,1.0519
fs/125C/2.97V,1.65,5.25472e-06,-5.82952e-16,1.10939e-10,0.1109
fs/125C/2.97V,2.40,4.90876e-06,-2.82367e-15,5.7523e-10,0.5752
fs/125C/3.30V,0.90,4.58054e-06,-6.56483e-15,1.4332e-09,1.4332
fs/125C/3.30V,1.65,5.29641e-06,-1.36133e-15,2.57029e-10,0.2570
fs/125C/3.30V,2.40,5.34514e-06,-1.96386e-15,3.67411e-10,0.3674
fs/125C/3.63V,0.90,4.64865e-06,-8.30236e-15,1.78597e-09,1.7860
fs/125C/3.63V,1.65,5.59409e-06,-3.07943e-15,5.5048e-10,0.5505
fs/125C/3.63V,2.40,5.37295e-06,-1.32718e-15,2.47011e-10,0.2470
fs/27C/2.97V,0.90,4.6329e-06,-4.48174e-15,9.67371e-10,0.9674
fs/27C/2.97V,1.65,5.02992e-06,-2.42946e-16,4.83001e-11,0.0483
fs/27C/2.97V,2.40,4.70864e-06,-2.56248e-15,5.44208e-10,0.5442
fs/27C/3.30V,0.90,4.57256e-06,-6.27192e-15,1.37164e-09,1.3716
fs/27C/3.30V,1.65,5.15885e-06,-1.00334e-15,1.94489e-10,0.1945
fs/27C/3.30V,2.40,5.12679e-06,-1.83149e-15,3.57239e-10,0.3572
fs/27C/3.63V,0.90,4.56536e-06,-7.85903e-15,1.72145e-09,1.7214
