corner,temp_c,vdd,vc,d,corner_id,qnet2,qnet,width_up,width_dn,q_zero,verdict
typical,-40.0,2.97,v0p90,d-1n,typical_-40c_2.97v_v0p90_d-1n,-1.93449e-14,-9.67243e-15,1.52141e-09,2.54399e-09,not measured,PASS
typical,-40.0,2.97,v0p90,d0,typical_-40c_2.97v_v0p90_d0,-8.2545e-15,-4.12725e-15,1.53869e-09,1.56063e-09,-4.12725e-15,PASS
typical,-40.0,2.97,v0p90,d1n,typical_-40c_2.97v_v0p90_d1n,-1.458e-15,-7.28998e-16,2.51189e-09,1.53235e-09,not measured,PASS
typical,-40.0,2.97,v1p65,d-1n,typical_-40c_2.97v_v1p65_d-1n,-1.08735e-14,-5.43677e-15,1.52277e-09,2.54438e-09,not measured,PASS
typical,-40.0,2.97,v1p65,d0,typical_-40c_2.97v_v1p65_d0,-1.57987e-16,-7.89936e-17,1.53387e-09,1.55492e-09,-7.89936e-17,PASS
typical,-40.0,2.97,v1p65,d1n,typical_-40c_2.97v_v1p65_d1n,9.02404e-15,4.51202e-15,2.493e-09,1.51274e-09,not measured,PASS
typical,-40.0,2.97,v2p40,d-1n,typical_-40c_2.97v_v2p40_d-1n,-1.28199e-14,-6.40997e-15,1.52729e-09,2.56017e-09,not measured,PASS
typical,-40.0,2.97,v2p40,d0,typical_-40c_2.97v_v2p40_d0,-3.73495e-15,-1.86748e-15,1.53451e-09,1.56728e-09,-1.86748e-15,PASS
typical,-40.0,2.97,v2p40,d1n,typical_-40c_2.97v_v2p40_d1n,5.36515e-15,2.68258e-15,2.47345e-09,1.50469e-09,not measured,PASS
typical,-40.0,3.3,v0p90,d-1n,typical_-40c_3.30v_v0p90_d-1n,-2.43745e-14,-1.21872e-14,1.39486e-09,2.41681e-09,not measured,PASS
typical,-40.0,3.3,v0p90,d0,typical_-40c_3.30v_v0p90_d0,-1.20956e-14,-6.04778e-15,1.41083e-09,1.43229e-09,-6.04778e-15,PASS
typical,-40.0,3.3,v0p90,d1n,typical_-40c_3.30v_v0p90_d1n,-6.64357e-15,-3.32179e-15,2.38766e-09,1.40747e-09,not measured,PASS
typical,-40.0,3.3,v1p65,d-1n,typical_-40c_3.30v_v1p65_d-1n,-1.40463e-14,-7.02315e-15,1.39484e-09,2.41623e-09,not measured,PASS
typical,-40.0,3.3,v1p65,d0,typical_-40c_3.30v_v1p65_d0,-2.66841e-15,-1.3342e-15,1.40627e-09,1.42715e-09,-1.3342e-15,PASS
typical,-40.0,3.3,v1p65,d1n,typical_-40c_3.30v_v1p65_d1n,7.77431e-15,3.88716e-15,2.37096e-09,1.39047e-09,not measured,PASS
typical,-40.0,3.3,v2p40,d-1n,typical_-40c_3.30v_v2p40_d-1n,-1.17881e-14,-5.89404e-15,1.39549e-09,2.42537e-09,not measured,PASS
typical,-40.0,3.3,v2p40,d0,typical_-40c_3.30v_v2p40_d0,-2.81179e-15,-1.40589e-15,1.40198e-09,1.43143e-09,-1.40589e-15,PASS
typical,-40.0,3.3,v2p40,d1n,typical_-40c_3.30v_v2p40_d1n,7.36105e-15,3.68053e-15,2.35027e-09,1.3779e-09,not measured,PASS
typical,-40.0,3.63,v0p90,d-1n,typical_-40c_3.63v_v0p90_d-1n,-2.79299e-14,-1.39649e-14,1.30218e-09,2.32286e-09,not measured,PASS
typical,-40.0,3.63,v0p90,d0,typical_-40c_3.63v_v0p90_d0,-1.54538e-14,-7.7269e-15,1.32014e-09,1.34028e-09,-7.7269e-15,PASS
typical,-40.0,3.63,v0p90,d1n,typical_-40c_3.63v_v0p90_d1n,-9.87207e-15,-4.93604e-15,2.29864e-09,1.31708e-09,not measured,PASS
