# campaign: vco-tuning-range
# record_id: 20260731-175947-0a12e6c
# generated_utc: 2026-07-31T18:00:13Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-175947-0a12e6c.spice
# corners: 7 bundles{typical,ff,ss,fs,sf,all-slow,all-fast} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V x band{0..7} x vctrl{0.9..2.7 in 0.3V} = 3528 points
# dut: 5-stage current-starved single-ended CMOS ring VCO (DR-001 Decision 2),
#   3-bit band select via three cascaded switched-ratio mirror stages
#   (x1.65 / x1.65^2 / x1.65^4), fine control by a source-degenerated V->I
#   converter offset by a 2*Vgs reference so I_sum ~ (Vctrl + Voff)/Rdeg.
#   Topology and sizing rationale: design/README.md.
# fosc_hz: measured at the buffered output CLK over 4 whole cycles after tsettle
# isupply_a: average current out of that instance's own VDD_VCO ammeter over
#   the measurement window (whole block: bias + ring + output buffer + decap)
# bundles: typical/ff/ss/fs/sf are MOS-only (res_typical, moscap_typical);
#   all-slow = ss+res_ss+moscap_ss ; all-fast = ff+res_ff+moscap_ff
bundle,temp_c,vdd_v,band,vctrl_v,fosc_hz,isupply_a
all-fast,-40,2.97,0,0.9,5414740,5.48501e-05
all-fast,-40,2.97,0,1.2,6532100,5.93219e-05
all-fast,-40,2.97,0,1.5,7701810,6.52898e-05
all-fast,-40,2.97,0,1.8,8902170,7.18394e-05
all-fast,-40,2.97,0,2.1,1.01413e+07,7.81976e-05
all-fast,-40,2.97,0,2.4,1.13671e+07,8.64625e-05
all-fast,-40,2.97,0,2.7,1.2631e+07,9.20845e-05
all-fast,-40,2.97,1,0.9,8717610,6.36183e-05
all-fast,-40,2.97,1,1.2,1.05269e+07,7.13008e-05
all-fast,-40,2.97,1,1.5,1.24574e+07,8.16073e-05
all-fast,-40,2.97,1,1.8,1.44113e+07,8.91666e-05
all-fast,-40,2.97,1,2.1,1.64023e+07,9.67807e-05
all-fast,-40,2.97,1,2.4,1.84937e+07,0.00010675
all-fast,-40,2.97,1,2.7,2.05573e+07,0.000113936
all-fast,-40,2.97,2,0.9,1.47e+07,7.26616e-05
all-fast,-40,2.97,2,1.2,1.77551e+07,8.29458e-05
all-fast,-40,2.97,2,1.5,2.10267e+07,9.19609e-05
all-fast,-40,2.97,2,1.8,2.4448e+07,0.000102252
all-fast,-40,2.97,2,2.1,2.78916e+07,0.000113332
all-fast,-40,2.97,2,2.4,3.13304e+07,0.000123006
all-fast,-40,2.97,2,2.7,3.50159e+07,0.000135086
all-fast,-40,2.97,3,0.9,2.38857e+07,9.39259e-05
all-fast,-40,2.97,3,1.2,2.9001e+07,0.000107348
all-fast,-40,2.97,3,1.5,3.44048e+07,0.000122642
all-fast,-40,2.97,3,1.8,4.00965e+07,0.000136556
all-fast,-40,2.97,3,2.1,4.58998e+07,0.000151864
all-fast,-40,2.97,3,2.4,5.1845e+07,0.000167553
all-fast,-40,2.97,3,2.7,5.80572e+07,0.000182821
all-fast,-40,2.97,4,0.9,3.99085e+07,0.000103623
all-fast,-40,2.97,4,1.2,4.8592e+07,0.000118566
