bundle,temp_c,vdd_v,band,vctrl_v,fosc_hz,kvco_hz_per_v,kvco_over_f_per_v,isupply_a,inside_v1_band
all-fast,-40,2.97,0,0.90,5414740,3724533,0.68785,5.48501e-05,0
all-fast,-40,2.97,0,1.20,6532100,3811783,0.58355,5.93219e-05,0
all-fast,-40,2.97,0,1.50,7701810,3950117,0.51288,6.52898e-05,0
all-fast,-40,2.97,0,1.80,8902170,4065817,0.45672,7.18394e-05,0
all-fast,-40,2.97,0,2.10,1.01413e+07,4108217,0.4051,7.81976e-05,1
all-fast,-40,2.97,0,2.40,1.13671e+07,4149500,0.36504,8.64625e-05,1
all-fast,-40,2.97,0,2.70,1.2631e+07,4213000,0.33354,9.20845e-05,1
all-fast,-40,2.97,1,0.90,8717610,6030967,0.69181,6.36183e-05,0
all-fast,-40,2.97,1,1.20,1.05269e+07,6232983,0.5921,7.13008e-05,1
all-fast,-40,2.97,1,1.50,1.24574e+07,6474000,0.51969,8.16073e-05,1
all-fast,-40,2.97,1,1.80,1.44113e+07,6574833,0.45623,8.91666e-05,1
all-fast,-40,2.97,1,2.10,1.64023e+07,6804000,0.41482,9.67807e-05,1
all-fast,-40,2.97,1,2.40,1.84937e+07,6925000,0.37445,0.00010675,1
all-fast,-40,2.97,1,2.70,2.05573e+07,6878667,0.33461,0.000113936,1
all-fast,-40,2.97,2,0.90,1.47e+07,1.018367e+07,0.69277,7.26616e-05,1
all-fast,-40,2.97,2,1.20,1.77551e+07,1.05445e+07,0.59389,8.29458e-05,1
all-fast,-40,2.97,2,1.50,2.10267e+07,1.115483e+07,0.53051,9.19609e-05,1
all-fast,-40,2.97,2,1.80,2.4448e+07,1.14415e+07,0.46799,0.000102252,1
all-fast,-40,2.97,2,2.10,2.78916e+07,1.147067e+07,0.41126,0.000113332,1
all-fast,-40,2.97,2,2.40,3.13304e+07,1.187383e+07,0.37899,0.000123006,1
all-fast,-40,2.97,2,2.70,3.50159e+07,1.2285e+07,0.35084,0.000135086,1
all-fast,-40,2.97,3,0.90,2.38857e+07,1.7051e+07,0.71386,9.39259e-05,1
all-fast,-40,2.97,3,1.20,2.9001e+07,1.753183e+07,0.60453,0.000107348,1
all-fast,-40,2.97,3,1.50,3.44048e+07,1.84925e+07,0.5375,0.000122642,1
all-fast,-40,2.97,3,1.80,4.00965e+07,1.915833e+07,0.47781,0.000136556,1
all-fast,-40,2.97,3,2.10,4.58998e+07,1.958083e+07,0.4266,0.000151864,1
all-fast,-40,2.97,3,2.40,5.1845e+07,2.026233e+07,0.39083,0.000167553,1
all-fast,-40,2.97,3,2.70,5.80572e+07,2.070733e+07,0.35667,0.000182821,1
all-fast,-40,2.97,4,0.90,3.99085e+07,2.8945e+07,0.72528,0.000103623,1
all-fast,-40,2.97,4,1.20,4.8592e+07,3.0071e+07,0.61885,0.000118566,1
all-fast,-40,2.97,4,1.50,5.79511e+07,3.1942e+07,0.55119,0.000135015,1
all-fast,-40,2.97,4,1.80,6.77572e+07,3.326167e+07,0.49089,0.000151674,1
