bundle,temp_c,vdd_v,band,f_at_vctrl_min_hz,f_at_vctrl_max_hz,fine_range_ratio,kvco_min_hz_per_v,kvco_max_hz_per_v,kvco_mean_hz_per_v,isupply_min_a,isupply_max_a
all-fast,-40,2.97,0,5414740,1.2631e+07,2.333,3.72453e+06,4.213e+06,4.00903e+06,5.48501e-05,9.20845e-05
all-fast,-40,2.97,1,8717610,2.05573e+07,2.358,6.03097e+06,6.925e+06,6.57761e+06,6.36183e-05,0.000113936
all-fast,-40,2.97,2,1.47e+07,3.50159e+07,2.382,1.01837e+07,1.2285e+07,1.12866e+07,7.26616e-05,0.000135086
all-fast,-40,2.97,3,2.38857e+07,5.80572e+07,2.431,1.7051e+07,2.07073e+07,1.89842e+07,9.39259e-05,0.000182821
all-fast,-40,2.97,4,3.99085e+07,9.92269e+07,2.486,2.8945e+07,3.64323e+07,3.29547e+07,0.000103623,0.000205366
all-fast,-40,2.97,5,6.61846e+07,1.70062e+08,2.57,5.00317e+07,6.39667e+07,5.77097e+07,0.000141665,0.000294405
all-fast,-40,2.97,6,1.16894e+08,3.08087e+08,2.636,9.156e+07,1.16363e+08,1.06218e+08,0.00020107,0.00043219
all-fast,-40,2.97,7,2.00941e+08,5.28107e+08,2.628,1.62687e+08,1.90653e+08,1.81759e+08,0.000298052,0.000654404
all-fast,-40,3.30,0,4970070,1.13582e+07,2.285,3.33733e+06,3.64158e+06,3.54896e+06,6.0568e-05,9.89576e-05
all-fast,-40,3.30,1,7940700,1.82886e+07,2.303,5.35117e+06,5.94217e+06,5.74883e+06,7.06008e-05,0.000122982
all-fast,-40,3.30,2,1.33099e+07,3.08989e+07,2.321,8.99133e+06,1.0261e+07,9.77167e+06,8.03225e-05,0.000141513
all-fast,-40,3.30,3,2.13748e+07,5.05755e+07,2.366,1.46377e+07,1.7456e+07,1.62226e+07,0.000101008,0.000191642
all-fast,-40,3.30,4,3.54568e+07,8.54495e+07,2.41,2.50917e+07,2.94732e+07,2.77737e+07,0.000114158,0.000217884
all-fast,-40,3.30,5,5.80754e+07,1.44551e+08,2.489,4.19963e+07,5.32167e+07,4.8042e+07,0.000150456,0.000309238
all-fast,-40,3.30,6,1.01226e+08,2.60299e+08,2.571,7.61767e+07,9.69733e+07,8.83739e+07,0.000215095,0.000451694
all-fast,-40,3.30,7,1.71225e+08,4.53796e+08,2.65,1.35053e+08,1.71373e+08,1.56984e+08,0.000313655,0.00068491
all-fast,-40,3.63,0,4684390,1.0495e+07,2.24,3.05747e+06,3.2996e+06,3.22812e+06,6.91645e-05,0.000108549
all-fast,-40,3.63,1,7409960,1.67339e+07,2.258,4.8602e+06,5.34133e+06,5.17997e+06,7.99256e-05,0.000131718
all-fast,-40,3.63,2,1.23539e+07,2.81021e+07,2.275,8.12133e+06,9.0745e+06,8.749e+06,9.14396e-05,0.000151819
all-fast,-40,3.63,3,1.96589e+07,4.54353e+07,2.311,1.315e+07,1.52407e+07,1.43202e+07,0.00011198,0.00020272
all-fast,-40,3.63,4,3.25682e+07,7.64814e+07,2.348,2.19903e+07,2.58857e+07,2.43962e+07,0.000124056,0.000231402
all-fast,-40,3.63,5,5.26374e+07,1.27036e+08,2.413,3.68613e+07,4.462e+07,4.13326e+07,0.000164836,0.000323554
all-fast,-40,3.63,6,9.0917e+07,2.26874e+08,2.495,6.57833e+07,8.32833e+07,7.55317e+07,0.000229467,0.000471523
all-fast,-40,3.63,7,1.51417e+08,3.94006e+08,2.602,1.14857e+08,1.4998e+08,1.34772e+08,0.000332125,0.000710891
all-fast,27,2.97,0,5796930,1.34233e+07,2.316,3.89447e+06,4.46767e+06,4.23687e+06,6.68853e-05,0.000108128
all-fast,27,2.97,1,9387270,2.19392e+07,2.337,6.40677e+06,7.402e+06,6.97329e+06,7.81569e-05,0.000133418
all-fast,27,2.97,2,1.57063e+07,3.73315e+07,2.377,1.08163e+07,1.3012e+07,1.2014e+07,8.82652e-05,0.000156061
all-fast,27,2.97,3,2.57514e+07,6.23913e+07,2.423,1.81613e+07,2.17623e+07,2.03555e+07,0.000111981,0.000210576
all-fast,27,2.97,4,4.41776e+07,1.09727e+08,2.484,3.2021e+07,3.99797e+07,3.64163e+07,0.00012305,0.000237716
all-fast,27,2.97,5,7.40957e+07,1.90626e+08,2.573,5.57313e+07,7.157e+07,6.47391e+07,0.000168663,0.00033993
