# per (corner bundle, trim code): the window t_win (twin_r) reduced over that bundle's own 9 voltage/temperature points, plus the step to the previous code -- the trim's step size, total range and monotonicity, measured
# twin_at_ref_ns is the window at the trim rule's reference condition (27 C, nominal supply) -- the single measurement the rule selects a code from.
# within_bundle_spread is max/min over that bundle's own PVT box at that code. It is the FLOOR the trim cannot go below: the trim removes the process axis, not the voltage/temperature axes.
# step_vs_prev_code is the ratio of geometric means between adjacent codes; monotonic_in_code is 'NO' for any step that is not > 1, which is the property an unweighted pass gate breaks.
bundle,code,n_points,twin_min_ns,twin_max_ns,twin_geomean_ns,within_bundle_spread,twin_at_ref_ns,step_vs_prev_code,monotonic_in_code
all-fast,c0,9,0.7671,1.129,0.9211,1.472,0.9084,,
all-fast,c1,9,0.8035,1.182,0.9647,1.471,0.9514,1.047,yes
all-fast,c2,9,0.8362,1.23,1.004,1.471,0.9901,1.041,yes
all-fast,c3,9,0.8732,1.285,1.048,1.471,1.034,1.044,yes
all-fast,c4,9,0.9034,1.329,1.084,1.471,1.069,1.034,yes
all-fast,c5,9,0.9408,1.384,1.129,1.471,1.114,1.041,yes
all-fast,c6,9,0.9746,1.433,1.17,1.471,1.154,1.036,yes
all-fast,c7,9,1.012,1.489,1.215,1.471,1.198,1.039,yes
all-fast,c8,9,1.041,1.531,1.249,1.47,1.232,1.028,yes
all-fast,c9,9,1.079,1.587,1.295,1.47,1.277,1.037,yes
all-fast,c10,9,1.114,1.637,1.336,1.47,1.318,1.032,yes
all-fast,c11,9,1.152,1.694,1.382,1.471,1.363,1.034,yes
all-fast,c12,9,1.183,1.74,1.42,1.47,1.4,1.027,yes
all-fast,c13,9,1.221,1.797,1.466,1.471,1.446,1.032,yes
all-fast,c14,9,1.256,1.848,1.508,1.471,1.487,1.028,yes
all-fast,c15,9,1.294,1.905,1.554,1.472,1.532,1.031,yes
all-slow,c0,9,0.9876,1.519,1.213,1.538,1.194,,
all-slow,c1,9,1.033,1.589,1.269,1.538,1.249,1.046,yes
all-slow,c2,9,1.076,1.655,1.321,1.538,1.3,1.041,yes
all-slow,c3,9,1.122,1.726,1.378,1.538,1.356,1.043,yes
all-slow,c4,9,1.164,1.789,1.428,1.537,1.406,1.037,yes
all-slow,c5,9,1.211,1.861,1.486,1.537,1.463,1.04,yes
all-slow,c6,9,1.256,1.93,1.541,1.537,1.516,1.037,yes
all-slow,c7,9,1.303,2.003,1.599,1.537,1.574,1.038,yes
all-slow,c8,9,1.346,2.066,1.651,1.535,1.625,1.032,yes
all-slow,c9,9,1.394,2.14,1.71,1.535,1.683,1.036,yes
all-slow,c10,9,1.439,2.21,1.765,1.535,1.737,1.032,yes
all-slow,c11,9,1.488,2.284,1.824,1.536,1.795,1.034,yes
all-slow,c12,9,1.531,2.351,1.878,1.535,1.848,1.029,yes
all-slow,c13,9,1.58,2.426,1.937,1.536,1.907,1.032,yes
all-slow,c14,9,1.626,2.496,1.993,1.536,1.962,1.029,yes
all-slow,c15,9,1.674,2.572,2.053,1.536,2.021,1.03,yes
ff,c0,9,0.7671,1.129,0.9211,1.472,0.9084,,
ff,c1,9,0.8035,1.182,0.9647,1.471,0.9514,1.047,yes
ff,c2,9,0.8362,1.23,1.004,1.471,0.9901,1.041,yes
ff,c3,9,0.8732,1.285,1.048,1.471,1.034,1.044,yes
ff,c4,9,0.9034,1.329,1.084,1.471,1.069,1.034,yes
ff,c5,9,0.9408,1.384,1.129,1.471,1.114,1.041,yes
ff,c6,9,0.9746,1.433,1.17,1.471,1.154,1.036,yes
ff,c7,9,1.012,1.489,1.215,1.471,1.198,1.039,yes
ff,c8,9,1.041,1.531,1.249,1.47,1.232,1.028,yes
ff,c9,9,1.079,1.587,1.295,1.47,1.277,1.037,yes
