corner,temp_c,vdd,trim,corner_id,twin_r,twin_f,verdict
typical,-40.0,2.97,c0,typical_-40c_2.97v_c0,9.67262e-10,9.67242e-10,PASS
typical,-40.0,2.97,c1,typical_-40c_2.97v_c1,1.01212e-09,1.01026e-09,PASS
typical,-40.0,2.97,c2,typical_-40c_2.97v_c2,1.05277e-09,1.04872e-09,PASS
typical,-40.0,2.97,c3,typical_-40c_2.97v_c3,1.09855e-09,1.09301e-09,PASS
typical,-40.0,2.97,c4,typical_-40c_2.97v_c4,1.13705e-09,1.12946e-09,PASS
typical,-40.0,2.97,c5,typical_-40c_2.97v_c5,1.1835e-09,1.17478e-09,PASS
typical,-40.0,2.97,c6,typical_-40c_2.97v_c6,1.2258e-09,1.21551e-09,PASS
typical,-40.0,2.97,c7,typical_-40c_2.97v_c7,1.27273e-09,1.26164e-09,PASS
typical,-40.0,2.97,c8,typical_-40c_2.97v_c8,1.31134e-09,1.2992e-09,PASS
typical,-40.0,2.97,c9,typical_-40c_2.97v_c9,1.3586e-09,1.34593e-09,PASS
typical,-40.0,2.97,c10,typical_-40c_2.97v_c10,1.40182e-09,1.38818e-09,PASS
typical,-40.0,2.97,c11,typical_-40c_2.97v_c11,1.44936e-09,1.43535e-09,PASS
typical,-40.0,2.97,c12,typical_-40c_2.97v_c12,1.48992e-09,1.47499e-09,PASS
typical,-40.0,2.97,c13,typical_-40c_2.97v_c13,1.53767e-09,1.52247e-09,PASS
typical,-40.0,2.97,c14,typical_-40c_2.97v_c14,1.58149e-09,1.56568e-09,PASS
typical,-40.0,2.97,c15,typical_-40c_2.97v_c15,1.6294e-09,1.61334e-09,PASS
typical,-40.0,3.3,c0,typical_-40c_3.30v_c0,9.05935e-10,9.0021e-10,PASS
typical,-40.0,3.3,c1,typical_-40c_3.30v_c1,9.48179e-10,9.40872e-10,PASS
typical,-40.0,3.3,c2,typical_-40c_3.30v_c2,9.86724e-10,9.77532e-10,PASS
typical,-40.0,3.3,c3,typical_-40c_3.30v_c3,1.02978e-09,1.01933e-09,PASS
typical,-40.0,3.3,c4,typical_-40c_3.30v_c4,1.06638e-09,1.05426e-09,PASS
typical,-40.0,3.3,c5,typical_-40c_3.30v_c5,1.11002e-09,1.09693e-09,PASS
typical,-40.0,3.3,c6,typical_-40c_3.30v_c6,1.15001e-09,1.13564e-09,PASS
typical,-40.0,3.3,c7,typical_-40c_3.30v_c7,1.19405e-09,1.17893e-09,PASS
typical,-40.0,3.3,c8,typical_-40c_3.30v_c8,1.23058e-09,1.21471e-09,PASS
typical,-40.0,3.3,c9,typical_-40c_3.30v_c9,1.27491e-09,1.25841e-09,PASS
typical,-40.0,3.3,c10,typical_-40c_3.30v_c10,1.31569e-09,1.29832e-09,PASS
typical,-40.0,3.3,c11,typical_-40c_3.30v_c11,1.36025e-09,1.34231e-09,PASS
typical,-40.0,3.3,c12,typical_-40c_3.30v_c12,1.39864e-09,1.37989e-09,PASS
typical,-40.0,3.3,c13,typical_-40c_3.30v_c13,1.44339e-09,1.42408e-09,PASS
typical,-40.0,3.3,c14,typical_-40c_3.30v_c14,1.48468e-09,1.46467e-09,PASS
typical,-40.0,3.3,c15,typical_-40c_3.30v_c15,1.52956e-09,1.50899e-09,PASS
typical,-40.0,3.63,c0,typical_-40c_3.63v_c0,8.59799e-10,8.50537e-10,PASS
typical,-40.0,3.63,c1,typical_-40c_3.63v_c1,9.00074e-10,8.89409e-10,PASS
typical,-40.0,3.63,c2,typical_-40c_3.63v_c2,9.37016e-10,9.24715e-10,PASS
typical,-40.0,3.63,c3,typical_-40c_3.63v_c3,9.78009e-10,9.64574e-10,PASS
typical,-40.0,3.63,c4,typical_-40c_3.63v_c4,1.01315e-09,9.98325e-10,PASS
typical,-40.0,3.63,c5,typical_-40c_3.63v_c5,1.05466e-09,1.03891e-09,PASS
typical,-40.0,3.63,c6,typical_-40c_3.63v_c6,1.09289e-09,1.07601e-09,PASS
typical,-40.0,3.63,c7,typical_-40c_3.63v_c7,1.13476e-09,1.11708e-09,PASS
typical,-40.0,3.63,c8,typical_-40c_3.63v_c8,1.16967e-09,1.15133e-09,PASS
typical,-40.0,3.63,c9,typical_-40c_3.63v_c9,1.2118e-09,1.19271e-09,PASS
typical,-40.0,3.63,c10,typical_-40c_3.63v_c10,1.25073e-09,1.23076e-09,PASS
typical,-40.0,3.63,c11,typical_-40c_3.63v_c11,1.29305e-09,1.27235e-09,PASS
typical,-40.0,3.63,c12,typical_-40c_3.63v_c12,1.32978e-09,1.30827e-09,PASS
typical,-40.0,3.63,c13,typical_-40c_3.63v_c13,1.37227e-09,1.35002e-09,PASS
typical,-40.0,3.63,c14,typical_-40c_3.63v_c14,1.41165e-09,1.38861e-09,PASS
typical,-40.0,3.63,c15,typical_-40c_3.63v_c15,1.45426e-09,1.43048e-09,PASS
typical,27.0,2.97,c0,typical_27c_2.97v_c0,1.10193e-09,1.10004e-09,PASS
typical,27.0,2.97,c1,typical_27c_2.97v_c1,1.15319e-09,1.14924e-09,PASS
typical,27.0,2.97,c2,typical_27c_2.97v_c2,1.19985e-09,1.19352e-09,PASS
typical,27.0,2.97,c3,typical_27c_2.97v_c3,1.25215e-09,1.24416e-09,PASS
typical,27.0,2.97,c4,typical_27c_2.97v_c4,1.29614e-09,1.28605e-09,PASS
typical,27.0,2.97,c5,typical_27c_2.97v_c5,1.34922e-09,1.33784e-09,PASS
typical,27.0,2.97,c6,typical_27c_2.97v_c6,1.39773e-09,1.38467e-09,PASS
typical,27.0,2.97,c7,typical_27c_2.97v_c7,1.45137e-09,1.43735e-09,PASS
typical,27.0,2.97,c8,typical_27c_2.97v_c8,1.49497e-09,1.48004e-09,PASS
typical,27.0,2.97,c9,typical_27c_2.97v_c9,1.549e-09,1.53338e-09,PASS
typical,27.0,2.97,c10,typical_27c_2.97v_c10,1.59856e-09,1.58186e-09,PASS
typical,27.0,2.97,c11,typical_27c_2.97v_c11,1.65292e-09,1.63568e-09,PASS
typical,27.0,2.97,c12,typical_27c_2.97v_c12,1.69923e-09,1.68104e-09,PASS
typical,27.0,2.97,c13,typical_27c_2.97v_c13,1.75384e-09,1.73521e-09,PASS
typical,27.0,2.97,c14,typical_27c_2.97v_c14,1.8041e-09,1.78471e-09,PASS
typical,27.0,2.97,c15,typical_27c_2.97v_c15,1.85891e-09,1.83911e-09,PASS
typical,27.0,3.3,c0,typical_27c_3.30v_c0,1.0296e-09,1.02223e-09,PASS
typical,27.0,3.3,c1,typical_27c_3.30v_c1,1.07769e-09,1.06855e-09,PASS
typical,27.0,3.3,c2,typical_27c_3.30v_c2,1.1217e-09,1.11051e-09,PASS
typical,27.0,3.3,c3,typical_27c_3.30v_c3,1.17073e-09,1.1581e-09,PASS
typical,27.0,3.3,c4,typical_27c_3.30v_c4,1.21233e-09,1.19795e-09,PASS
typical,27.0,3.3,c5,typical_27c_3.30v_c5,1.26204e-09,1.24652e-09,PASS
typical,27.0,3.3,c6,typical_27c_3.30v_c6,1.30769e-09,1.29076e-09,PASS
typical,27.0,3.3,c7,typical_27c_3.30v_c7,1.35789e-09,1.34004e-09,PASS
typical,27.0,3.3,c8,typical_27c_3.30v_c8,1.399e-09,1.38043e-09,PASS
typical,27.0,3.3,c9,typical_27c_3.30v_c9,1.44954e-09,1.43019e-09,PASS
typical,27.0,3.3,c10,typical_27c_3.30v_c10,1.49613e-09,1.47576e-09,PASS
typical,27.0,3.3,c11,typical_27c_3.30v_c11,1.54694e-09,1.52587e-09,PASS
typical,27.0,3.3,c12,typical_27c_3.30v_c12,1.5906e-09,1.56865e-09,PASS
typical,27.0,3.3,c13,typical_27c_3.30v_c13,1.64164e-09,1.61901e-09,PASS
typical,27.0,3.3,c14,typical_27c_3.30v_c14,1.68882e-09,1.66537e-09,PASS
typical,27.0,3.3,c15,typical_27c_3.30v_c15,1.74003e-09,1.71591e-09,PASS
typical,27.0,3.63,c0,typical_27c_3.63v_c0,9.74557e-10,9.63761e-10,PASS
typical,27.0,3.63,c1,typical_27c_3.63v_c1,1.02025e-09,1.00788e-09,PASS
typical,27.0,3.63,c2,typical_27c_3.63v_c2,1.06223e-09,1.04808e-09,PASS
typical,27.0,3.63,c3,typical_27c_3.63v_c3,1.10877e-09,1.09332e-09,PASS
typical,27.0,3.63,c4,typical_27c_3.63v_c4,1.14851e-09,1.13158e-09,PASS
typical,27.0,3.63,c5,typical_27c_3.63v_c5,1.19566e-09,1.17765e-09,PASS
typical,27.0,3.63,c6,typical_27c_3.63v_c6,1.23913e-09,1.21986e-09,PASS
typical,27.0,3.63,c7,typical_27c_3.63v_c7,1.28671e-09,1.2665e-09,PASS
typical,27.0,3.63,c8,typical_27c_3.63v_c8,1.3259e-09,1.30501e-09,PASS
typical,27.0,3.63,c9,typical_27c_3.63v_c9,1.37379e-09,1.35204e-09,PASS
