index,time_s,delta_s
0,0.000000000000e+00,0.000000e+00
1,1.000000000000e-12,1.000000e-12
2,2.000000000000e-12,1.000000e-12
3,4.000000000000e-12,2.000000e-12
4,8.000000000000e-12,4.000000e-12
5,1.600000000000e-11,8.000000e-12
6,3.200000000000e-11,1.600000e-11
7,6.400000000000e-11,3.200000e-11
8,1.280000000000e-10,6.400000e-11
9,2.280000000000e-10,1.000000e-10
10,3.280000000000e-10,1.000000e-10
11,4.280000000000e-10,1.000000e-10
12,5.280000000000e-10,1.000000e-10
13,6.280000000000e-10,1.000000e-10
14,7.280000000000e-10,1.000000e-10
15,8.280000000000e-10,1.000000e-10
16,9.280000000000e-10,1.000000e-10
17,1.028000000000e-09,1.000000e-10
18,1.128000000000e-09,1.000000e-10
19,1.228000000000e-09,1.000000e-10
20,1.328000000000e-09,1.000000e-10
21,1.428000000000e-09,1.000000e-10
22,1.528000000000e-09,1.000000e-10
23,1.628000000000e-09,1.000000e-10
24,1.728000000000e-09,1.000000e-10
25,1.729562500000e-09,1.562500e-12
26,1.732687500000e-09,3.125000e-12
27,1.732785156250e-09,9.765625e-14
28,1.732980468750e-09,1.953125e-13
29,1.732986572266e-09,6.103516e-15
30,1.732998779297e-09,1.220703e-14
31,1.733001831055e-09,3.051758e-15
32,1.733007934570e-09,6.103516e-15
33,1.733020141602e-09,1.220703e-14
34,1.733023193359e-09,3.051758e-15
35,1.733029296875e-09,6.103516e-15
36,1.733041503906e-09,1.220703e-14
37,1.733044555664e-09,3.051758e-15
38,1.733050659180e-09,6.103516e-15
39,1.733062866211e-09,1.220703e-14
40,1.733065917969e-09,3.051758e-15
41,1.733072021484e-09,6.103516e-15
42,1.733084228516e-09,1.220703e-14
43,1.733087280273e-09,3.051758e-15
44,1.733093383789e-09,6.103516e-15
45,1.733105590820e-09,1.220703e-14
46,1.733108642578e-09,3.051758e-15
47,1.733114746094e-09,6.103516e-15
48,1.733126953125e-09,1.220703e-14
49,1.733130004883e-09,3.051758e-15
50,1.733136108398e-09,6.103516e-15
51,1.733148315430e-09,1.220703e-14
52,1.733151367188e-09,3.051758e-15
53,1.733157470703e-09,6.103516e-15
54,1.733169677734e-09,1.220703e-14
55,1.733172729492e-09,3.051758e-15
56,1.733178833008e-09,6.103516e-15
57,1.733191040039e-09,1.220703e-14
58,1.733194091797e-09,3.051758e-15
59,1.733200195313e-09,6.103516e-15
60,1.733212402344e-09,1.220703e-14
61,1.733215454102e-09,3.051758e-15
62,1.733221557617e-09,6.103516e-15
63,1.733233764648e-09,1.220703e-14
64,1.733236816406e-09,3.051758e-15
65,1.733242919922e-09,6.103516e-15
66,1.733255126953e-09,1.220703e-14
67,1.733258178711e-09,3.051758e-15
68,1.733264282227e-09,6.103516e-15
69,1.733276489258e-09,1.220703e-14
70,1.733279541016e-09,3.051758e-15
71,1.733285644531e-09,6.103516e-15
72,1.733297851563e-09,1.220703e-14
73,1.733300903320e-09,3.051758e-15
74,1.733307006836e-09,6.103516e-15
75,1.733319213867e-09,1.220703e-14
76,1.733322265625e-09,3.051758e-15
77,1.733328369141e-09,6.103516e-15
78,1.733340576172e-09,1.220703e-14
79,1.733343627930e-09,3.051758e-15
80,1.733349731445e-09,6.103516e-15
81,1.733361938477e-09,1.220703e-14
82,1.733364990234e-09,3.051758e-15
83,1.733371093750e-09,6.103516e-15
84,1.733383300781e-09,1.220703e-14
85,1.733386352539e-09,3.051758e-15
86,1.733392456055e-09,6.103516e-15
87,1.733404663086e-09,1.220703e-14
88,1.733407714844e-09,3.051758e-15
89,1.733413818359e-09,6.103516e-15
90,1.733426025391e-09,1.220703e-14
91,1.733429077148e-09,3.051758e-15
92,1.733435180664e-09,6.103516e-15
93,1.733447387695e-09,1.220703e-14
94,1.733450439453e-09,3.051758e-15
95,1.733456542969e-09,6.103516e-15
96,1.733468750000e-09,1.220703e-14
97,1.733471801758e-09,3.051758e-15
98,1.733477905273e-09,6.103516e-15
99,1.733490112305e-09,1.220703e-14
100,1.733493164063e-09,3.051758e-15
101,1.733499267578e-09,6.103516e-15
102,1.733511474609e-09,1.220703e-14
103,1.733514526367e-09,3.051758e-15
104,1.733520629883e-09,6.103516e-15
105,1.733532836914e-09,1.220703e-14
106,1.733535888672e-09,3.051758e-15
107,1.733541992188e-09,6.103516e-15
108,1.733554199219e-09,1.220703e-14
109,1.733557250977e-09,3.051758e-15
110,1.733563354492e-09,6.103516e-15
111,1.733575561523e-09,1.220703e-14
112,1.733578613281e-09,3.051758e-15
113,1.733584716797e-09,6.103516e-15
114,1.733596923828e-09,1.220703e-14
115,1.733599975586e-09,3.051758e-15
116,1.733606079102e-09,6.103516e-15
117,1.733618286133e-09,1.220703e-14
118,1.733621337891e-09,3.051758e-15
119,1.733627441406e-09,6.103516e-15
120,1.733639648438e-09,1.220703e-14
121,1.733642700195e-09,3.051758e-15
122,1.733648803711e-09,6.103516e-15
123,1.733661010742e-09,1.220703e-14
124,1.733664062500e-09,3.051758e-15
125,1.733670166016e-09,6.103516e-15
126,1.733682373047e-09,1.220703e-14
127,1.733685424805e-09,3.051758e-15
128,1.733691528320e-09,6.103516e-15
129,1.733703735352e-09,1.220703e-14
130,1.733706787109e-09,3.051758e-15
131,1.733712890625e-09,6.103516e-15
132,1.733725097656e-09,1.220703e-14
133,1.733728149414e-09,3.051758e-15
134,1.733734252930e-09,6.103516e-15
135,1.733746459961e-09,1.220703e-14
136,1.733749511719e-09,3.051758e-15
137,1.733755615234e-09,6.103516e-15
138,1.733767822266e-09,1.220703e-14
139,1.733770874023e-09,3.051758e-15
140,1.733776977539e-09,6.103516e-15
141,1.733789184570e-09,1.220703e-14
142,1.733792236328e-09,3.051758e-15
143,1.733798339844e-09,6.103516e-15
144,1.733810546875e-09,1.220703e-14
145,1.733813598633e-09,3.051758e-15
146,1.733819702148e-09,6.103516e-15
147,1.733831909180e-09,1.220703e-14
148,1.733834960938e-09,3.051758e-15
149,1.733841064453e-09,6.103516e-15
150,1.733853271484e-09,1.220703e-14
151,1.733856323242e-09,3.051758e-15
152,1.733862426758e-09,6.103516e-15
153,1.733874633789e-09,1.220703e-14
154,1.733877685547e-09,3.051758e-15
155,1.733883789063e-09,6.103516e-15
156,1.733895996094e-09,1.220703e-14
157,1.733899047852e-09,3.051758e-15
158,1.733905151367e-09,6.103516e-15
159,1.733917358398e-09,1.220703e-14
160,1.733920410156e-09,3.051758e-15
161,1.733926513672e-09,6.103516e-15
