# excursion = max-min of that vector over timepoints 25..1999,
# i.e. after the internal timestep collapsed (simulated span 1.7453e-11 s)
name,excursion,value_at_collapse,value_at_last
i(e.xdut.xvco.xcdec2.ec_moscap),1.250000e-01,-7.361037e-05,-3.768851e-02
i(e.xdut.xvco.xcdec1.ec_moscap),1.250000e-01,-7.361037e-05,-3.768851e-02
v(xdut.xvco.y4),6.435128e-02,2.615309e+00,2.550958e+00
v(xdut.xvco.y3),3.488160e-02,2.381526e+00,2.416408e+00
v(xdut.xvco.xs3.nh),3.457618e-02,2.420548e+00,2.455124e+00
v(xdut.xvco.xs4.nt),2.727639e-02,1.315354e+00,1.342630e+00
v(xdut.xvco.xs4.nh),1.129565e-02,3.202035e+00,3.213330e+00
v(xdut.xvco.xs5.nh),7.442990e-03,3.277727e+00,3.270284e+00
i(e.xdut.xlf.xcf4.ec_moscap),3.689572e-03,-7.220297e-06,-3.696792e-03
i(e.xdut.xlf.xcf3.ec_moscap),3.689572e-03,-7.220297e-06,-3.696792e-03
i(e.xdut.xlf.xcf2.ec_moscap),3.689572e-03,-7.220297e-06,-3.696792e-03
i(e.xdut.xlf.xcf1.ec_moscap),3.689572e-03,-7.220297e-06,-3.696792e-03
v(xdut.xvco.y1),2.230752e-03,3.283332e+00,3.285562e+00
v(xdut.xvco.y2),1.860065e-03,6.266326e-02,6.080320e-02
v(xdut.xvco.xs2.nt),1.767265e-03,5.076478e-02,4.899752e-02
v(xdut.xvco.xs1.nh),1.725324e-03,3.285385e+00,3.287110e+00
v(xdut.xvco.y5),1.120732e-03,-1.949898e-02,-1.857902e-02
v(xdut.xvco.vbp),6.425376e-04,2.239939e+00,2.240581e+00
v(xdut.xvco.xs5.nt),5.920514e-04,-1.726186e-02,-1.770021e-02
v(xdut.xvco.nb1),3.309712e-04,3.299583e+00,3.299914e+00
v(xdut.xvco.vbn),1.584683e-04,8.985759e-01,8.987344e-01
v(xdut.xvco.xs1.nt),9.756388e-05,-3.677165e-05,6.079223e-05
v(xdut.xvco.xs2.nh),4.613611e-05,3.301772e+00,3.301726e+00
v(xdut.xvco.xs3.nt),3.535748e-05,-5.266718e-05,-1.730970e-05
v(xdut.xvco.nb2),1.649314e-05,-9.860584e-07,1.550709e-05
v(xdut.xvco.xbias.gc),5.810269e-06,2.458505e+00,2.458511e+00
v(clk),2.213782e-06,3.300000e+00,3.300003e+00
v(xdut.xvco.xbias.vbp2),1.595894e-06,2.458547e+00,2.458549e+00
i(vgndvco),1.468012e-06,2.610341e-04,2.625021e-04
i(vvddvco),1.467913e-06,-2.610355e-04,-2.625034e-04
v(xdut.xvco.xbias.b2b),9.201118e-07,4.592428e-07,1.379355e-06
v(xdut.xdiv.xd0.xfq.ckb),8.601659e-08,4.218612e-08,1.282027e-07
v(xdut.xdiv.xfrt.ckb),8.557768e-08,4.210235e-08,1.276800e-07
v(xdut.xdiv.xd0.xfmo.ckb),8.557063e-08,4.210995e-08,1.276806e-07
v(xdut.xvco.xbias.gb),5.709283e-08,6.484405e-01,6.484405e-01
v(xdut.xvco.xbias.vbn1),3.904966e-08,6.484405e-01,6.484405e-01
v(xdut.xdiv.xfrt.nm),1.277052e-08,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfmo.nm),1.276786e-08,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfq.ns),1.207035e-08,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfq.nma),7.211578e-09,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfq.ckbb),6.963249e-09,3.300000e+00,3.300000e+00
