corner,temp_c,vdd,edge,corner_id,t_r1,t_r2,t_f1,t_f2,tperiod,fosc,voh,vol,voh_ratio,vol_ratio,trise,tfall,thigh,duty_pct,verdict
typical,-40.0,2.97,lo,typical_-40c_2.97v_lo,1.42217e-06,1.65899e-06,1.53056e-06,1.76754e-06,2.36824e-07,4222550.0,3.04055,-0.0869429,1.02375,-0.0292737,1.25061e-09,1.63244e-09,1.0839000000000003e-07,45.76893843425385,PASS
typical,-40.0,2.97,hi,typical_-40c_2.97v_hi,1.76624e-08,2.01353e-08,1.63887e-08,1.88619e-08,2.47289e-09,404385000.0,3.01478,-0.0324593,1.01508,-0.0109291,1.04279e-10,1.03563e-10,1.1995000000000003e-09,48.505802903473665,PASS
typical,-40.0,3.3,lo,typical_-40c_3.30v_lo,1.56347e-06,1.82329e-06,1.42067e-06,1.68172e-06,2.59822e-07,3848780.0,3.37197,-0.0824322,1.02181,-0.0249795,1.63514e-09,1.2825e-09,1.182500000000001e-07,45.512277730736706,PASS
typical,-40.0,3.3,hi,typical_-40c_3.30v_hi,1.75435e-08,2.04131e-08,1.60672e-08,1.89371e-08,2.86959e-09,348482000.0,3.34091,-0.0304271,1.0124,-0.00922033,9.8673e-11,-2.76861e-09,1.3936000000000006e-09,48.56425982715363,PASS
typical,-40.0,3.63,lo,typical_-40c_3.63v_lo,1.67256e-06,1.95001e-06,1.51953e-06,1.79895e-06,2.77458e-07,3604150.0,3.71363,-0.0800042,1.02304,-0.0220397,1.43298e-09,1.63652e-09,1.263899999999999e-07,45.5541539016039,PASS
typical,-40.0,3.63,hi,typical_-40c_3.63v_hi,1.69463e-08,2.02772e-08,1.85682e-08,2.18991e-08,3.33088e-09,300221000.0,3.66636,-0.0298585,1.01002,-0.00822547,9.27077e-11,9.8419e-11,1.6218999999999975e-09,48.69254555825745,PASS
typical,27.0,2.97,lo,typical_27c_2.97v_lo,1.56723e-06,1.79109e-06,1.44638e-06,1.66915e-06,2.23868e-07,4466920.0,3.06484,-0.0932248,1.03193,-0.0313888,1.15341e-09,1.15639e-09,1.0191999999999995e-07,45.52845528455281,PASS
typical,27.0,2.97,hi,typical_27c_2.97v_hi,1.63772e-08,1.86638e-08,1.74914e-08,1.9778e-08,2.2866e-09,437331000.0,3.01445,-0.0333684,1.01497,-0.0112351,1.21166e-10,1.20661e-10,1.1142000000000001e-09,48.727368144843865,PASS
typical,27.0,3.3,lo,typical_27c_3.30v_lo,1.48078e-06,1.72838e-06,1.59363e-06,1.83984e-06,2.47605e-07,4038690.0,3.3897,-0.08627,1.02718,-0.0261424,2.13492e-09,1.45627e-09,1.1285000000000011e-07,45.5775444264944,PASS
typical,27.0,3.3,hi,typical_27c_3.30v_hi,1.8536e-08,2.11343e-08,1.72029e-08,1.98012e-08,2.59827e-09,384872000.0,3.34064,-0.0324762,1.01232,-0.00984126,1.11571e-10,1.15247e-10,1.2651999999999993e-09,48.693376438440545,PASS
typical,27.0,3.63,lo,typical_27c_3.63v_lo,1.59101e-06,1.85722e-06,1.44715e-06,1.71199e-06,2.66213e-07,3756390.0,3.74426,-0.0950012,1.03148,-0.0261711,1.6479e-09,1.63846e-09,1.2098000000000007e-07,45.445325119266776,PASS
typical,27.0,3.63,hi,typical_27c_3.63v_hi,1.81558e-08,2.11282e-08,1.66328e-08,1.96048e-08,2.97236e-09,336433000.0,3.66604,-0.0309073,1.00993,-0.00851441,1.0877e-10,1.12245e-10,1.449000000000002e-09,48.74848607186119,PASS
typical,125.0,2.97,lo,typical_125c_2.97v_lo,1.44841e-06,1.65486e-06,1.54408e-06,1.751e-06,2.06456e-07,4843640.0,3.07329,-0.0885292,1.03478,-0.0298078,1.66082e-09,1.66058e-09,9.567000000000001e-08,46.340518285299126,PASS
typical,125.0,2.97,hi,typical_125c_2.97v_hi,1.73482e-08,1.94668e-08,1.62721e-08,1.83907e-08,2.11865e-09,471999000.0,3.01147,-0.0335977,1.01396,-0.0113124,1.44282e-10,1.45661e-10,1.042500000000001e-09,49.207023506088916,PASS
typical,125.0,3.3,lo,typical_125c_3.30v_lo,1.59583e-06,1.82374e-06,1.47383e-06,1.70081e-06,2.27908e-07,4387730.0,3.41927,-0.116932,1.03614,-0.0354339,1.35551e-09,2.63865e-09,1.0497999999999992e-07,46.06204203413625,PASS
typical,125.0,3.3,hi,typical_125c_3.30v_hi,1.67641e-08,1.9105e-08,1.79137e-08,2.02545e-08,2.34086e-09,427193000.0,3.3382,-0.0324676,1.01158,-0.00983868,1.33297e-10,1.37625e-10,1.149600000000002e-09,49.10931692938617,PASS
typical,125.0,3.63,lo,typical_125c_3.63v_lo,1.47059e-06,1.71511e-06,1.58289e-06,1.8289e-06,2.44519e-07,4089660.0,3.73896,-0.10119,1.03002,-0.0278759,1.66751e-09,1.65841e-09,1.1229999999999997e-07,45.92671356126289,PASS
typical,125.0,3.63,hi,typical_125c_3.63v_hi,1.60569e-08,1.86734e-08,1.73409e-08,1.99574e-08,2.61651e-09,382189000.0,3.66412,-0.0306574,1.0094,-0.00844556,-2.4888e-09,1.31614e-10,1.2840000000000001e-09,49.073189375119455,PASS
ff,-40.0,2.97,lo,ff_-40c_2.97v_lo,1.48452e-06,1.73281e-06,1.59708e-06,1.84516e-06,2.4829e-07,4027550.0,3.04308,-0.0658136,1.02461,-0.0221595,1.29678e-09,1.31373e-09,1.1255999999999994e-07,45.33408514237382,PASS
ff,-40.0,2.97,hi,ff_-40c_2.97v_hi,1.83367e-08,2.09141e-08,1.70063e-08,1.95839e-08,2.57735e-09,387995000.0,3.00416,-0.026637,1.0115,-0.0089687,9.28751e-11,9.20143e-11,1.2471999999999988e-09,48.38985023667258,PASS
ff,-40.0,3.3,lo,ff_-40c_3.30v_lo,1.60769e-06,1.87502e-06,1.4601e-06,1.72742e-06,2.67323e-07,3740790.0,3.37545,-0.0736206,1.02286,-0.0223093,1.45112e-09,1.2861e-09,1.1973000000000008e-07,44.78734148804852,FAIL — duty_pct min=45 (got 44.7873)
ff,-40.0,3.3,hi,ff_-40c_3.30v_hi,1.85146e-08,2.1556e-08,1.69484e-08,1.99895e-08,3.04138e-09,328798000.0,3.32977,-0.0251185,1.00902,-0.00761167,8.89665e-11,9.08739e-11,1.4748999999999995e-09,48.49411455250866,PASS
ff,-40.0,3.63,lo,ff_-40c_3.63v_lo,1.41142e-06,1.69453e-06,1.5399e-06,1.82187e-06,2.83109e-07,3532200.0,3.69932,-0.0787498,1.0191,-0.0216942,1.44732e-09,1.37258e-09,1.2848e-07,45.381653774151395,PASS
ff,-40.0,3.63,hi,ff_-40c_3.63v_hi,1.77774e-08,2.12852e-08,1.94832e-08,2.2991e-08,3.50785e-09,285075000.0,3.6555,-0.0232474,1.00703,-0.00640423,8.36643e-11,-3.42855e-09,1.7058000000000013e-09,48.62877016933695,PASS
ff,27.0,2.97,lo,ff_27c_2.97v_lo,1.41523e-06,1.65052e-06,1.52354e-06,1.75924e-06,2.35284e-07,4250180.0,3.06118,-0.0699623,1.0307,-0.0235563,1.64186e-09,1.71038e-09,1.0830999999999994e-07,46.03255556972244,PASS
ff,27.0,2.97,hi,ff_27c_2.97v_hi,1.6686e-08,1.90246e-08,1.78202e-08,2.01592e-08,2.33859e-09,427609000.0,3.00324,-0.0270163,1.01119,-0.00909639,1.05311e-10,1.07521e-10,1.1341999999999997e-09,48.499102026853656,PASS
ff,27.0,3.3,lo,ff_27c_3.30v_lo,1.53721e-06,1.79257e-06,1.65332e-06,1.91046e-06,2.55358e-07,3916070.0,3.38905,-0.0934579,1.02698,-0.0283206,1.2492e-09,1.40245e-09,1.161100000000001e-07,45.469141604010055,PASS
ff,27.0,3.3,hi,ff_27c_3.30v_hi,1.66032e-08,1.93216e-08,1.79233e-08,2.06419e-08,2.71835e-09,367871000.0,3.32897,-0.0253131,1.00878,-0.00767064,1.01141e-10,1.02954e-10,1.3201e-09,48.5616539140671,PASS
ff,27.0,3.63,lo,ff_27c_3.63v_lo,1.62473e-06,1.89649e-06,1.47728e-06,1.74848e-06,2.71761e-07,3679710.0,3.72678,-0.103328,1.02666,-0.0284651,1.63813e-09,1.65031e-09,1.2374999999999987e-07,45.536502796585204,PASS
ff,27.0,3.63,hi,ff_27c_3.63v_hi,1.89896e-08,2.21096e-08,1.73875e-08,2.05077e-08,3.11992e-09,320521000.0,3.65462,-0.0233552,1.00678,-0.00643395,9.7547e-11,1.00763e-10,1.5180999999999995e-09,48.657051282051306,PASS
ff,125.0,2.97,lo,ff_125c_2.97v_lo,1.54121e-06,1.7611e-06,1.4225e-06,1.6424e-06,2.1989e-07,4547740.0,3.07093,-0.0967982,1.03398,-0.032592,1.46169e-09,1.65137e-09,1.0118999999999992e-07,46.01846377734319,PASS
ff,125.0,2.97,hi,ff_125c_2.97v_hi,1.7259e-08,1.93737e-08,1.61786e-08,1.82933e-08,2.1147e-09,472881000.0,2.99966,-0.025836,1.00999,-0.00869897,1.27468e-10,1.28942e-10,1.0343000000000009e-09,48.91001087624727,PASS
ff,125.0,3.3,lo,ff_125c_3.30v_lo,1.43167e-06,1.67015e-06,1.54293e-06,1.78233e-06,2.38479e-07,4193250.0,3.39767,-0.102159,1.0296,-0.0309574,1.6531e-09,1.65114e-09,1.1126000000000006e-07,46.6538074471654,PASS
ff,125.0,3.3,hi,ff_125c_3.30v_hi,1.71173e-08,1.95165e-08,1.82899e-08,2.06892e-08,2.39929e-09,416790000.0,3.32561,-0.0236851,1.00776,-0.00717731,1.20419e-10,1.23386e-10,1.1726000000000015e-09,48.87462487495836,PASS
ff,125.0,3.63,lo,ff_125c_3.63v_lo,1.51251e-06,1.76464e-06,1.62869e-06,1.88189e-06,2.5213e-07,3966200.0,3.74612,-0.0996779,1.03199,-0.0274595,1.31083e-09,1.75061e-09,1.1617999999999992e-07,46.0794034823305,PASS
