bundle,res_sec,moscap_sec,mimcap_sec,temp_c,vctrl_v,r_ohm,c1_f,c2_f,pm_min_deg,at_fref_hz,at_ndiv,at_trim_units,at_fc_hz
rff-mff-xff,ff,ff,ff,-40,0.9,62302.6,1.07053e-10,1.8151e-12,25.89,1e+06,32,1,11830.8
rff-mff-xff,ff,ff,ff,-40,1.35,62302.8,1.08344e-10,1.8151e-12,26.05,1e+06,32,1,11769.4
rff-mff-xff,ff,ff,ff,-40,1.8,62302.7,1.0868e-10,1.8151e-12,26.09,1e+06,32,1,11753.6
rff-mff-xff,ff,ff,ff,-40,2.25,62302.8,1.08767e-10,1.8151e-12,26.10,1e+06,32,1,11749.5
rff-mff-xff,ff,ff,ff,-40,2.7,62302.8,1.08789e-10,1.8151e-12,26.11,1e+06,32,1,11748.5
rff-mff-xff,ff,ff,ff,27,0.9,61724.6,1.07053e-10,1.8173e-12,25.66,1e+06,32,1,11818.8
rff-mff-xff,ff,ff,ff,27,1.35,61724.8,1.08344e-10,1.8173e-12,25.82,1e+06,32,1,11757.3
rff-mff-xff,ff,ff,ff,27,1.8,61724.8,1.0868e-10,1.8173e-12,25.86,1e+06,32,1,11741.4
rff-mff-xff,ff,ff,ff,27,2.25,61724.9,1.08767e-10,1.8173e-12,25.87,1e+06,32,1,11737.4
rff-mff-xff,ff,ff,ff,27,2.7,61724.9,1.08789e-10,1.8173e-12,25.88,1e+06,32,1,11736.3
rff-mff-xff,ff,ff,ff,125,0.9,61579,1.07053e-10,1.81888e-12,25.61,1e+06,32,1,11815.7
rff-mff-xff,ff,ff,ff,125,1.35,61579.2,1.08344e-10,1.81888e-12,25.76,1e+06,32,1,11754.2
rff-mff-xff,ff,ff,ff,125,1.8,61579.2,1.0868e-10,1.81888e-12,25.80,1e+06,32,1,11738.3
rff-mff-xff,ff,ff,ff,125,2.25,61579.2,1.08767e-10,1.81888e-12,25.81,1e+06,32,1,11734.3
rff-mff-xff,ff,ff,ff,125,2.7,61579.2,1.08789e-10,1.81888e-12,25.82,1e+06,32,1,11733.2
rff-mff-xss,ff,ff,ss,-40,0.9,62300.2,1.07054e-10,2.21299e-12,25.75,1e+06,32,1,11806.8
rff-mff-xss,ff,ff,ss,-40,1.35,62300.4,1.08344e-10,2.21299e-12,25.91,1e+06,32,1,11745.8
rff-mff-xss,ff,ff,ss,-40,1.8,62300.5,1.08681e-10,2.21299e-12,25.95,1e+06,32,1,11730.1
