# measured filter impedance, decimated from 40 to 5 points per
# decade for the committed artifact (the analysis above used the
# full-resolution sweep from the raw corner logs).
bundle,res_sec,moscap_sec,mimcap_sec,temp_c,vctrl_v,freq_hz,zmag_ohm,zph_deg
rff-mff-xff,ff,ff,ff,-40,0.3,100,1.5771e+07,-89.7700
rff-mff-xff,ff,ff,ff,-40,0.3,158.489,9.95094e+06,-89.6467
rff-mff-xff,ff,ff,ff,-40,0.3,251.189,6.2788e+06,-89.4472
rff-mff-xff,ff,ff,ff,-40,0.3,398.107,3.96194e+06,-89.1284
rff-mff-xff,ff,ff,ff,-40,0.3,630.957,2.50026e+06,-88.6216
rff-mff-xff,ff,ff,ff,-40,0.3,1000,1.57827e+06,-87.8178
rff-mff-xff,ff,ff,ff,-40,0.3,1584.89,996953,-86.5452
rff-mff-xff,ff,ff,ff,-40,0.3,2511.89,630821,-84.5358
rff-mff-xff,ff,ff,ff,-40,0.3,3981.07,400839,-81.3818
rff-mff-xff,ff,ff,ff,-40,0.3,6309.57,257324,-76.5017
rff-mff-xff,ff,ff,ff,-40,0.3,10000,169150,-69.2018
rff-mff-xff,ff,ff,ff,-40,0.3,15848.9,116796,-59.0557
rff-mff-xff,ff,ff,ff,-40,0.3,25118.9,87639.7,-46.7532
rff-mff-xff,ff,ff,ff,-40,0.3,39810.7,72844.7,-34.5215
rff-mff-xff,ff,ff,ff,-40,0.3,63095.7,66010.9,-24.7490
rff-mff-xff,ff,ff,ff,-40,0.3,100000,63012,-18.4507
rff-mff-xff,ff,ff,ff,-40,0.3,158489,61593.2,-15.5524
rff-mff-xff,ff,ff,ff,-40,0.3,251189,60562.5,-15.8043
rff-mff-xff,ff,ff,ff,-40,0.3,398107,59055.6,-19.2335
rff-mff-xff,ff,ff,ff,-40,0.3,630957,56024,-26.1067
rff-mff-xff,ff,ff,ff,-40,0.3,1e+06,50173.1,-36.3886
rff-mff-xff,ff,ff,ff,-40,0.3,1.58489e+06,41023.2,-48.8157
rff-mff-xff,ff,ff,ff,-40,0.3,2.51189e+06,30306.5,-60.8843
rff-mff-xff,ff,ff,ff,-40,0.3,3.98107e+06,20712.9,-70.5719
rff-mff-xff,ff,ff,ff,-40,0.3,6.30957e+06,13544.6,-77.4317
rff-mff-xff,ff,ff,ff,-40,0.3,1e+07,8675.03,-81.9802
rff-mff-xff,ff,ff,ff,-40,0.3,1.58489e+07,5507.06,-84.9057
rff-mff-xff,ff,ff,ff,-40,0.3,2.51189e+07,3483.32,-86.7596
rff-mff-xff,ff,ff,ff,-40,0.3,3.98107e+07,2200.12,-87.9216
rff-mff-xff,ff,ff,ff,-40,0.3,6.30957e+07,1388.95,-88.6382
rff-mff-xff,ff,ff,ff,-40,0.3,1e+08,876.836,-89.0667
rff-mff-xff,ff,ff,ff,-40,0.9,100,1.4619e+07,-89.7531
rff-mff-xff,ff,ff,ff,-40,0.9,158.489,9.22409e+06,-89.6190
rff-mff-xff,ff,ff,ff,-40,0.9,251.189,5.8202e+06,-89.4028
rff-mff-xff,ff,ff,ff,-40,0.9,398.107,3.6726e+06,-89.0576
rff-mff-xff,ff,ff,ff,-40,0.9,630.957,2.31774e+06,-88.5093
rff-mff-xff,ff,ff,ff,-40,0.9,1000,1.46317e+06,-87.6399
rff-mff-xff,ff,ff,ff,-40,0.9,1584.89,924419,-86.2638
rff-mff-xff,ff,ff,ff,-40,0.9,2511.89,585201,-84.0925
rff-mff-xff,ff,ff,ff,-40,0.9,3981.07,372281,-80.6898
rff-mff-xff,ff,ff,ff,-40,0.9,6309.57,239650,-75.4452
rff-mff-xff,ff,ff,ff,-40,0.9,10000,158497,-67.6684
