f_ref_hz,n_div,f_out_hz,trim_units,kappa_min_per_v,kappa_max_per_v,icp_min_a,icp_max_a,a_min,a_max,fc_min_hz,fc_max_hz,fc_over_fref_max,pm_min_deg,pm_min_at,settle_max_s,pass_pm,pass_fcratio,pass_lock
1e+06,12,1.2e+07,1,0.32936,0.57248,1.6386e-06,1.82741e-06,0.53969,1.04616,10750.4,19660.7,0.01966,25.48,rff-mff-xss@125C@0.9V,0.00028754,0,1,0
1e+06,12,1.2e+07,2,0.32936,0.57248,3.27717e-06,3.6543e-06,1.07937,2.09203,16233.3,33757.9,0.03376,35.23,rff-mff-xss@125C@0.9V,0.00014316,0,1,0
1e+06,12,1.2e+07,3,0.32936,0.57248,4.91572e-06,5.48111e-06,1.61904,3.13785,21179.5,48195.6,0.04820,42.13,rff-mff-xss@125C@0.9V,9.503e-05,0,1,1
1e+06,12,1.2e+07,4,0.32936,0.57248,6.55426e-06,7.30785e-06,2.15871,4.18363,25983.8,62879.2,0.06288,47.44,rff-mff-xss@125C@0.9V,7.09619e-05,1,1,1
1e+06,16,1.6e+07,1,0.33147,0.67805,1.6386e-06,1.82741e-06,0.543141,1.23908,10789.4,22248.6,0.02225,25.55,rff-mff-xss@125C@0.9V,0.000285705,0,1,0
1e+06,16,1.6e+07,2,0.33147,0.67805,3.27717e-06,3.6543e-06,1.08627,2.4778,16298.6,39045.3,0.03905,35.33,rff-mff-xss@125C@0.9V,0.000142243,0,1,0
1e+06,16,1.6e+07,3,0.33147,0.67805,4.91572e-06,5.48111e-06,1.6294,3.71647,21273.2,56297.3,0.05630,42.24,rff-mff-xss@125C@0.9V,9.44183e-05,0,1,1
1e+06,16,1.6e+07,4,0.33147,0.67805,6.55426e-06,7.30785e-06,2.17252,4.95509,26105.7,73796.9,0.07380,47.56,rff-mff-xss@125C@0.9V,7.05031e-05,1,1,1
1e+06,24,2.4e+07,1,0.33058,0.51588,1.6386e-06,1.82741e-06,0.541691,0.942723,10773,18266.3,0.01827,25.52,rff-mff-xss@125C@0.9V,0.000286473,0,1,0
1e+06,24,2.4e+07,2,0.33058,0.51588,3.27717e-06,3.6543e-06,1.08337,1.88518,16271.2,30947.2,0.03095,35.29,rff-mff-xss@125C@0.9V,0.000142627,0,1,0
